Q5 complemento - top 5 fornecedores por categoria de gasto e por ano (57a leg.)
 ano_dados | posicao |                         categoria                         |                                    fornecedor                                    | qtd_lancamentos | total_pago  
      2023 |       5 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | DALETH VEICULOS                                                                  |             186 |   775014.00
      2023 |       1 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | WMS ARTIGOS PAPELARIA                                                            |             794 |   607518.66
      2023 |       2 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | AMORETTO CAFES EXPRESSO                                                          |             490 |   336485.31
      2023 |       3 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | TELEMAXIMO SISTEMAS CONSULTORIA                                                  |              21 |   247868.30
      2023 |       4 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | N P IMOVEIS                                                                      |              67 |   200405.07
      2023 |       5 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | PAX IMOVEIS                                                                      |              11 |   182211.20
      2023 |       1 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EPUBLIKA CURSOS PREPARATORIOS CAPACITACAO TREINAMENTO PESSOAL EDITORACAO EVENTOS |               2 |    15000.00
      2023 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | MARIA OLGA CURADO COMUNICADO                                                     |               1 |     9145.61
      2023 |       3 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | FDR COMUNICARE DESENVOLVIMENTO                                                   |               1 |     9100.00
      2023 |       4 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EXTERIOR EDITORA CONSULTORIA MARKETING                                           |               1 |     5000.00
      2023 |       5 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EPUBLIKA CURSOS PREPARATORIOS CAPACITACAO TREINAMENTO                            |               1 |     4000.00
      2023 |       1 | PASSAGEM AÉREA - REEMBOLSO                                | LATAM LINHAS AEREAS                                                              |             168 |   301030.87
      2023 |       2 | PASSAGEM AÉREA - REEMBOLSO                                | GOL LINHAS AEREAS                                                                |             123 |   251934.45
      2023 |       3 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AEREAS INTELIGENTES                                                  |              26 |    58245.20
      2023 |       4 | PASSAGEM AÉREA - REEMBOLSO                                | A T TURISMO                                                                      |               2 |    52785.40
      2023 |       5 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AEREAS BRASILEIRAS                                                   |              35 |    51109.80
      2023 |       1 | PASSAGEM AÉREA - RPA                                      | CIA AEREA TAM                                                                    |             557 |   864352.27
      2023 |       2 | PASSAGEM AÉREA - RPA                                      | CIA AEREA GOL                                                                    |             534 |   599887.36
      2023 |       3 | PASSAGEM AÉREA - RPA                                      | CIA AEREA AZUL                                                                   |             421 |   450391.86
      2023 |       1 | PASSAGEM AÉREA - SIGEPA                                   | TAM                                                                              |           29205 | 32600531.25
      2023 |       2 | PASSAGEM AÉREA - SIGEPA                                   | GOL                                                                              |           10377 | 13314107.72
      2023 |       3 | PASSAGEM AÉREA - SIGEPA                                   | AZUL                                                                             |            8809 |  9328167.54
      2023 |       4 | PASSAGEM AÉREA - SIGEPA                                   | MAP                                                                              |             149 |   126959.92
      2023 |       1 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | INTERNACIONAL TRAVESSIAS SALVADOR                                                |             119 |    12609.02
      2023 |       2 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO OURO PRATA                                                                |              46 |    11918.47
      2023 |       3 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | PLANALTO TRANSPORTES                                                             |              77 |    11278.29
      2023 |       4 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | EMPRESA GONTIJO TRANSPORTES                                                      |              48 |    10106.67
      2023 |       5 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO GARCIA                                                                    |              24 |     4971.90
      2023 |       1 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | BRASAO VIGILANCIA SEGURANCA                                                      |              18 |   146059.15
      2023 |       2 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SERVFAZ SEGURANCA                                                                |              16 |   139200.00
      2023 |       3 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | A4 VIGILANCIA SEGURANCA PATRIMONIAL                                              |              15 |   127499.60
      2023 |       4 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | MARIA ZENEIDE SILVA LIMA CARDOSO                                                 |              10 |    84575.00
      2023 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | J S MORAIS SEGURANCA                                                             |               8 |    60800.00
      2023 |       1 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER BRASIL TECNOLOGIA                                                           |           10503 |   315540.16
      2023 |       2 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUICAO PAGAMENTO                                                  |             479 |   197978.41
      2023 |       3 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | TAXI LEGAL                                                                       |            2485 |   126657.40
      2023 |       4 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | CENTRO GESTAO MEIOS PGTO SEM PARAR                                               |             125 |    47659.06
      2023 |       5 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | COOPERTAXI 202 NORTE                                                             |             228 |    27953.91
      2023 |       1 | TELEFONIA                                                 | TELEFONICA BRASIL VIVO                                                           |            1839 |   871992.21
      2023 |       2 | TELEFONIA                                                 | CELULAR FUNCIONAL                                                                |            3482 |   723194.20
      2023 |       3 | TELEFONIA                                                 | TELEFONICA BRASIL                                                                |             629 |   304346.70
      2023 |       4 | TELEFONIA                                                 | CLARO NXT TELECOMUNICACOES                                                       |             781 |   132691.93
      2023 |       5 | TELEFONIA                                                 | TELEFONICA BRASIL                                                                |             193 |    87899.66
      2024 |       1 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | CK INFO DESIGN MIDIA SOCIAIS                                                     |               1 |     7500.00
      2024 |       2 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | DROPBOX INTERNATIONAL UNLIMITED COMPANY                                          |               1 |     4248.00
      2024 |       3 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | RMZ FUKAMI COMBUSTIVEIS                                                          |               1 |      440.78
      2024 |       4 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | CERTSIGN CERTIFICADORA DIGITAL                                                   |               1 |      374.90
      2024 |       5 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | ALVARO CERTIFICADORA                                                             |               1 |      350.00
      2024 |       1 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES LOGISTICA                                                              |              11 |    19112.80
      2024 |       2 | ASSINATURA DE PUBLICAÇÕES                                 | RBS ZERO HORA EDITORA JORNALISTICA                                               |             102 |     7945.22
      2024 |       3 | ASSINATURA DE PUBLICAÇÕES                                 | O ESTADO S PAULO                                                                 |              21 |     5389.16
      2024 |       4 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES LOGISTICA                                                              |               2 |     5264.50
      2024 |       5 | ASSINATURA DE PUBLICAÇÕES                                 | EDITORA GLOBO                                                                    |              22 |     4542.05
      2024 |       1 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO CINCO ESTRELAS                                                        |            1430 |   285178.00
      2024 |       2 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO 303 NORTE                                                             |            1199 |   247277.46
      2024 |       3 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 031 302 NORTE CASCOL COMBUSTIVEIS PARA VEICULOS                                  |             901 |   193579.60
      2024 |       4 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 063 311 SUL CASCOL COMBUSTIVEIS PARA VEICULOS                                    |             814 |   163326.53
      2024 |       5 | COMBUSTÍVEIS E LUBRIFICANTES.                             | MACTRA COMBUSTIVEIS LUBRIFICANTES                                                |              48 |   142572.41
      2024 |       1 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | FACEBOOK ONLINE BRASIL                                                           |             390 |  1210426.84
      2024 |       2 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | ELDORADO COMUNICACAO JORNALISMO                                                  |             142 |   898200.00
      2024 |       3 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | FACEBOOK ONLINE BRASIL                                                           |             270 |   813451.86
      2024 |       4 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | WORKING ASSOCIACAO INTEGRACAO PROFISSIONAL                                       |              47 |   685497.54
      2024 |       5 | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | DIAMOND DIAMOND                                                                  |              29 |   550700.00
      2024 |       1 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | NACIONAL APRENDIZAGEM SENAC                                                      |            1419 |    87068.61
      2024 |       2 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | TAIOBA SELF SERVICE                                                              |             380 |    12700.57
      2024 |       3 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | PETRUS GASTRONOMIA                                                               |             188 |     9076.35
      2024 |       4 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | C B BRASILIA ALIMENTOS                                                           |              56 |     7596.59
      2024 |       5 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                | SUL RESTAURANTE                                                                  |             102 |     7154.45
      2024 |       1 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | INVESTCITY INVESTIMENTOS ADM IMOVEI                                              |              37 |    85159.58
      2024 |       2 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | PAIAGUAS HOTEIS                                                                  |              82 |    43557.00
      2024 |       3 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | HOTEL PHENICIA                                                                   |              39 |    38586.46
      2024 |       4 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | BOOKING                                                                          |               2 |    36117.30
      2024 |       5 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    | VIAPARA HOTEIS TURISMO                                                           |               2 |    33154.00
      2024 |       1 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | CTA CLEITON TAXI AEREO                                                           |              24 |   546300.00
      2024 |       2 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | HEISS TAXI AEREO                                                                 |              12 |   253982.71
      2024 |       3 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | ATA AEROTAXI ABAETE                                                              |               8 |   243320.00
      2024 |       4 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | AMAZONAVES TAXI AEREO                                                            |               5 |   173500.00
      2024 |       5 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        | R L FERREIRA AGENCIAMENTO                                                        |               2 |   155000.00
      2024 |       1 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | JUNIO CESAR CARDOSO                                                              |              33 |   198000.00
      2024 |       2 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | EDENILTON LIMA PEREIRA                                                           |              10 |    39000.00
      2024 |       3 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | R M CRUZ                                                                         |               1 |      650.00
      2024 |       1 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PANTANAL VEICULOS                                                                |             757 |  3288908.71
      2024 |       2 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | SUPREMA MOBILIDADE                                                               |             289 |  1607302.80
      2024 |       3 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | NOVACAR LOCADORA VEICULOS                                                        |             283 |  1444596.04
      2024 |       4 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | HPE AUTOMOTORES BRASIL                                                           |             141 |  1235364.88
      2024 |       5 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | VIA LOCADORA AUTOMOVEIS                                                          |             179 |   934793.00
      2024 |       1 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | AMORETTO CAFES EXPRESSO                                                          |             514 |   368274.54
      2024 |       2 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | BROAD BRASIL                                                                     |             343 |   306550.00
      2024 |       3 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | WMS ARTIGOS PAPELARIA                                                            |             431 |   266783.20
      2024 |       4 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | TELEMAXIMO SISTEMAS CONSULTORIA                                                  |              21 |   259648.90
      2024 |       5 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | N P IMOVEIS                                                                      |              89 |   254178.97
      2024 |       1 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | CRIATIVA MAIS DIGITAL MARKENTING                                                 |               2 |    14000.00
      2024 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EU POSSO LIVROS APOSTILAS                                                        |               1 |     9145.61
      2024 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | INSTITUTE OF POLITICAL STUDIES                                                   |               1 |     9145.61
      2024 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | STIER MEDICINA INTERNA CARDIOLOGIA FONOAUDIOLOGIA                                |               1 |     9145.61
      2024 |       5 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | NAVONA COMUNICACAO MARKETING                                                     |               1 |     8500.00
      2024 |       1 | PASSAGEM AÉREA - REEMBOLSO                                | LATAM LINHAS AEREAS                                                              |             123 |   327185.36
      2024 |       2 | PASSAGEM AÉREA - REEMBOLSO                                | GOL LINHAS AEREAS                                                                |              71 |   146934.67
      2024 |       3 | PASSAGEM AÉREA - REEMBOLSO                                | A T TURISMO                                                                      |               4 |    55849.22
      2024 |       4 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AEREAS BRASILEIRAS                                                   |              19 |    47358.92
      2024 |       5 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AEREAS INTELIGENTES                                                  |              19 |    44818.25
      2024 |       1 | PASSAGEM AÉREA - RPA                                      | CIA AEREA TAM                                                                    |             382 |   637378.16
      2024 |       2 | PASSAGEM AÉREA - RPA                                      | CIA AEREA AZUL                                                                   |             255 |   229463.21
      2024 |       3 | PASSAGEM AÉREA - RPA                                      | CIA AEREA GOL                                                                    |             152 |   215110.35
      2024 |       1 | PASSAGEM AÉREA - SIGEPA                                   | TAM                                                                              |           29953 | 32091040.47
      2024 |       2 | PASSAGEM AÉREA - SIGEPA                                   | GOL                                                                              |            8477 | 11101588.05
      2024 |       3 | PASSAGEM AÉREA - SIGEPA                                   | AZUL                                                                             |            8215 |  8732830.76
      2024 |       4 | PASSAGEM AÉREA - SIGEPA                                   | MAP                                                                              |               7 |     8985.50
      2024 |       1 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | EMPRESA GONTIJO TRANSPORTES                                                      |              78 |    20973.18
      2024 |       2 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | INTERNACIONAL TRAVESSIAS SALVADOR                                                |             125 |    13712.28
      2024 |       3 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | PLANALTO TRANSPORTES                                                             |              60 |    11407.70
      2024 |       4 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | VIACAO OURO PRATA                                                                |              32 |     9020.74
      2024 |       5 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               | AUTO VIACAO 1001                                                                 |              43 |     3780.69
      2024 |       1 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SERVFAZ SEGURANCA                                                                |              24 |   208800.00
      2024 |       2 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | BRASAO VIGILANCIA SEGURANCA                                                      |              11 |    95700.00
      2024 |       3 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | SATURNO LIMPEZA CONSERVACAO A EDIFICIOS                                          |              12 |    94500.00
      2024 |       4 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | A4 VIGILANCIA SEGURANCA PATRIMONIAL                                              |              11 |    93499.56
      2024 |       5 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  | TRIANGULLO SERVICES LIMP CONSER SEGURANCA PRIVADA                                |              11 |    92367.00
      2024 |       1 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | UBER BRASIL TECNOLOGIA                                                           |           11157 |   331902.54
      2024 |       2 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUICAO PAGAMENTO                                                  |             556 |   301700.84
      2024 |       3 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | TAXI LEGAL                                                                       |            1814 |   104463.09
      2024 |       4 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | SEM PARAR INSTITUICAO PAGAMENTO                                                  |             167 |    73806.64
      2024 |       5 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 | 99 POP                                                                           |             678 |    15846.77
      2024 |       1 | TELEFONIA                                                 | CELULAR FUNCIONAL                                                                |            3574 |   833962.00
      2024 |       2 | TELEFONIA                                                 | VIVO TELEFONIA BRASIL                                                            |             749 |   376590.26
      2024 |       3 | TELEFONIA                                                 | TELEFONICA BRASIL                                                                |             364 |   180409.65
      2024 |       4 | TELEFONIA                                                 | CLARO NXT TELECOMUNICACOES                                                       |             839 |   146599.36
      2024 |       5 | TELEFONIA                                                 | TELEFONICA BRASIL VIVO                                                           |             298 |   140950.49
      2025 |       1 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | MACHADOS PLAZA HOTEL                                                             |               1 |      738.00
      2025 |       2 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | SOBRAL PALACIO PETROLEO                                                          |               3 |      700.00
      2025 |       3 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | ADOBE SYSTEMS SOFTWARE IRELAND                                                   |               1 |      275.00
      2025 |       4 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | FOGO CHAO                                                                        |               1 |      264.00
      2025 |       5 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               | POSTO FALKE                                                                      |               1 |      222.61
      2025 |       1 | ASSINATURA DE PUBLICAÇÕES                                 | SEISELLES LOGISTICA                                                              |               9 |    18326.60
      2025 |       2 | ASSINATURA DE PUBLICAÇÕES                                 | RBS ZERO HORA EDITORA JORNALISTICA                                               |              92 |     7721.88
      2025 |       3 | ASSINATURA DE PUBLICAÇÕES                                 | O ESTADO S PAULO                                                                 |              18 |     5133.46
      2025 |       4 | ASSINATURA DE PUBLICAÇÕES                                 | EMPRESA FOLHA MANHA                                                              |               3 |     4927.41
      2025 |       5 | ASSINATURA DE PUBLICAÇÕES                                 | EDITORA GLOBO                                                                    |              14 |     3909.01
      2025 |       1 | COMBUSTÍVEIS E LUBRIFICANTES.                             | AUTO POSTO CINCO ESTRELAS                                                        |            1535 |   327181.18
      2025 |       2 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 031 302 NORTE CASCOL COMBUSTIVEIS PARA VEICULOS                                  |            1440 |   312140.35
      2025 |       3 | COMBUSTÍVEIS E LUBRIFICANTES.                             | 063 311 SUL CASCOL COMBUSTIVEIS PARA VEICULOS                                    |            1103 |   240807.86
      2025 |       4 | COMBUSTÍVEIS E LUBRIFICANTES.                             | MACTRA COMBUSTIVEIS LUBRIFICANTES                                                |              76 |   224378.92
