Q7 - ranking de custo-beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 561 |          455.69 |         4712.50
      2024 |                 575 |          254.29 |         6949.20
      2025 |                 562 |          391.08 |        12292.90
      2026 |                 552 |           96.45 |         2516.20
(4 rows)


Tabela principal - top 30 por custo-beneficio
 ano_dados | id_deputado |           nome           | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
 GLOBAL    |      220609 | Maurício Carvalho                   | RO       | UNIAO         |  1738564.19 |             460 |                     0 |            686 |     758.6 |     0.00043633706731299924
 GLOBAL    |      133810 | Marcelo Moraes                      | RS       | PL            |   928930.63 |             219 |                     1 |            389 |     403.4 |     0.00043426278235652537
 GLOBAL    |      220587 | Gerlen Diniz                        | AC       | PP            |  1107082.05 |             227 |                     3 |            291 |     477.6 |     0.00043140433900088977
 GLOBAL    |      220561 | Delegada Katarina                   | SE       | PSD           |  1788423.75 |             443 |                     1 |            710 |     771.5 |     0.00043138545884329707
 GLOBAL    |      178896 | Newton Cardoso Jr                   | MG       | MDB           |  1319489.04 |             328 |                     1 |            389 |     566.9 |     0.00042963600516151313
 GLOBAL    |      204441 | Otoni de Paula                      | RJ       | PSD           |  1528785.29 |             370 |                     1 |            652 |     656.2 |     0.00042922966638434884
 GLOBAL    |      178908 | Delegado Éder Mauro                 | PA       | PL            |  1863522.50 |             466 |                     1 |            640 |     799.0 |     0.00042875790337921866
 GLOBAL    |      234310 | Ricardo Galvão                      | SP       | REDE          |   156472.52 |              41 |                     0 |             55 |      67.0 |     0.00042819020234351693
 GLOBAL    |       81055 | Márcio Jerry                        | MA       | PCDOB         |  1813543.93 |             380 |                     4 |            622 |     776.2 |     0.00042800176337608761
 GLOBAL    |      204390 | Professor Alcides                   | GO       | PSDB          |  1600819.06 |             413 |                     0 |            634 |     682.9 |     0.00042659412113696347
 GLOBAL    |       74371 | Rubens Otoni                        | GO       | PT            |  1652194.22 |             400 |                     1 |            686 |     704.6 |     0.00042646317937124850
 GLOBAL    |      230768 | Zé Adriano                          | AC       | PP            |   825739.43 |             218 |                     0 |            244 |     351.4 |     0.00042555797535307234
 GLOBAL    |      225730 | Enfermeira Ana Paula                | CE       | PODE          |   811752.19 |             215 |                     0 |            228 |     345.3 |     0.00042537612371578573
 GLOBAL    |       98615 | Ismael                              | SC       | PL            |  1481273.41 |             359 |                     1 |            528 |     627.3 |     0.00042348697800495858
 GLOBAL    |      220651 | Simone Marquetto                    | SP       | PP            |  1635561.11 |             300 |                     5 |            618 |     691.8 |     0.00042297410703290689
 GLOBAL    |      220649 | Delegado da Cunha                   | SP       | UNIAO         |  1596908.49 |             359 |                     2 |            635 |     674.0 |     0.00042206551234504364
 GLOBAL    |      141421 | Eduardo da Fonte                    | PE       | PP            |  1819345.95 |             459 |                     1 |            403 |     764.8 |     0.00042037084810615595
 GLOBAL    |      220647 | Mauricio Neves                      | SP       | PP            |  1580915.51 |             393 |                     1 |            379 |     663.4 |     0.00041963026853977794
 GLOBAL    |      220560 | Thiago de Joaldo                    | SE       | REPUBLICANOS  |  1595341.85 |             381 |                     1 |            606 |     668.1 |     0.00041878171753596259
 GLOBAL    |      220585 | Mersinho Lucena                     | PB       | PSD           |  1421168.75 |             356 |                     0 |            600 |     594.0 |     0.00041796584677224292
 GLOBAL    |      220589 | Eduardo Velloso                     | AC       | SOLIDARIEDADE |  1825504.31 |             445 |                     1 |            581 |     761.6 |     0.00041719978190574636
