idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
1228863-64;160600;Não;Arthur Oliveira Maia;UNIÃO;BA
1228863-64;204374;Não;Bia Kicis;PL;DF
1228863-64;204572;Não;Capitão Alberto Neto;PL;AM
1228863-64;204460;Não;Carlos Jordy;PL;RJ
1228863-64;220594;Não;Coronel Assis;PL;MT
1228863-64;220590;Não;Coronel Ulysses;UNIÃO;AC
1228863-64;204355;Não;Da Vitoria;PP;ES
1228863-64;220649;Não;Delegado da Cunha;UNIÃO;SP
1228863-64;178908;Não;Delegado Éder Mauro;PL;PA
1228863-64;220583;Não;Delegado Fabio Costa;PP;AL
1228863-64;220654;Não;Delegado Paulo Bilynskyj;PL;SP
1228863-64;178905;Não;Fabio Garcia;UNIÃO;MT
1228863-64;204398;Não;Felipe Francischini;PODE;PR
1228863-64;220529;Não;Gilson Daniel;PODE;ES
1228863-64;66385;Não;Julio Arcoverde;PP;PI
1228863-64;98057;Não;Lafayette de Andrada;PL;MG
1228863-64;204404;Não;Lucas Redecker;PSD;RS
1228863-64;220547;Não;Marcos Pollon;PL;MS
1228863-64;178943;Não;Marcos Soares;PSDB;RJ
1228863-64;220637;Sim;Marina Silva;REDE;SP
1228863-64;220609;Não;Maurício Carvalho;UNIÃO;RO
1228863-64;74428;Não;Mendonça Filho;PL;PE
1228863-64;209787;Não;Nikolas Ferreira;PL;MG
1228863-64;178987;Sim;Orlando Silva;PCDOB;SP
1228863-64;178860;Não;Paulo Azi;UNIÃO;BA
1228863-64;141488;Sim;Paulo Teixeira;PT;SP
1228863-64;160601;Não;Pr. Marco Feliciano;PL;SP
1228863-64;153423;Não;Renilce Nicodemos;MDB;PA
1228863-64;235088;Não;Ribeiro Neto;SOLIDARIEDADE;MA
1228863-64;220543;Não;Ricardo Ayres;REPUBLICANOS;TO
1228863-64;220588;Não;Roberto Duarte;REPUBLICANOS;AC
1228863-64;220546;Não;Rodolfo Nogueira;PL;MS
1228863-64;141531;Não;Rodrigo de Castro;UNIÃO;MG
1228863-64;204535;Sim;Sâmia Bomfim;PSOL;SP
1228863-64;235776;Não;Sérgio Turra;PP;RS
1228863-64;204360;Não;Silvia Cristina;PP;RO
1228863-64;204534;Sim;Tabata Amaral;PSB;SP
1228863-64;220597;Não;Thiago Flores;UNIÃO;RO
1228863-64;178934;Não;Toninho Wandscheer;PP;PR
1228863-64;91228;Não;Waldemar Oliveira;AVANTE;PE
1228863-64;220558;Não;Zé Trovão;PL;SC
2162116-161;220714;Não;Adail Filho;MDB;AM
2162116-161;221328;Não;Adilson Barroso;PL;SP
2162116-161;204560;Não;Adolfo Viana;PSDB;BA
2162116-161;204528;Sim;Adriana Ventura;NOVO;SP
2162116-161;121948;Não;Adriano do Baldy;PP;GO
2162116-161;74646;Não;Aécio Neves;PSDB;MG
2162116-161;160508;Não;Afonso Florence;PT;BA
2162116-161;136811;Não;Afonso Hamm;PP;RS
2162116-161;178835;Não;Afonso Motta;PDT;RS
