idproposicao;uriproposicao;idautor;nomeautor;tipoautor;ordemassinatura;pesoautoria
2606560;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606560;204365;Gilson Marques;Deputado(a);1;1
2606559;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606559;204365;Gilson Marques;Deputado(a);1;1
2606558;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606558;204365;Gilson Marques;Deputado(a);1;1
2606557;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606557;204365;Gilson Marques;Deputado(a);1;1
2606556;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606556;141450;Hugo Leal;Deputado(a);1;1
2606555;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606555;141450;Hugo Leal;Deputado(a);1;1
2606554;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606554;204365;Gilson Marques;Deputado(a);1;1
2606553;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606553;204365;Gilson Marques;Deputado(a);1;1
2606552;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606552;141450;Hugo Leal;Deputado(a);1;1
2606551;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606551;204365;Gilson Marques;Deputado(a);1;1
2606550;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606550;220537;Helena Lima;Deputado(a);1;1
2606549;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606549;204365;Gilson Marques;Deputado(a);1;1
2606548;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606548;204365;Gilson Marques;Deputado(a);1;1
2606547;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606547;204365;Gilson Marques;Deputado(a);1;1
2606546;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606546;204365;Gilson Marques;Deputado(a);1;1
2606545;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606545;204365;Gilson Marques;Deputado(a);1;1
2606544;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606544;204365;Gilson Marques;Deputado(a);1;1
2606543;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606543;204365;Gilson Marques;Deputado(a);1;1
2606542;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606542;220537;Helena Lima;Deputado(a);1;1
2606541;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606541;204365;Gilson Marques;Deputado(a);1;1
2606540;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606540;204365;Gilson Marques;Deputado(a);1;1
2606539;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606539;204365;Gilson Marques;Deputado(a);1;1
2606538;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606538;204365;Gilson Marques;Deputado(a);1;1
2606537;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606537;204365;Gilson Marques;Deputado(a);1;1
2606536;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606536;204365;Gilson Marques;Deputado(a);1;1
2606535;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606535;204365;Gilson Marques;Deputado(a);1;1
2606534;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606534;204365;Gilson Marques;Deputado(a);1;1
2606533;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606533;204365;Gilson Marques;Deputado(a);1;1
2606532;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606532;204535;Sâmia Bomfim;Deputado(a);1;1
2606531;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606531;204535;Sâmia Bomfim;Deputado(a);1;1
2606530;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606530;204535;Sâmia Bomfim;Deputado(a);1;1
2606529;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606529;204535;Sâmia Bomfim;Deputado(a);1;1
2606528;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606528;77003;Sergio Santos Rodrigues;Deputado(a);1;1
2606527;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606527;220652;Delegado Palumbo;Deputado(a);1;1
2606526;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606526;160548;Jonas Donizette;Deputado(a);1;1
2606525;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606525;74156;Leonardo Monteiro;Deputado(a);1;1
2606524;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606524;141408;Cleber Verde;Deputado(a);1;1
2606523;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606523;;Comissão de Defesa dos Direitos das Pessoas com Deficiência;COMISSÃO PERMANENTE;1;1
2606522;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606522;;Comissão de Integração Nacional e Desenvolvimento Regional;COMISSÃO PERMANENTE;1;1
2606521;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606521;;Comissão de Integração Nacional e Desenvolvimento Regional;COMISSÃO PERMANENTE;1;1
2606520;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606520;220648;Marangoni;Deputado(a);1;1
2606520;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606520;160665;Augusto Coutinho;Deputado(a);2;0
