idvotacao;proposicao_id;proposicao_uri;proposicao_titulo;proposicao_ementa;proposicao_siglatipo;proposicao_numero;proposicao_ano;__reason
2432865-61;2463077;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463077;RPD 10 => PL 1743/2024;Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;10;;fk_missing:proposicao_id
2432865-61;2463078;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463078;RPD 11 => PL 1743/2024;Votação Nominal do Requerimento de Adiamento da Votação (matéria urgente) - PL 1743/2024-Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;11;;fk_missing:proposicao_id
2432865-61;2463082;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463082;EMP 1 => PL 1743/2024;Altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57.;EMP;1;;fk_missing:proposicao_id
2432865-61;2463083;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463083;RPD 12 => PL 1743/2024;Requerimento de Votação Nominal - PL 1743/2024-Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;12;;fk_missing:proposicao_id
2432865-61;2463084;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463084;EMP 2 => PL 1743/2024;Altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57.;EMP;2;;fk_missing:proposicao_id
2432865-61;2463087;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463087;EMP 3 => PL 1743/2024;Altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57.;EMP;3;;fk_missing:proposicao_id
2432865-61;2463091;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463091;DTQ 1 => PL 1743/2024;Destaque de Emenda - PL 1743/2024;DTQ;1;;fk_missing:proposicao_id
2432865-61;2463092;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463092;DTQ 2 => PL 1743/2024;Destaque de Emenda - PL 1743/2024;DTQ;2;;fk_missing:proposicao_id
2432865-61;2463093;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463093;DTQ 3 => PL 1743/2024;Destaque de Emenda - PL 1743/2024;DTQ;3;;fk_missing:proposicao_id
2432865-61;2463094;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463094;RPD 13 => PL 1743/2024;Votação Nominal do Destaque de Emenda - PL 1743/2024-Destaque de Emenda - PL 1743/2024;RPD;13;;fk_missing:proposicao_id
2432865-61;2463095;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463095;RPD 14 => PL 1743/2024;Votação Nominal do Destaque de Emenda - PL 1743/2024-Destaque de Emenda - PL 1743/2024;RPD;14;;fk_missing:proposicao_id
2432865-61;2463096;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463096;RPD 15 => PL 1743/2024;Votação Nominal do Destaque de Emenda - PL 1743/2024-Destaque de Emenda - PL 1743/2024;RPD;15;;fk_missing:proposicao_id
2432865-61;2463107;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463107;PRLE 1 => PL 1743/2024;Altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57. Autor: Deputado DOUTOR LUIZINHO Relator: Deputada ANTÔNIA LÚCIA;PRLE;1;;fk_missing:proposicao_id
2432865-61;2463108;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463108;PPP 1 => PL 1743/2024;"Parecer proferido em Plenário pela Relatora, Dep. Antônia Lúcia (REPUBLIC-AC) pela: • Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade, boa técnica legislativa; e, no mérito, pela aprovação do Projeto de Lei nº 1.743, de 2024, na forma do Substitutivo apresentado.";PPP;1;;fk_missing:proposicao_id
2432865-61;2463109;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2463109;SBT 1 => PL 1743/2024;;SBT;1;;fk_missing:proposicao_id
2432865-61;2466843;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2466843;RPD 16 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;16;;fk_missing:proposicao_id
2432865-61;2466844;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2466844;RPD 17 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;17;;fk_missing:proposicao_id
2432865-61;2466860;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2466860;RPD 18 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;18;;fk_missing:proposicao_id
2432865-61;2466861;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2466861;RPD 19 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;19;;fk_missing:proposicao_id
2432865-61;2467103;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2467103;RPD 20 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;20;;fk_missing:proposicao_id
2432865-61;2467104;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2467104;RPD 21 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;21;;fk_missing:proposicao_id
2432865-61;2468482;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2468482;RPD 22 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;22;;fk_missing:proposicao_id
2432865-61;2468483;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2468483;RPD 23 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;23;;fk_missing:proposicao_id
2432865-61;2535509;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2535509;RPD 24 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;24;;fk_missing:proposicao_id
2432865-61;2535510;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2535510;RPD 25 => PL 1743/2024;Requerimento de Votação Nominal - PL 1743/2024;RPD;25;;fk_missing:proposicao_id
2432865-61;2535511;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2535511;RPD 26 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;26;;fk_missing:proposicao_id
2432865-61;2535535;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2535535;RPD 27 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;27;;fk_missing:proposicao_id
2432865-61;2535536;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2535536;RPD 28 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;28;;fk_missing:proposicao_id
2432865-61;2535913;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2535913;DTQ 4 => PL 1743/2024;Destaque de Emenda - PL 1743/2024;DTQ;4;;fk_missing:proposicao_id
