idvotacao;proposicao_id;proposicao_uri;proposicao_titulo;proposicao_ementa;proposicao_siglatipo;proposicao_numero;proposicao_ano;__reason
2579832-143;2584657;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584657;RPD 8 => PL 5582/2025;Votação Nominal do Destaque de Preferência - PL 5582/2025-Destaque de Preferência - PL 5582/2025;RPD;8;;fk_missing:proposicao_id
2579832-143;2584671;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584671;DTQ 8 => PL 5582/2025;Destaque de Preferência - PL 5582/2025;DTQ;8;;fk_missing:proposicao_id
2579832-143;2584672;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584672;DTQ 9 => PL 5582/2025;Destaque para Votação em Separado - PL 5582/2025;DTQ;9;;fk_missing:proposicao_id
2579832-143;2584673;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584673;RPD 9 => PL 5582/2025;Votação Nominal do Destaque de Preferência - PL 5582/2025-Destaque de Preferência - PL 5582/2025;RPD;9;;fk_missing:proposicao_id
2579832-143;2584674;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584674;RPD 10 => PL 5582/2025;Votação Nominal do Destaque para Votação em Separado - PL 5582/2025-Destaque para Votação em Separado - PL 5582/2025;RPD;10;;fk_missing:proposicao_id
2579832-143;2584678;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584678;RPD 11 => PL 5582/2025;Requerimento para Retirada de Tramitação de RPD/DTQ - PL 5582/2025;RPD;11;;fk_missing:proposicao_id
2579832-143;2584685;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584685;DTQ 10 => PL 5582/2025;Destaque de Preferência - PL 5582/2025;DTQ;10;;fk_missing:proposicao_id
2579832-143;2584686;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584686;RPD 12 => PL 5582/2025;Votação Nominal do Destaque de Preferência - PL 5582/2025-Destaque de Preferência - PL 5582/2025;RPD;12;;fk_missing:proposicao_id
2579832-143;2584694;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584694;RPD 13 => PL 5582/2025;Requerimento para Retirada de Tramitação de RPD/DTQ - PL 5582/2025;RPD;13;;fk_missing:proposicao_id
2579832-143;2584695;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584695;DTQ 11 => PL 5582/2025;Destaque de Preferência - PL 5582/2025;DTQ;11;;fk_missing:proposicao_id
2579832-143;2584696;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584696;RPD 14 => PL 5582/2025;Votação Nominal do Destaque de Preferência - PL 5582/2025-Destaque de Preferência - PL 5582/2025;RPD;14;;fk_missing:proposicao_id
2579832-143;2584698;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584698;EMP 15 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;15;;fk_missing:proposicao_id
2579832-143;2584699;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584699;RPD 15 => PL 5582/2025;Requerimento Procedimental Genérico - PL 5582/2025;RPD;15;;fk_missing:proposicao_id
2579832-143;2584710;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584710;EMP 16 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, a Lei Complementar nº 64, de 18 de maio de 1990 e as Leis nº 7.210, de 11 de julho de 1984; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”.";EMP;16;;fk_missing:proposicao_id
2579832-143;2584743;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584743;PRLP 4 => PL 5582/2025;Cria o “Marco Legal do Combate ao Crime Organizado Ultraviolento no Brasil”.;PRLP;4;;fk_missing:proposicao_id
2579832-143;2584748;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584748;DTQ 12 => PL 5582/2025;Destaque para Votação em Separado - PL 5582/2025;DTQ;12;;fk_missing:proposicao_id
2579832-143;2584749;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584749;RPD 16 => PL 5582/2025;Votação Nominal do Destaque para Votação em Separado - PL 5582/2025-Destaque para Votação em Separado - PL 5582/2025;RPD;16;;fk_missing:proposicao_id
2579832-143;2584752;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584752;EMP 17 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 e as Leis nº 7.210, de 11 de julho de 1984; nº 13.260, de 16 de março de 2016; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; nº 11.343, de 23 de agosto de 2006; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”.";EMP;17;;fk_missing:proposicao_id
2579832-143;2584753;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584753;DTQ 13 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;13;;fk_missing:proposicao_id
2579832-143;2584754;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584754;RPD 17 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;17;;fk_missing:proposicao_id
2579832-143;2584755;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584755;RPD 18 => PL 5582/2025;Requerimento de Retirada de Matéria da Pauta - PL 5582/2025;RPD;18;;fk_missing:proposicao_id
2579832-143;2584756;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584756;RPD 19 => PL 5582/2025;Requerimento de Adiamento da Discussão Matéria Urgente;RPD;19;;fk_missing:proposicao_id
2579832-143;2584757;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584757;RPD 20 => PL 5582/2025;Requerimento de Adiamento da Votação Matéria Urgente;RPD;20;;fk_missing:proposicao_id
2579832-143;2584758;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584758;RPD 21 => PL 5582/2025;Requerimento de Votação Nominal;RPD;21;;fk_missing:proposicao_id
2579832-143;2584759;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584759;RPD 22 => PL 5582/2025;Requerimento de Votação Nominal;RPD;22;;fk_missing:proposicao_id
2579832-143;2584760;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584760;RPD 23 => PL 5582/2025;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - PL 5582/2025;RPD;23;;fk_missing:proposicao_id
2579832-143;2584761;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584761;RPD 24 => PL 5582/2025;Requerimento de Votação Nominal;RPD;24;;fk_missing:proposicao_id
2579832-143;2584769;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2584769;EMP 18 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;18;;fk_missing:proposicao_id
2579832-143;2585434;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585434;EMP 19 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;19;;fk_missing:proposicao_id
2579832-143;2585441;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585441;DTQ 14 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;14;;fk_missing:proposicao_id
2579832-143;2585442;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585442;RPD 25 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;25;;fk_missing:proposicao_id
2579832-143;2585452;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585452;EMP 20 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;20;;fk_missing:proposicao_id
2579832-143;2585454;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585454;DTQ 15 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;15;;fk_missing:proposicao_id
2579832-143;2585455;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585455;RPD 26 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;26;;fk_missing:proposicao_id
2579832-143;2585475;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585475;RPD 27 => PL 5582/2025;Requerimento para Retirada de Tramitação de RPD/DTQ - PL 5582/2025;RPD;27;;fk_missing:proposicao_id
2579832-143;2585492;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585492;EMP 21 => PL 5582/2025;Emenda Modificativa que altera os arts. 10 e 11 do Substitutivo do Relator para aperfeiçoar o regime de intervenção judicial e de desarticulação patrimonial aplicável a pessoas jurídicas beneficiadas por organizações criminosas ultraviolentas, paramilitares ou milícias privadas, disciplinando o afastamento de sócios, a possibilidade de venda antecipada de ativos em caráter cautelar e a liquidação judicial definitiva, com destinação dos recursos nos termos do inciso VI do art. 3º da Lei nº 13.756, de 2018 (Lei do Fundo Nacional de Segurança Pública).;EMP;21;;fk_missing:proposicao_id
2579832-143;2585503;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585503;DTQ 16 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;16;;fk_missing:proposicao_id
2579832-143;2585504;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585504;RPD 28 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;28;;fk_missing:proposicao_id
2579832-143;2585512;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585512;EMP 22 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;22;;fk_missing:proposicao_id
2579832-143;2585516;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585516;DTQ 17 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;17;;fk_missing:proposicao_id
2579832-143;2585517;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585517;RPD 29 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;29;;fk_missing:proposicao_id
2579832-143;2585688;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585688;PRLP 5 => PL 5582/2025;Cria o “Marco Legal do Combate ao Crime Organizado no Brasil”.;PRLP;5;;fk_missing:proposicao_id
2579832-143;2585921;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585921;RPD 30 => PL 5582/2025;Requerimento de Retirada de Matéria da Pauta - PL 5582/2025;RPD;30;;fk_missing:proposicao_id
2579832-143;2585923;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585923;RPD 31 => PL 5582/2025;Votação Nominal do Requerimento de Retirada de Pauta - PL 5582/2025-Requerimento de Retirada de Matéria da Pauta - PL 5582/2025;RPD;31;;fk_missing:proposicao_id
2579832-143;2585999;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2585999;RPD 32 => PL 5582/2025;Requerimento de Retirada de Matéria da Pauta - PL 5582/2025;RPD;32;;fk_missing:proposicao_id
2579832-143;2586002;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586002;RPD 33 => PL 5582/2025;Votação Nominal do Requerimento de Retirada de Pauta - PL 5582/2025-Requerimento de Retirada de Matéria da Pauta - PL 5582/2025;RPD;33;;fk_missing:proposicao_id
2579832-143;2586007;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586007;DTQ 18 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;18;;fk_missing:proposicao_id
2579832-143;2586009;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586009;RPD 34 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;34;;fk_missing:proposicao_id
2579832-143;2586104;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586104;EMP 23 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 e as Leis nº 7.210, de 11 de julho de 1984; nº 13.260, de 16 de março de 2016; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; nº 11.343, de 23 de agosto de 2006; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”";EMP;23;;fk_missing:proposicao_id
2579832-143;2586141;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586141;DTQ 19 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;19;;fk_missing:proposicao_id
2579832-143;2586145;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586145;RPD 35 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;35;;fk_missing:proposicao_id
2579832-143;2586187;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586187;EMP 24 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 e as Leis nº 7.210, de 11 de julho de 1984; nº 13.260, de 16 de março de 2016; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; nº 11.343, de 23 de agosto de 2006; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”.";EMP;24;;fk_missing:proposicao_id
2579832-143;2586193;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586193;EMP 25 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, a Lei Complementar nº 64, de 18 de maio de 1990 e as Leis nº 7.210, de 11 de julho de 1984; nº 13.260, de 16 de março de 2016; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; nº 11.343, de 23 de agosto de 2006; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”.";EMP;25;;fk_missing:proposicao_id
2579832-143;2586256;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586256;EMP 26 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;26;;fk_missing:proposicao_id
2579832-143;2586345;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586345;EMP 27 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;27;;fk_missing:proposicao_id
2579832-143;2586388;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586388;EMP 28 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;28;;fk_missing:proposicao_id
2579832-143;2586391;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586391;RPD 36 => PL 5582/2025;Requerimento para Retirada de Tramitação de RPD/DTQ - PL 5582/2025;RPD;36;;fk_missing:proposicao_id
2579832-143;2586393;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586393;DTQ 20 => PL 5582/2025;Destaque para Votação em Separado - PL 5582/2025;DTQ;20;;fk_missing:proposicao_id
2579832-143;2586395;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586395;RPD 37 => PL 5582/2025;Votação Nominal do Destaque para Votação em Separado - PL 5582/2025-Destaque para Votação em Separado - PL 5582/2025;RPD;37;;fk_missing:proposicao_id
2579832-143;2586398;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586398;EMP 29 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, a Lei Complementar nº 64, de 18 de maio de 1990 e as Leis nº 7.210, de 11 de julho de 1984; nº 13.260, de 16 de março de 2016; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; nº 11.343, de 23 de agosto de 2006; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”";EMP;29;;fk_missing:proposicao_id
2579832-143;2586420;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586420;RPD 38 => PL 5582/2025;Requerimento de Adiamento da Discussão Matéria Urgente - PL 5582/2025;RPD;38;;fk_missing:proposicao_id
2579832-143;2586421;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586421;RPD 39 => PL 5582/2025;Requerimento de Adiamento da Votação Matéria Urgente - PL 5582/2025;RPD;39;;fk_missing:proposicao_id
2579832-143;2586423;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586423;RPD 40 => PL 5582/2025;Requerimento de Retirada de Matéria da Pauta - PL 5582/2025;RPD;40;;fk_missing:proposicao_id
2579832-143;2586424;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586424;RPD 41 => PL 5582/2025;Requerimento de Votação Nominal - PL 5582/2025;RPD;41;;fk_missing:proposicao_id
2579832-143;2586426;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586426;RPD 42 => PL 5582/2025;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - PL 5582/2025-Requerimento de Adiamento da Discussão Matéria Urgente - PL 5582/2025;RPD;42;;fk_missing:proposicao_id
2579832-143;2586428;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586428;RPD 43 => PL 5582/2025;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - PL 5582/2025-Requerimento de Adiamento da Votação Matéria Urgente - PL 5582/2025;RPD;43;;fk_missing:proposicao_id
2579832-143;2586430;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586430;RPD 44 => PL 5582/2025;Votação Nominal do Requerimento de Retirada de Pauta - PL 5582/2025-Requerimento de Retirada de Matéria da Pauta - PL 5582/2025;RPD;44;;fk_missing:proposicao_id
2579832-143;2586431;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586431;EMP 30 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;30;;fk_missing:proposicao_id
2579832-143;2586471;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586471;EMP 31 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 e as Leis nº 7.210, de 11 de julho de 1984; nº 13.260, de 16 de março de 2016; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; nº 11.343, de 23 de agosto de 2006; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”";EMP;31;;fk_missing:proposicao_id
2579832-143;2586472;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586472;EMP 32 => PL 5582/2025;"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 e as Leis nº 7.210, de 11 de julho de 1984; nº 13.260, de 16 de março de 2016; nº 12.850, de 2 de agosto de 2013; nº 8.072, de 25 de julho de 1990; nº 11.343, de 23 de agosto de 2006; e nº 10.826, de 22 de dezembro de 2003, para criar o “Marco Legal do Combate ao Crime Organizado no Brasil”";EMP;32;;fk_missing:proposicao_id
2579832-143;2586487;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586487;DTQ 21 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;21;;fk_missing:proposicao_id
2579832-143;2586488;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586488;RPD 45 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;45;;fk_missing:proposicao_id
2579832-143;2586502;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586502;DTQ 22 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;22;;fk_missing:proposicao_id
2579832-143;2586503;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586503;RPD 46 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;46;;fk_missing:proposicao_id
2579832-143;2586506;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586506;RPD 47 => PL 5582/2025;Requerimento para Retirada de Tramitação de RPD/DTQ - PL 5582/2025;RPD;47;;fk_missing:proposicao_id
2579832-143;2586511;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586511;PRLP 6 => PL 5582/2025;Cria o “Marco Legal do Combate ao Crime Organizado no Brasil”.;PRLP;6;;fk_missing:proposicao_id
2579832-143;2586516;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586516;PPP 1 => PL 5582/2025;Parecer proferido em Plenário pelo Relator, Dep. Guilherme Derrite (PP-SP) pela: • Comissão de Segurança Pública e Combate ao Crime Organizado, que conclui pela aprovação do Projeto de Lei nº 5.582, de 2025, na forma do Substitutivo adotado. • Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa do Projeto de Lei nº 5.582, de 2025, e do Substitutivo adotado pelo relator da Comissão de Segurança Pública e Combate ao Crime Organizado.;PPP;1;;fk_missing:proposicao_id
2579832-143;2586520;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586520;SBT 1 => PL 5582/2025;;SBT;1;;fk_missing:proposicao_id
2579832-143;2586535;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586535;EMP 33 => PL 5582/2025;Altera a Lei nº 12.850, de 2 de agosto de 2013, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 7.960, de 21 de dezembro de 1989, e a Lei nº 7.210, de 11 de julho de 1984, para dispor sobre o combate às organizações criminosas no País.;EMP;33;;fk_missing:proposicao_id
2579832-143;2586538;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586538;REQ 4981/2025;Requerimento para Retirada de Tramitação de RPD/DTQ - EMP 10 => PL 5582/2025;REQ;4981;2025;fk_missing:proposicao_id
2579832-143;2586540;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586540;DTQ 23 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;23;;fk_missing:proposicao_id
2579832-143;2586541;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586541;RPD 48 => PL 5582/2025;Votação Nominal do Destaque de Emenda - PL 5582/2025-Destaque de Emenda - PL 5582/2025;RPD;48;;fk_missing:proposicao_id
2579832-143;2586542;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586542;EMP 34 => PL 5582/2025;Cria o “Marco Legal do Combate ao Crime Organizado no Brasil”.;EMP;34;;fk_missing:proposicao_id
2579832-143;2586544;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586544;RPD 49 => PL 5582/2025;Requerimento Procedimental Genérico - PL 5582/2025;RPD;49;;fk_missing:proposicao_id
2579832-143;2586555;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586555;RPD 50 => PL 5582/2025;Requerimento para Retirada de Tramitação de RPD/DTQ - PL 5582/2025;RPD;50;;fk_missing:proposicao_id
2579832-143;2586557;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586557;DTQ 24 => PL 5582/2025;Destaque para Votação em Separado - PL 5582/2025;DTQ;24;;fk_missing:proposicao_id
2579832-143;2586559;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586559;RPD 51 => PL 5582/2025;Votação Nominal do Destaque para Votação em Separado - PL 5582/2025-Destaque para Votação em Separado - PL 5582/2025;RPD;51;;fk_missing:proposicao_id
2579832-143;2586562;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586562;RPD 52 => PL 5582/2025;Requerimento de Encerramento da Discussão e do Encaminhamento da Votação - PL 5582/2025;RPD;52;;fk_missing:proposicao_id
2579832-143;2586566;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586566;DTQ 25 => PL 5582/2025;Destaque de Emenda - PL 5582/2025;DTQ;25;;fk_missing:proposicao_id
2579832-143;2586567;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586567;RPD 53 => PL 5582/2025;Requerimento para Retirada de Tramitação de RPD/DTQ;RPD;53;;fk_missing:proposicao_id
2579832-143;2586568;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586568;DTQ 26 => PL 5582/2025;Destaque para Votação em Separado - PL 5582/2025;DTQ;26;;fk_missing:proposicao_id
2579832-143;2586569;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2586569;RPD 54 => PL 5582/2025;Votação Nominal do Destaque para Votação em Separado - PL 5582/2025-Destaque para Votação em Separado - PL 5582/2025;RPD;54;;fk_missing:proposicao_id
