Ranking global - todos os anos
 id_deputado | nome                                                | sigla_uf | sigla_partido | gasto_total 
       62881 | FRANCISCO DANILO BASTOS FORTE                       | CE       | PP            |  1800252.57 
      180214 | RAIMUNDO DINIZ ARAÚJO                               | RR       | UNIAO         |  1799152.89 
      178829 | JOSE AUGUSTO ROSA                                   | SP       | PL            |  1798957.81 
      220558 | MARCOS ANTONIO PEREIRA GOMES                        | SC       | PL            |  1798222.59 
      220553 | DENISE DA SILVA PESSÔA                              | RS       | PT            |  1795805.71 
      220544 | ANTONIO POINCARE ANDRADE FILHO                      | TO       | PSDB          |  1795762.96 
      220672 | HENDERSON LIRA PINTO                                | PA       | UNIAO         |  1795351.88 
      220589 | EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA             | AC       | SOLIDARIEDADE |  1793265.52 
       73692 | OSMAR GASPARINI TERRA                               | RS       | PL            |  1791237.48 
      220561 | KATARINA FEITOZA LIMA SANTANA                       | SE       | PSD           |  1788423.75 
      220658 | LUIZ GASTÃO BITTENCOURT DA SILVA                    | CE       | PSD           |  1786557.96 
      178963 | LUIS ANTONIO FRANCISCATTO COVATTI                   | RS       | PP            |  1785390.29 
      220685 | PAULO HENRIQUE COLETTI FERNANDES                    | PR       | UNIAO         |  1783533.25 
      220666 | LUIZ DE FRANÇA E SILVA MEIRA                        | PE       | PL            |  1783065.29 
      178929 | DIEGO ALEXSANDER GONCALO PAULA GARCIA               | PR       | UNIAO         |  1782232.27 
      178887 | RUBENS PEREIRA E SILVA JUNIOR                       | MA       | PT            |  1777447.49 
      220540 | DUDA BRITO RAMOS                                    | RR       | PODE          |  1776660.43 
      122974 | PEDRO LUCAS ANDRADE FERNANDES RIBEIRO               | MA       | UNIAO         |  1776190.77 
      141470 | JOSÉ NOBRE GUIMARÃES                                | CE       | PT            |  1775715.39 
      104552 | MARIA DO SOCORRO NERI MEDEIROS DE SOUZA             | AC       | PP            |  1773995.96 
       74044 | JOSÉ WILSON SANTIAGO                                | PB       | REPUBLICANOS  |  1772865.04 
       74043 | JOSÉ WELLINGTON ROBERTO                             | PB       | PSD           |  1770457.65 
       74454 | EUNÍCIO LOPES DE OLIVEIRA                           | CE       | MDB           |  1768508.46 
      160635 | RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR         | PB       | PODE          |  1768166.17 
      220542 | JOSÉ ALEXANDRE DOMINGUES GUIMARÃES                  | TO       | MDB           |  1766907.67 
      109429 | LUIZ BENES LEOCADIO DE ARAUJO                       | RN       | UNIAO         |  1765589.22 
      178934 | ANTONIO WANDSCHEER                                  | PR       | PP            |  1763551.58 
      141485 | LUIZ CARLOS GHIORZZI BUSATO                         | RS       | UNIAO         |  1763164.22 
      220671 | DILVANDA FURTADO FARO                               | PA       | PT            |  1760834.02 
      220588 | ROBERTO DUARTE JUNIOR                               | AC       | REPUBLICANOS  |  1758491.65 
      220548 | CAMILA BAZACHI JARA MARZOCHI                        | MS       | PT            |  1756301.69 
      220597 | THIAGO LEITE FLORES PEREIRA                         | RO       | UNIAO         |  1753601.32 
      220555 | DAIANA SILVA DOS SANTOS                             | RS       | PCDOB         |  1752991.12 
      220573 | DORINALDO BARBOSA MALAFAIA                          | AP       | PDT           |  1751777.53 
      220675 | ANTONIO LEOCÁDIO DOS SANTOS                         | PA       | MDB           |  1750315.54 
       74356 | SILAS CÂMARA                                        | AM       | REPUBLICANOS  |  1749035.27 
       69871 | JOAO CARLOS BACELAR BATISTA                         | BA       | PV            |  1748417.92 
      204416 | UBIRATAN ANTUNES SANDERSON                          | RS       | PL            |  1747915.40 
      204409 | DANIEL TRZECIAK DUARTE                              | RS       | PSDB          |  1745127.96 
       74376 | VANDER LUIZ DOS SANTOS LOUBET                       | MS       | PT            |  1744508.62 
      204534 | TABATA CLAUDIA AMARAL DE PONTES                     | SP       | PSB           |  1741552.28 
      204504 | ANTONIO CEZAR CORREIA FREIRE                        | SP       | PL            |  1740321.91 
      178927 | ALIEL MACHADO BARK                                  | PR       | PV            |  1740064.45 
      220669 | LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE | PE       | PP            |  1737328.53 
      204567 | RAIMUNDO MAGALHÃES COSTA                            | BA       | PSD           |  1737308.29 
      160553 | ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO        | BA       | PSD           |  1736643.16 
      178843 | MARX BELTRÃO LIMA SIQUEIRA                          | AL       | UNIAO         |  1734169.74 
      153423 | RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE          | PA       | MDB           |  1733789.66 
      220697 | JADYEL SILVA ALENCAR                                | PI       | REPUBLICANOS  |  1732479.55 
      204481 | JAZIEL PEREIRA DE SOUSA                             | CE       | PL            |  1730755.23 
      220703 | ORLANDO SULZ DE ALMEIDA NETO                        | BA       | AVANTE        |  1729854.10 
      220663 | JOSÉ ERIBERTO MEDEIROS DE OLIVEIRA                  | PE       | PSB           |  1729585.87 
      204472 | JOSE ANTONIO DOS SANTOS MEDEIROS                    | MT       | PL            |  1729217.52 
      220633 | RICARDO DE AQUINO SALLES                            | SP       | NOVO          |  1728099.35 
       92699 | FERNANDO MONTEIRO DE ALBUQUERQUE                    | PE       | PSD           |  1727156.96 
      160600 | ARTHUR DE OLIVEIRA MAIA DA SILVA                    | BA       | UNIAO         |  1727029.38 
      220557 | DANIELA CRISTINA REINEHR                            | SC       | PL            |  1726966.61 
      139285 | LÍDICE DA MATA E SOUZA                              | BA       | PSB           |  1726830.22 
       74383 | FERNANDO LÚCIO GIACOBO                              | PR       | PSD           |  1724821.76 
      160517 | PAULO ROBERTO FOLLETTO                              | ES       | PSB           |  1724254.17 
       88256 | CLODOALDO MAGALHÃES OLIVEIRA LYRA                   | PE       | PV            |  1724153.60 
      220609 | MAURICIO FONSECA RIBEIRO CARVALHO DE MORAES         | RO       | UNIAO         |  1723657.71 
       74159 | ODAIR JOSÉ DA CUNHA                                 | MG       | PT            |  1718905.72 
       73768 | DILCEU JOÃO SPERAFICO                               | PR       | PP            |  1718424.29 
      178993 | CARLOS HENRIQUE AMORIM                              | TO       | UNIAO         |  1717531.73 
      162067 | FRANCISCO DANIEL CELEGUIM DE MORAIS                 | SP       | PT            |  1716291.24 
      204495 | AIRTON LUIZ FALEIRO                                 | PA       | PT            |  1716152.50 
      204486 | CARLOS MAURO BENEVIDES FILHO                        | CE       | UNIAO         |  1713720.27 
      160569 | WALDENOR ALVES PEREIRA FILHO                        | BA       | PT            |  1713365.87 
      204367 | DANIEL COSTA DE FREITAS                             | SC       | PL            |  1713332.77 
      220684 | SEBASTIÃO HENRIQUE DE MEDEIROS                      | PR       | PP            |  1709086.42 
      220640 | JULIANA CARDOSO                                     | SP       | PT            |  1708388.39 
      133439 | ANDRÉ PEIXOTO FIGUEIREDO LIMA                       | CE       | PDT           |  1708322.86 
      220664 | GUILHERME A. UCHOA CAVALCANTI PESSOA DE MELO JUNIOR | PE       | PSD           |  1708034.17 
