id_evento;id_deputado;nome_deputado;sigla_partido;sigla_uf
74889;74374;;;
74889;74585;;;
74889;74856;;;
74889;123756;;;
74889;153423;;;
74889;160518;;;
74889;178929;;;
74889;204412;;;
74889;204518;;;
74889;204540;;;
74889;213762;;;
74889;220544;;;
74889;220552;;;
74889;220654;;;
80765;74041;;;
80765;74374;;;
80765;74398;;;
80765;74585;;;
80765;160512;;;
80765;160518;;;
80765;160598;;;
80765;178985;;;
80765;178993;;;
80765;204422;;;
80765;204459;;;
80765;204570;;;
80765;218086;;;
80765;220536;;;
80765;220554;;;
80765;220571;;;
80765;220604;;;
80765;220606;;;
80765;220663;;;
80765;220699;;;
80765;221329;;;
80772;133439;;;
80772;138286;;;
80772;160591;;;
80772;160632;;;
80772;175765;;;
80772;178866;;;
80772;178943;;;
80772;180214;;;
80772;204356;;;
80772;204372;;;
80772;204374;;;
80772;204388;;;
80772;204394;;;
80772;204422;;;
80772;204504;;;
80772;204511;;;
80772;204540;;;
80772;220529;;;
80772;220544;;;
80772;220550;;;
80772;220551;;;
80772;220568;;;
80772;220651;;;
80772;220653;;;
80772;220654;;;
80772;220662;;;
80772;220685;;;
80772;230767;;;
80806;81055;;;
80806;204444;;;
80820;133439;;;
80820;160517;;;
80820;160575;;;
80820;178993;;;
80820;204553;;;
80820;220533;;;
80820;220658;;;
80820;226179;;;
80828;74856;;;
80828;98057;;;
80828;141450;;;
80828;141555;;;
80828;160512;;;
80828;160642;;;
80828;178876;;;
80828;178966;;;
80828;204374;;;
80828;204387;;;
80828;204416;;;
80828;204479;;;
80828;204494;;;
80828;204501;;;
80828;204520;;;
80828;220529;;;
80828;220561;;;
80828;220576;;;
80828;220583;;;
80828;220590;;;
80828;220613;;;
80828;220621;;;
80828;220630;;;
80828;220642;;;
80828;220658;;;
80828;220666;;;
80828;220667;;;
80828;220672;;;
80828;222565;;;
80828;226179;;;
80841;73701;;;
80841;74171;;;
80841;74856;;;
80841;104552;;;
80841;160575;;;
80841;160598;;;
80841;160642;;;
80841;178908;;;
80841;178929;;;
80841;198197;;;
80841;204364;;;
80841;204374;;;
80841;204407;;;
80841;204462;;;
80841;204494;;;
80841;204525;;;
80841;204534;;;
80841;204535;;;
80841;206018;;;
80841;213762;;;
80841;218086;;;
80841;220527;;;
80841;220549;;;
80841;220559;;;
80841;220565;;;
80841;220595;;;
80841;220598;;;
80841;220642;;;
80841;220645;;;
80841;220646;;;
80841;220651;;;
80841;220663;;;
80841;220665;;;
80841;220695;;;
80841;220704;;;
80841;220707;;;
80841;221338;;;
80841;226179;;;
80841;229585;;;
80841;231911;;;
80842;74161;;;
80842;74253;;;
80842;123756;;;
80842;160161;;;
80842;204390;;;
80842;214694;;;
80842;220549;;;
80842;220571;;;
80842;220578;;;
80842;220641;;;
80842;220683;;;
80842;230767;;;
80842;235776;;;
80843;73579;;;
80843;73692;;;
80843;74585;;;
80843;141450;;;
80843;178881;;;
80843;191923;;;
80843;204387;;;
80843;204416;;;
80843;204473;;;
80843;204479;;;
80843;204501;;;
80843;204520;;;
80843;204536;;;
80843;204572;;;
80843;220526;;;
80843;220530;;;
80843;220538;;;
80843;220546;;;
80843;220547;;;
80843;220552;;;
80843;220568;;;
80843;220574;;;
80843;220576;;;
80843;220583;;;
80843;220585;;;
80843;220590;;;
80843;220594;;;
80843;220613;;;
80843;220615;;;
80843;220618;;;
80843;220621;;;
80843;220623;;;
80843;220625;;;
80843;220642;;;
80843;220652;;;
80843;220654;;;
80843;220657;;;
80843;220663;;;
80843;220666;;;
80843;220667;;;
80843;220673;;;
80843;220690;;;
80843;220694;;;
80843;222565;;;
80843;226708;;;
80843;227433;;;
80843;230767;;;
80854;74784;;;
80854;92699;;;
80854;121948;;;
80854;141456;;;
80854;178884;;;
80854;178934;;;
80854;178989;;;
80854;179000;;;
80854;204364;;;
80854;204444;;;
80854;204453;;;
80854;209189;;;
80854;220553;;;
80854;220563;;;
80854;220573;;;
80854;220597;;;
80854;220608;;;
80854;220675;;;
80854;220677;;;
80854;226837;;;
80854;230957;;;
80856;73701;;;
80856;74057;;;
80856;74075;;;
80856;74084;;;
80856;74848;;;
80856;138286;;;
80856;160512;;;
80856;160575;;;
80856;160976;;;
80856;178866;;;
80856;178929;;;
80856;178993;;;
80856;204364;;;
80856;204374;;;
80856;204535;;;
80856;220527;;;
80856;220539;;;
80856;220553;;;
80856;220598;;;
80856;220606;;;
80856;220615;;;
80856;220640;;;
80856;220704;;;
80856;231911;;;
80856;234388;;;
80872;62881;;;
80872;66828;;;
80872;69871;;;
80872;72442;;;
80872;73433;;;
80872;73441;;;
80872;73486;;;
80872;73531;;;
80872;73579;;;
80872;73604;;;
80872;73692;;;
80872;73701;;;
80872;73768;;;
80872;73778;;;
80872;73788;;;
80872;73801;;;
80872;73808;;;
80872;74041;;;
80872;74043;;;
80872;74044;;;
80872;74057;;;
80872;74060;;;
80872;74065;;;
80872;74075;;;
80872;74079;;;
80872;74084;;;
80872;74090;;;
80872;74095;;;
80872;74156;;;
80872;74158;;;
