ano_dados;uri_proposicao;cod_tema;tema;relevancia
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348202;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347306;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347276;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347275;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347250;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347217;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346891;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347080;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347079;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348326;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348082;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347270;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347268;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346764;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346949;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346885;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347051;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347014;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346889;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348349;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348297;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347322;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347220;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346957;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347084;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346871;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349098;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349097;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349096;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349095;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349094;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349093;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349092;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349091;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349090;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349089;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349085;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349077;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2349101;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348618;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348632;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348217;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348206;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347316;34;Administração Pública;0
