ano_dados;id_evento;id_deputado;nome_deputado;sigla_partido;sigla_uf
2023;66495;107970;;;
2023;66495;160629;;;
2023;66495;178843;;;
2023;66495;178871;;;
2023;66495;178962;;;
2023;66495;178972;;;
2023;66495;204388;;;
2023;66495;204396;;;
2023;66495;204431;;;
2023;66495;204492;;;
2023;66495;204539;;;
2023;66495;204550;;;
2023;66495;214694;;;
2023;66495;219585;;;
2023;66495;220529;;;
2023;66495;220546;;;
2023;66495;220551;;;
2023;66495;220560;;;
2023;66495;220583;;;
2023;66495;220586;;;
2023;66495;220602;;;
2023;66495;220624;;;
2023;66495;220658;;;
2023;66495;220660;;;
2023;66495;221329;;;
2023;66808;66385;;;
2023;66808;74158;;;
2023;66808;74171;;;
2023;66808;74262;;;
2023;66808;74550;;;
2023;66808;74574;;;
2023;66808;92102;;;
2023;66808;154178;;;
2023;66808;160758;;;
2023;66808;171786;;;
2023;66808;178854;;;
2023;66808;198783;;;
2023;66808;204379;;;
2023;66808;204456;;;
2023;66808;204557;;;
2023;66808;220527;;;
2023;66808;220538;;;
2023;66808;220547;;;
2023;66808;220556;;;
2023;66808;220578;;;
2023;66808;220583;;;
2023;66808;220601;;;
2023;66808;220616;;;
2023;66808;220619;;;
2023;66808;220626;;;
2023;66808;220635;;;
2023;66808;220639;;;
2023;66808;220694;;;
2023;66808;224117;;;
2023;66994;73531;;;
2023;66994;74057;;;
2023;66994;74160;;;
2023;66994;74161;;;
2023;66994;74171;;;
2023;66994;74428;;;
2023;66994;98615;;;
2023;66994;104552;;;
2023;66994;123086;;;
2023;66994;123756;;;
2023;66994;139285;;;
2023;66994;152605;;;
2023;66994;160601;;;
2023;66994;160604;;;
2023;66994;160642;;;
2023;66994;178929;;;
2023;66994;178946;;;
2023;66994;178993;;;
2023;66994;178997;;;
2023;66994;204390;;;
2023;66994;204445;;;
2023;66994;204453;;;
2023;66994;204480;;;
2023;66994;204481;;;
2023;66994;204498;;;
2023;66994;204528;;;
2023;66994;204533;;;
2023;66994;204534;;;
2023;66994;204535;;;
2023;66994;204540;;;
2023;66994;204572;;;
2023;66994;204573;;;
2023;66994;220529;;;
2023;66994;220533;;;
2023;66994;220543;;;
2023;66994;220551;;;
2023;66994;220552;;;
2023;66994;220560;;;
2023;66994;220566;;;
2023;66994;220568;;;
2023;66994;220574;;;
2023;66994;220580;;;
2023;66994;220586;;;
2023;66994;220591;;;
2023;66994;220593;;;
2023;66994;220598;;;
2023;66994;220608;;;
2023;66994;220609;;;
2023;66994;220610;;;
2023;66994;220621;;;
2023;66994;220626;;;
2023;66994;220629;;;
2023;66994;220690;;;
2023;66994;220695;;;
2023;66994;221329;;;
2023;66994;221338;;;
2023;66998;73768;;;
2023;66998;74084;;;
2023;66998;74141;;;
2023;66998;74550;;;
2023;66998;107970;;;
2023;66998;109429;;;
2023;66998;122974;;;
2023;66998;136811;;;
2023;66998;137070;;;
2023;66998;141411;;;
2023;66998;141459;;;
2023;66998;141480;;;
2023;66998;143632;;;
2023;66998;160518;;;
2023;66998;160535;;;
2023;66998;160559;;;
2023;66998;160569;;;
2023;66998;160604;;;
2023;66998;160610;;;
2023;66998;160629;;;
2023;66998;160632;;;
2023;66998;160642;;;
2023;66998;160673;;;
2023;66998;161550;;;
2023;66998;178835;;;
2023;66998;178860;;;
2023;66998;178871;;;
2023;66998;178933;;;
2023;66998;178934;;;
2023;66998;178964;;;
2023;66998;178970;;;
2023;66998;178993;;;
2023;66998;198197;;;
2023;66998;204358;;;
2023;66998;204360;;;
2023;66998;204378;;;
2023;66998;204395;;;
2023;66998;204396;;;
2023;66998;204426;;;
2023;66998;204472;;;
2023;66998;204473;;;
2023;66998;204474;;;
2023;66998;204517;;;
2023;66998;204559;;;
2023;66998;204567;;;
2023;66998;205476;;;
2023;66998;220538;;;
2023;66998;220542;;;
2023;66998;220546;;;
2023;66998;220551;;;
2023;66998;220557;;;
2023;66998;220558;;;
2023;66998;220559;;;
2023;66998;220571;;;
2023;66998;220572;;;
2023;66998;220581;;;
2023;66998;220584;;;
2023;66998;220588;;;
2023;66998;220589;;;
2023;66998;220592;;;
2023;66998;220594;;;
2023;66998;220595;;;
2023;66998;220600;;;
2023;66998;220613;;;
2023;66998;220617;;;
2023;66998;220626;;;
2023;66998;220631;;;
2023;66998;220662;;;
2023;66998;220666;;;
2023;66998;220669;;;
2023;66998;220672;;;
2023;66998;220684;;;
2023;66998;220688;;;
2023;66998;220693;;;
2023;66998;220702;;;
2023;66998;220706;;;
2023;66998;223128;;;
2023;66998;224117;;;
2023;67005;73701;;;
2023;67005;74057;;;
2023;67005;74084;;;
2023;67005;74273;;;
2023;67005;139285;;;
2023;67005;160161;;;
2023;67005;160575;;;
2023;67005;160601;;;
2023;67005;160976;;;
2023;67005;204419;;;
2023;67005;204495;;;
2023;67005;220539;;;
2023;67005;220553;;;
2023;67005;220585;;;
2023;67005;220593;;;
2023;67005;220598;;;
2023;67005;220599;;;
2023;67005;220646;;;
2023;67005;220655;;;
2023;67005;220707;;;
2023;67005;221148;;;
2023;67087;62881;;;
2023;67087;66385;;;
2023;67087;66828;;;
2023;67087;69871;;;
2023;67087;72442;;;
2023;67087;73433;;;
2023;67087;73441;;;
2023;67087;73486;;;
2023;67087;73579;;;
2023;67087;73604;;;
2023;67087;73692;;;
2023;67087;73701;;;
2023;67087;73768;;;
2023;67087;73801;;;
2023;67087;73806;;;
2023;67087;74041;;;
2023;67087;74043;;;
2023;67087;74044;;;
2023;67087;74057;;;
2023;67087;74060;;;
2023;67087;74075;;;
2023;67087;74079;;;
2023;67087;74084;;;
2023;67087;74090;;;
2023;67087;74156;;;
2023;67087;74158;;;
2023;67087;74159;;;
2023;67087;74160;;;
2023;67087;74161;;;
2023;67087;74171;;;
2023;67087;74253;;;
2023;67087;74262;;;
2023;67087;74270;;;
2023;67087;74273;;;
2023;67087;74317;;;
2023;67087;74356;;;
2023;67087;74371;;;
2023;67087;74374;;;
2023;67087;74376;;;
2023;67087;74383;;;
2023;67087;74398;;;
2023;67087;74400;;;
2023;67087;74428;;;
2023;67087;74454;;;
2023;67087;74467;;;
2023;67087;74478;;;
2023;67087;74537;;;
2023;67087;74550;;;
2023;67087;74554;;;
2023;67087;74574;;;
2023;67087;74585;;;
2023;67087;74646;;;
2023;67087;74696;;;
2023;67087;74784;;;
2023;67087;74848;;;
2023;67087;74856;;;
2023;67087;74858;;;
2023;67087;80815;;;
2023;67087;81055;;;
2023;67087;88256;;;
2023;67087;91228;;;
2023;67087;92102;;;
2023;67087;92346;;;
2023;67087;92699;;;
2023;67087;98057;;;
2023;67087;98148;;;
2023;67087;98615;;;
2023;67087;104552;;;
2023;67087;107283;;;
2023;67087;107970;;;
2023;67087;109429;;;
2023;67087;121948;;;
2023;67087;122158;;;
2023;67087;122974;;;
2023;67087;123086;;;
2023;67087;123756;;;
2023;67087;132504;;;
2023;67087;133439;;;
2023;67087;133810;;;
2023;67087;136811;;;
2023;67087;137070;;;
2023;67087;139285;;;
2023;67087;141391;;;
2023;67087;141398;;;
2023;67087;141408;;;
2023;67087;141411;;;
2023;67087;141421;;;
2023;67087;141431;;;
2023;67087;141450;;;
2023;67087;141456;;;
2023;67087;141458;;;
2023;67087;141459;;;
2023;67087;141464;;;
2023;67087;141470;;;
2023;67087;141480;;;
2023;67087;141485;;;
2023;67087;141487;;;
2023;67087;141488;;;
2023;67087;141516;;;
2023;67087;141531;;;
2023;67087;141555;;;
2023;67087;143632;;;
2023;67087;150418;;;
2023;67087;153423;;;
2023;67087;154178;;;
2023;67087;156190;;;
2023;67087;157130;;;
2023;67087;160161;;;
2023;67087;160510;;;
2023;67087;160512;;;
2023;67087;160517;;;
2023;67087;160518;;;
2023;67087;160527;;;
2023;67087;160531;;;
2023;67087;160535;;;
2023;67087;160538;;;
2023;67087;160541;;;
2023;67087;160545;;;
2023;67087;160548;;;
2023;67087;160552;;;
2023;67087;160553;;;
2023;67087;160556;;;
2023;67087;160558;;;
2023;67087;160559;;;
2023;67087;160569;;;
2023;67087;160575;;;
2023;67087;160588;;;
2023;67087;160591;;;
2023;67087;160592;;;
2023;67087;160598;;;
2023;67087;160599;;;
2023;67087;160600;;;
2023;67087;160601;;;
2023;67087;160604;;;
2023;67087;160610;;;
2023;67087;160621;;;
2023;67087;160629;;;
2023;67087;160632;;;
2023;67087;160635;;;
2023;67087;160640;;;
2023;67087;160642;;;
2023;67087;160665;;;
2023;67087;160666;;;
2023;67087;160673;;;
2023;67087;160674;;;
2023;67087;160758;;;
2023;67087;160976;;;
2023;67087;161440;;;
2023;67087;161550;;;
