"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2581324";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581324";"204374";"https://dadosabertos.camara.leg.br/api/v2/deputados/204374";"10000";"Deputado(a)";"Bia Kicis";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"1";"1"
"2581323";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581323";"204395";"https://dadosabertos.camara.leg.br/api/v2/deputados/204395";"10000";"Deputado(a)";"Pedro Lupion";"REPUBLIC";"";"PR";"1";"1"
"2581322";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581322";"220667";"https://dadosabertos.camara.leg.br/api/v2/deputados/220667";"10000";"Deputado(a)";"Pedro Campos";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"PE";"1";"1"
"2581321";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581321";"133439";"https://dadosabertos.camara.leg.br/api/v2/deputados/133439";"10000";"Deputado(a)";"André Figueiredo";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE";"1";"1"
"2581320";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581320";"220667";"https://dadosabertos.camara.leg.br/api/v2/deputados/220667";"10000";"Deputado(a)";"Pedro Campos";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"PE";"1";"1"
"2581319";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581319";"160512";"https://dadosabertos.camara.leg.br/api/v2/deputados/160512";"10000";"Deputado(a)";"Aureo Ribeiro";"SOLIDARI";"";"RJ";"1";"1"
"2581318";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581318";"160512";"https://dadosabertos.camara.leg.br/api/v2/deputados/160512";"10000";"Deputado(a)";"Aureo Ribeiro";"SOLIDARI";"";"RJ";"1";"1"
"2581317";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581317";"220568";"https://dadosabertos.camara.leg.br/api/v2/deputados/220568";"10000";"Deputado(a)";"Gustavo Gayer";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"GO";"1";"1"
"2581316";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581316";"160552";"https://dadosabertos.camara.leg.br/api/v2/deputados/160552";"10000";"Deputado(a)";"Danrlei de Deus Hinterholz";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"RS";"1";"1"
"2581315";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581315";"74478";"https://dadosabertos.camara.leg.br/api/v2/deputados/74478";"10000";"Deputado(a)";"Luciano Bivar";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"PE";"1";"1"
"2581314";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581314";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581313";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581313";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581312";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581312";"204572";"https://dadosabertos.camara.leg.br/api/v2/deputados/204572";"10000";"Deputado(a)";"Capitão Alberto Neto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"AM";"1";"1"
"2581311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581311";"204572";"https://dadosabertos.camara.leg.br/api/v2/deputados/204572";"10000";"Deputado(a)";"Capitão Alberto Neto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"AM";"1";"1"
"2581310";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581310";"220551";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"10000";"Deputado(a)";"Franciane Bayer";"REPUBLIC";"";"RS";"1";"1"
"2581309";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581309";"204572";"https://dadosabertos.camara.leg.br/api/v2/deputados/204572";"10000";"Deputado(a)";"Capitão Alberto Neto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"AM";"1";"1"
"2581308";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581308";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581307";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581307";"220618";"https://dadosabertos.camara.leg.br/api/v2/deputados/220618";"10000";"Deputado(a)";"Sargento Portugal";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"RJ";"1";"1"
"2581306";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581306";"220604";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";"10000";"Deputado(a)";"Marcos Tavares";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RJ";"1";"1"
"2581305";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581305";"220604";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";"10000";"Deputado(a)";"Marcos Tavares";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RJ";"1";"1"
"2581304";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581304";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581303";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581303";"74084";"https://dadosabertos.camara.leg.br/api/v2/deputados/74084";"10000";"Deputado(a)";"Raimundo Santos";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"PA";"2";"0"
"2581303";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581303";"178947";"https://dadosabertos.camara.leg.br/api/v2/deputados/178947";"10000";"Deputado(a)";"Sóstenes Cavalcante";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"3";"0"
"2581303";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581303";"204491";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";"10000";"Deputado(a)";"Gilberto Abramo";"REPUBLIC";"";"MG";"4";"0"
"2581303";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581303";"204374";"https://dadosabertos.camara.leg.br/api/v2/deputados/204374";"10000";"Deputado(a)";"Bia Kicis";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"1";"1"
"2581302";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581302";"178881";"https://dadosabertos.camara.leg.br/api/v2/deputados/178881";"10000";"Deputado(a)";"Aluisio Mendes";"REPUBLIC";"";"MA";"1";"1"
"2581301";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581301";"204464";"https://dadosabertos.camara.leg.br/api/v2/deputados/204464";"10000";"Deputado(a)";"Talíria Petrone";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"RJ";"1";"1"
"2581300";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581300";"204436";"https://dadosabertos.camara.leg.br/api/v2/deputados/204436";"10000";"Deputado(a)";"Isnaldo Bulhões Jr.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"AL";"1";"1"
