Q10 - Alinhamento interno dos partidos
(Qual partido convence mais seus deputados a seguir a orientacao partidaria)

Q10 - Ranking de alinhamento interno - consolidado (2023-2026)
 posicao | sigla_partido | ideologia_score | ideologia_faixa | campo_ideologico | qtd_deputados | total_votos_com_diretriz | votos_alinhados | votos_contrarios | pct_alinhamento 
---------+---------------+-----------------+-----------------+------------------+---------------+--------------------------+-----------------+------------------+-----------------
       1 | MISSAO        |           7.750 | Direita         | direita          |             1 |                       49 |              49 |                0 |          100.00
       1 | PRD           |           8.161 | Direita         | direita          |             2 |                        8 |               8 |                0 |          100.00
       3 | NOVO          |           8.666 | Extrema direita | direita          |             5 |                     3642 |            3625 |               17 |           99.53
       4 | SOLIDARIEDADE |           6.007 | Centro-direita  | direita          |             9 |                      126 |             122 |                4 |           96.83
       5 | PDT           |           3.855 | Centro-esquerda | esquerda         |            20 |                     2285 |            2206 |               79 |           96.54
       6 | PSB           |           3.589 | Centro-esquerda | esquerda         |            22 |                     4631 |            4414 |              217 |           95.31
       7 | AVANTE        |           6.473 | Centro-direita  | direita          |            10 |                       89 |              84 |                5 |           94.38
       8 | MDB           |           6.499 | Centro-direita  | direita          |            45 |                      326 |             300 |               26 |           92.02
       9 | PP            |           8.153 | Direita         | direita          |            62 |                     1115 |            1025 |               90 |           91.93
      10 | PL            |           8.796 | Extrema direita | direita          |           138 |                    52857 |           48224 |             4633 |           91.23
      11 | PSD           |           6.937 | Centro-direita  | direita          |            47 |                      459 |             418 |               41 |           91.07
      12 | REPUBLICANOS  |           8.333 | Direita         | direita          |            51 |                      624 |             565 |               59 |           90.54
      13 | UNIAO         |           8.485 | Direita         | direita          |            70 |                     1690 |            1517 |              173 |           89.76
      14 | PODE          |           7.437 | Direita         | direita          |            15 |                      139 |             119 |               20 |           85.61
      15 | PATRIOTA      |           8.601 | Extrema direita | direita          |             3 |                        4 |               3 |                1 |           75.00
(15 rows)


Q10 - Alinhamento interno por ano
 ano_dados | sigla_partido | ideologia_score | ideologia_faixa | campo_ideologico | total_votos | votos_alinhados | pct_alinhamento 
-----------+---------------+-----------------+-----------------+------------------+-------------+-----------------+-----------------
      2023 | NOVO          |           8.666 | Extrema direita | direita          |         771 |             766 |           99.35
      2023 | PSB           |           3.589 | Centro-esquerda | esquerda         |         190 |             185 |           97.37
      2023 | SOLIDARIEDADE |           6.007 | Centro-direita  | direita          |          22 |              21 |           95.45
      2023 | PDT           |           3.855 | Centro-esquerda | esquerda         |         230 |             218 |           94.78
      2023 | AVANTE        |           6.473 | Centro-direita  | direita          |          56 |              53 |           94.64
      2023 | PSD           |           6.937 | Centro-direita  | direita          |         192 |             181 |           94.27
      2023 | MDB           |           6.499 | Centro-direita  | direita          |         171 |             157 |           91.81
      2023 | PP            |           8.153 | Direita         | direita          |         615 |             563 |           91.54
      2023 | PL            |           8.796 | Extrema direita | direita          |       18634 |           16845 |           90.40
      2023 | UNIAO         |           8.485 | Direita         | direita          |         912 |             816 |           89.47
      2023 | REPUBLICANOS  |           8.333 | Direita         | direita          |         177 |             149 |           84.18
      2023 | PODE          |           7.437 | Direita         | direita          |          61 |              51 |           83.61
      2023 | PATRIOTA      |           8.601 | Extrema direita | direita          |           4 |               3 |           75.00
      2024 | AVANTE        |           6.473 | Centro-direita  | direita          |           1 |               1 |          100.00
      2024 | PRD           |           8.161 | Direita         | direita          |           2 |               2 |          100.00
      2024 | SOLIDARIEDADE |           6.007 | Centro-direita  | direita          |           8 |               8 |          100.00
      2024 | NOVO          |           8.666 | Extrema direita | direita          |         794 |             790 |           99.50
      2024 | PSB           |           3.589 | Centro-esquerda | esquerda         |        2539 |            2436 |           95.94
      2024 | PDT           |           3.855 | Centro-esquerda | esquerda         |          47 |              45 |           95.74
      2024 | REPUBLICANOS  |           8.333 | Direita         | direita          |         250 |             239 |           95.60
      2024 | PP            |           8.153 | Direita         | direita          |         248 |             236 |           95.16
      2024 | UNIAO         |           8.485 | Direita         | direita          |         388 |             364 |           93.81
      2024 | PL            |           8.796 | Extrema direita | direita          |       19161 |           17477 |           91.21
      2024 | PSD           |           6.937 | Centro-direita  | direita          |         129 |             114 |           88.37
      2024 | MDB           |           6.499 | Centro-direita  | direita          |          76 |              66 |           86.84
      2024 | PODE          |           7.437 | Direita         | direita          |          52 |              44 |           84.62
      2025 | PRD           |           8.161 | Direita         | direita          |           2 |               2 |          100.00
      2025 | NOVO          |           8.666 | Extrema direita | direita          |        1673 |            1666 |           99.58
      2025 | MDB           |           6.499 | Centro-direita  | direita          |          73 |              71 |           97.26
      2025 | PDT           |           3.855 | Centro-esquerda | esquerda         |        1508 |            1460 |           96.82
      2025 | SOLIDARIEDADE |           6.007 | Centro-direita  | direita          |          66 |              63 |           95.45
      2025 | PSB           |           3.589 | Centro-esquerda | esquerda         |        1198 |            1114 |           92.99
      2025 | PL            |           8.796 | Extrema direita | direita          |        8222 |            7629 |           92.79
      2025 | PODE          |           7.437 | Direita         | direita          |          26 |              24 |           92.31
      2025 | REPUBLICANOS  |           8.333 | Direita         | direita          |         174 |             156 |           89.66
      2025 | PSD           |           6.937 | Centro-direita  | direita          |         125 |             112 |           89.60
      2025 | PP            |           8.153 | Direita         | direita          |         214 |             191 |           89.25
      2025 | UNIAO         |           8.485 | Direita         | direita          |         380 |             328 |           86.32
      2025 | AVANTE        |           6.473 | Centro-direita  | direita          |           2 |               1 |           50.00
      2026 | MDB           |           6.499 | Centro-direita  | direita          |           6 |               6 |          100.00
      2026 | MISSAO        |           7.750 | Direita         | direita          |          49 |              49 |          100.00
      2026 | PRD           |           8.161 | Direita         | direita          |           4 |               4 |          100.00
      2026 | SOLIDARIEDADE |           6.007 | Centro-direita  | direita          |          30 |              30 |          100.00
      2026 | NOVO          |           8.666 | Extrema direita | direita          |         404 |             403 |           99.75
      2026 | AVANTE        |           6.473 | Centro-direita  | direita          |          30 |              29 |           96.67
      2026 | PDT           |           3.855 | Centro-esquerda | esquerda         |         500 |             483 |           96.60
      2026 | PSB           |           3.589 | Centro-esquerda | esquerda         |         704 |             679 |           96.45
      2026 | PP            |           8.153 | Direita         | direita          |          38 |              35 |           92.11
      2026 | PL            |           8.796 | Extrema direita | direita          |        6840 |            6273 |           91.71
      2026 | REPUBLICANOS  |           8.333 | Direita         | direita          |          23 |              21 |           91.30
      2026 | UNIAO         |           8.485 | Direita         | direita          |          10 |               9 |           90.00
      2026 | PSD           |           6.937 | Centro-direita  | direita          |          13 |              11 |           84.62
(52 rows)


Q10 - Disciplina individual dos deputados
 sigla_partido | ideologia_score | ideologia_faixa | campo_ideologico | id_deputado |            nome_deputado            | total_votos_com_diretriz | votos_alinhados | pct_disciplina_individual 
---------------+-----------------+-----------------+------------------+-------------+-------------------------------------+--------------------------+-----------------+---------------------------
 AVANTE        |           6.473 | Centro-direita  | direita          |      204515 | André Janones                       |                       12 |              12 |                    100.00
 AVANTE        |           6.473 | Centro-direita  | direita          |      210989 | Bruno Farias                        |                        1 |               1 |                    100.00
 AVANTE        |           6.473 | Centro-direita  | direita          |      160510 | Luis Tibé                           |                        1 |               1 |                    100.00
 AVANTE        |           6.473 | Centro-direita  | direita          |      220703 | Neto Carletto                       |                        6 |               6 |                    100.00
 AVANTE        |           6.473 | Centro-direita  | direita          |      204553 | Pastor Sargento Isidório            |                       11 |              11 |                    100.00
 AVANTE        |           6.473 | Centro-direita  | direita          |      235712 | Vavá                                |                        6 |               6 |                    100.00
 AVANTE        |           6.473 | Centro-direita  | direita          |       91228 | Waldemar Oliveira                   |                       38 |              36 |                     94.74
 AVANTE        |           6.473 | Centro-direita  | direita          |      220686 | Duarte Jr.                          |                        6 |               5 |                     83.33
 AVANTE        |           6.473 | Centro-direita  | direita          |      220625 | Delegada Ione                       |                        4 |               3 |                     75.00
 AVANTE        |           6.473 | Centro-direita  | direita          |      198197 | Greyce Elias                        |                        4 |               3 |                     75.00
 MDB           |           6.499 | Centro-direita  | direita          |      204379 | Acácio Favacho                      |                        2 |               2 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |       74696 | Alberto Mourão                      |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      160559 | Alceu Moreira                       |                        5 |               5 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220542 | Alexandre Guimarães                 |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220676 | Andreia Siqueira                    |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220675 | Antônio Doido                       |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      178975 | Baleia Rossi                        |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      204361 | Carlos Chiodini                     |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      178876 | Célio Silveira                      |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      141408 | Cleber Verde                        |                       15 |              15 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220540 | Duda Ramos                          |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      198783 | Emanuel Pinheiro Neto               |                        2 |               2 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220653 | Fábio Teruel                        |                        2 |               2 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      225727 | Flavinha                            |                        8 |               8 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      204456 | Gutemberg Reis                      |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220537 | Helena Lima                         |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220672 | Henderson Pinto                     |                        3 |               3 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      204539 | Hercílio Coelho Diniz               |                        7 |               7 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      178884 | Hildo Rocha                         |                       10 |              10 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      204436 | Isnaldo Bulhões Jr.                 |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      220670 | Iza Arruda                          |                        1 |               1 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      230957 | João Cury                           |                        4 |               4 |                    100.00
 MDB           |           6.499 | Centro-direita  | direita          |      228837 | Juliana Kolankiewicz                |                        1 |               1 |                    100.00
