Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | AP       | MDB           |  1778107.56
      220540 | DUDA BRITO RAMOS                                    | RR       | PODE          |  1776660.43
      160665 | AUGUSTO RODRIGUES COUTINHO DE MELO                  | PE       | REPUBLICANOS  |  1775627.42
      104552 | MARIA DO SOCORRO NERI MEDEIROS DE SOUZA             | AC       | PP            |  1773995.96
      204396 | NELSI COGUETTO MARIA                                | PR       | PL            |  1770026.19
       74454 | EUNÍCIO LOPES DE OLIVEIRA                           | CE       | MDB           |  1768508.46
      141421 | EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA      | PE       | PP            |  1767316.55
      220542 | JOSÉ ALEXANDRE DOMINGUES GUIMARÃES                  | TO       | MDB           |  1766907.67
       81055 | MÁRCIO JERRY SARAIVA BARROSO                        | MA       | PCDOB         |  1765336.53
      143632 | DOMINGOS GOMES DE AGUIAR NETO                       | CE       | PSD           |  1764811.31
      178829 | JOSE AUGUSTO ROSA                                   | SP       | PL            |  1763285.67
      141485 | LUIZ CARLOS GHIORZZI BUSATO                         | RS       | UNIAO         |  1763164.22
      160673 | GIOVANI CHERINI                                     | RS       | PL            |  1762973.01
      122974 | PEDRO LUCAS ANDRADE FERNANDES RIBEIRO               | MA       | UNIAO         |  1762046.91
       62881 | FRANCISCO DANILO BASTOS FORTE                       | CE       | PP            |  1761454.36
      220671 | DILVANDA FURTADO FARO                               | PA       | PT            |  1760834.02
       73692 | OSMAR GASPARINI TERRA                               | RS       | PL            |  1760582.72
      178929 | DIEGO ALEXSANDER GONCALO PAULA GARCIA               | PR       | UNIAO         |  1760360.05
       74043 | JOSÉ WELLINGTON ROBERTO                             | PB       | PSD           |  1759866.05
      220588 | ROBERTO DUARTE JUNIOR                               | AC       | REPUBLICANOS  |  1758491.65
      220548 | CAMILA BAZACHI JARA MARZOCHI                        | MS       | PT            |  1756301.69
      209189 | JOSEILDO RIBEIRO RAMOS                              | BA       | PT            |  1756063.34
      220597 | THIAGO LEITE FLORES PEREIRA                         | RO       | UNIAO         |  1753601.32
      220555 | DAIANA SILVA DOS SANTOS                             | RS       | PCDOB         |  1752991.12
      220573 | DORINALDO BARBOSA MALAFAIA                          | AP       | PDT           |  1751777.53
      220675 | ANTONIO LEOCÁDIO DOS SANTOS                         | PA       | MDB           |  1750315.54
       74044 | JOSÉ WILSON SANTIAGO                                | PB       | REPUBLICANOS  |  1741547.06
      178963 | LUIS ANTONIO FRANCISCATTO COVATTI                   | RS       | PP            |  1739144.52
      220669 | LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE | PE       | PP            |  1737328.53
      178887 | RUBENS PEREIRA E SILVA JUNIOR                       | MA       | PT            |  1734004.48
      153423 | RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE          | PA       | MDB           |  1733789.66
      220697 | JADYEL SILVA ALENCAR                                | PI       | REPUBLICANOS  |  1732479.55
      160635 | RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR         | PB       | PODE          |  1732121.96
      141470 | JOSÉ NOBRE GUIMARÃES                                | CE       | PT            |  1731468.95
      220703 | ORLANDO SULZ DE ALMEIDA NETO                        | BA       | AVANTE        |  1729324.80
      109429 | LUIZ BENES LEOCADIO DE ARAUJO                       | RN       | UNIAO         |  1728125.68
      220633 | RICARDO DE AQUINO SALLES                            | SP       | NOVO          |  1728099.35
      220663 | JOSÉ ERIBERTO MEDEIROS DE OLIVEIRA                  | PE       | PSB           |  1727600.23
      220557 | DANIELA CRISTINA REINEHR                            | SC       | PL            |  1726966.61
       88256 | CLODOALDO MAGALHÃES OLIVEIRA LYRA                   | PE       | PV            |  1724153.60
      220609 | MAURICIO FONSECA RIBEIRO CARVALHO DE MORAES         | RO       | UNIAO         |  1720691.47
       69871 | JOAO CARLOS BACELAR BATISTA                         | BA       | PV            |  1720351.14
      204416 | UBIRATAN ANTUNES SANDERSON                          | RS       | PL            |  1718901.37
      178934 | ANTONIO WANDSCHEER                                  | PR       | PP            |  1718891.37
       73768 | DILCEU JOÃO SPERAFICO                               | PR       | PP            |  1718424.29
      162067 | FRANCISCO DANIEL CELEGUIM DE MORAIS                 | SP       | PT            |  1716291.24
       74376 | VANDER LUIZ DOS SANTOS LOUBET                       | MS       | PT            |  1713531.39
      178927 | ALIEL MACHADO BARK                                  | PR       | PV            |  1712063.98
      204481 | JAZIEL PEREIRA DE SOUSA                             | CE       | PL            |  1710065.89
      220684 | SEBASTIÃO HENRIQUE DE MEDEIROS                      | PR       | PP            |  1709086.42
      220640 | JULIANA CARDOSO                                     | SP       | PT            |  1708388.39
