Q8 complemento - ranking completo de influencia legislativa
 ano_dados | id_deputado |                nome                 | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas 
      2023 |      220560 | Thiago de Joaldo                    |                 182 |                     1 |          0.55
      2023 |      204567 | Raimundo Costa                      |                 183 |                     1 |          0.55
      2023 |      204396 | Vermelho                            |                 186 |                     1 |          0.54
      2023 |      137070 | Vicentinho Júnior                   |                 376 |                     2 |          0.53
      2023 |       74159 | Odair Cunha                         |                 188 |                     1 |          0.53
      2023 |      204557 | Sidney Leite                        |                 189 |                     1 |          0.53
      2023 |      220638 | Antonio Carlos Rodrigues            |                 188 |                     1 |          0.53
      2023 |       74273 | Jefferson Campos                    |                 187 |                     1 |          0.53
      2023 |      178908 | Delegado Éder Mauro                 |                 192 |                     1 |          0.52
      2023 |      204453 | Natália Bonavides                   |                 194 |                     1 |          0.52
      2023 |      178934 | Toninho Wandscheer                  |                 194 |                     1 |          0.52
      2023 |       74041 | Luiz Couto                          |                 389 |                     2 |          0.51
      2023 |      220628 | Mauricio do Vôlei                   |                 197 |                     1 |          0.51
      2023 |       74784 | Luiza Erundina                      |                 198 |                     1 |          0.51
      2023 |      220695 | Rogéria Santos                      |                 599 |                     3 |          0.50
      2023 |      204412 | Dr. Zacharias Calil                 |                 602 |                     3 |          0.50
      2023 |      220543 | Ricardo Ayres                       |                 596 |                     3 |          0.50
      2023 |      220707 | Amanda Gentil                       |                 397 |                     2 |          0.50
      2023 |      220672 | Henderson Pinto                     |                 199 |                     1 |          0.50
      2023 |      220529 | Gilson Daniel                       |                 411 |                     2 |          0.49
      2023 |      204560 | Adolfo Viana                        |                 206 |                     1 |          0.49
      2023 |      204355 | Da Vitoria                          |                 204 |                     1 |          0.49
      2023 |      204410 | Luisa Canziani                      |                 416 |                     2 |          0.48
      2023 |      204540 | Maria Rosas                         |                 207 |                     1 |          0.48
      2023 |      204496 | Celso Sabino                        |                 207 |                     1 |          0.48
      2023 |      220545 | Filipe Martins                      |                 207 |                     1 |          0.48
      2023 |       74283 | Vicentinho                          |                 208 |                     1 |          0.48
      2023 |      204395 | Pedro Lupion                        |                 209 |                     1 |          0.48
      2023 |      220658 | Luiz Gastão                         |                 212 |                     1 |          0.47
      2023 |      204441 | Otoni de Paula                      |                 214 |                     1 |          0.47
      2023 |      220577 | Augusto Puppio                      |                 211 |                     1 |          0.47
      2023 |      178866 | Luizianne Lins                      |                 212 |                     1 |          0.47
      2023 |      220656 | Fernanda Pessoa                     |                 433 |                     2 |          0.46
      2023 |      141421 | Eduardo da Fonte                    |                 218 |                     1 |          0.46
      2023 |       74371 | Rubens Otoni                        |                 216 |                     1 |          0.46
      2023 |      178947 | Sóstenes Cavalcante                 |                 449 |                     2 |          0.45
      2023 |      204491 | Gilberto Abramo                     |                 445 |                     2 |          0.45
      2023 |       74044 | Wilson Santiago                     |                 441 |                     2 |          0.45
      2023 |      160518 | Weliton Prado                       |                 220 |                     1 |          0.45
      2023 |      107970 | Ana Paula Leão                      |                 222 |                     1 |          0.45
      2023 |      204460 | Carlos Jordy                        |                 221 |                     1 |          0.45
      2023 |      191923 | Flávio Nogueira                     |                 224 |                     1 |          0.45
      2023 |       74848 | Jandira Feghali                     |                 224 |                     1 |          0.45
      2023 |      220595 | Coronel Fernanda                    |                 454 |                     2 |          0.44
      2023 |      160601 | Pr. Marco Feliciano                 |                 229 |                     1 |          0.44
      2023 |      221378 | Reginete Bispo                      |                 228 |                     1 |          0.44
      2023 |      220572 | Marussa Boldrin                     |                 234 |                     1 |          0.43
      2023 |      180214 | Pastor Diniz                        |                 237 |                     1 |          0.42
      2023 |      204573 | Otto Alencar Filho                  |                 238 |                     1 |          0.42
      2023 |      220552 | Zucco                               |                 491 |                     2 |          0.41
      2023 |      178962 | Carlos Gomes                        |                 241 |                     1 |          0.41
      2023 |      220686 | Duarte Jr.                          |                 505 |                     2 |          0.40
      2023 |      204497 | Júnior Ferrari                      |                 247 |                     1 |          0.40
      2023 |      204379 | Acácio Favacho                      |                 253 |                     1 |          0.40
      2023 |      220703 | Neto Carletto                       |                 252 |                     1 |          0.40
      2023 |      220657 | André Fernandes                     |                 253 |                     1 |          0.40
      2023 |       72442 | Felipe Carreras                     |                 516 |                     2 |          0.39
      2023 |      220666 | Coronel Meira                       |                 519 |                     2 |          0.39
      2023 |      150418 | Márcio Marinho                      |                 518 |                     2 |          0.39
      2023 |       89536 | Prof. Paulo Fernando                |                 508 |                     2 |          0.39
      2023 |       74075 | Elcione Barbalho                    |                 254 |                     1 |          0.39
      2023 |      178931 | Luciano Ducci                       |                 258 |                     1 |          0.39
      2023 |      141470 | José Guimarães                      |                 259 |                     1 |          0.39
      2023 |      220592 | Zezinho Barbary                     |                 254 |                     1 |          0.39
      2023 |      220623 | Duda Salabert                       |                 257 |                     1 |          0.39
      2023 |      220561 | Delegada Katarina                   |                 255 |                     1 |          0.39
      2023 |       74253 | Julio Lopes                         |                 522 |                     2 |          0.38
      2023 |      141458 | João Carlos Bacelar                 |                 269 |                     1 |          0.37
      2023 |      220640 | Juliana Cardoso                     |                 267 |                     1 |          0.37
      2023 |      123756 | Antônia Lúcia                       |                 272 |                     1 |          0.37
      2023 |      220647 | Mauricio Neves                      |                 271 |                     1 |          0.37
      2023 |      160559 | Alceu Moreira                       |                 269 |                     1 |          0.37
      2023 |      220691 | Diego Coronel                       |                 271 |                     1 |          0.37
      2023 |      204476 | Chiquinho Brazão                    |                 271 |                     1 |          0.37
      2023 |      204536 | Kim Kataguiri                       |                 841 |                     3 |          0.36
      2023 |      178896 | Newton Cardoso Jr                   |                 274 |                     1 |          0.36
      2023 |      213274 | Ricardo Silva                       |                 275 |                     1 |          0.36
      2023 |      220557 | Daniela Reinehr                     |                 280 |                     1 |          0.36
      2023 |      204387 | Sargento Fahur                      |                 287 |                     1 |          0.35
      2023 |      179000 | Marcelo Álvaro Antônio              |                 289 |                     1 |          0.35
      2023 |      220573 | Dorinaldo Malafaia                  |                 283 |                     1 |          0.35
      2023 |      221148 | Alfredinho                          |                 282 |                     1 |          0.35
      2023 |      178997 | Moses Rodrigues                     |                 297 |                     1 |          0.34
      2023 |      204522 | Marco Bertaiolli                    |                 294 |                     1 |          0.34
      2023 |      204566 | Marreca Filho                       |                 293 |                     1 |          0.34
      2023 |      220596 | Amália Barros                       |                 296 |                     1 |          0.34
      2023 |      160642 | Pastor Eurico                       |                 297 |                     1 |          0.34
      2023 |      160512 | Aureo Ribeiro                       |                 598 |                     2 |          0.33
      2023 |      139285 | Lídice da Mata                      |                 611 |                     2 |          0.33
      2023 |       74585 | Lincoln Portela                     |                 303 |                     1 |          0.33
      2023 |      204369 | Caroline de Toni                    |                 313 |                     1 |          0.32
      2023 |      178876 | Célio Silveira                      |                 316 |                     1 |          0.32
      2023 |      220589 | Eduardo Velloso                     |                 310 |                     1 |          0.32
      2023 |      220619 | Delegado Ramagem                    |                 314 |                     1 |          0.32
      2023 |      204517 | Zé Vitor                            |                 310 |                     1 |          0.32
      2023 |      178989 | Renata Abreu                        |                 314 |                     1 |          0.32
      2023 |      157130 | Túlio Gadêlha                       |                 313 |                     1 |          0.32
      2023 |      220648 | Marangoni                           |                1275 |                     4 |          0.31
      2023 |       98148 | Cobalchini                          |                 324 |                     1 |          0.31
      2023 |      204541 | Eduardo Bismarck                    |                 324 |                     1 |          0.31
      2023 |      153423 | Renilce Nicodemos                   |                 321 |                     1 |          0.31
      2023 |      222142 | Coronel Telhada                     |                 335 |                     1 |          0.30
      2023 |      220553 | Denise Pessôa                       |                 336 |                     1 |          0.30
      2023 |      220704 | Carol Dartora                       |                 332 |                     1 |          0.30
      2023 |      204361 | Carlos Chiodini                     |                 336 |                     1 |          0.30
      2023 |      160556 | Padre João                          |                 682 |                     2 |          0.29
      2023 |      178954 | Lucio Mosquini                      |                 342 |                     1 |          0.29
      2023 |      160758 | Domingos Sávio                      |                 349 |                     1 |          0.29
      2023 |      220590 | Coronel Ulysses                     |                 348 |                     1 |          0.29
      2023 |       74398 | Maria do Rosário                    |                 346 |                     1 |          0.29
      2023 |      178829 | Capitão Augusto                     |                 346 |                     1 |          0.29
      2023 |       74084 | Raimundo Santos                     |                1071 |                     3 |          0.28
      2023 |      220563 | Icaro de Valmir                     |                 355 |                     1 |          0.28
      2023 |      220591 | Meire Serafim                       |                 355 |                     1 |          0.28
      2023 |      160674 | Hugo Motta                          |                 357 |                     1 |          0.28
      2023 |       74156 | Leonardo Monteiro                   |                 359 |                     1 |          0.28
      2023 |      220712 | Fausto Jr.                          |                 351 |                     1 |          0.28
      2023 |       74428 | Mendonça Filho                      |                 356 |                     1 |          0.28
      2023 |      178929 | Diego Garcia                        |                 734 |                     2 |          0.27
      2023 |      178970 | João Daniel                         |                 370 |                     1 |          0.27
      2023 |      220645 | Erika Hilton                        |                 364 |                     1 |          0.27
      2023 |      204398 | Felipe Francischini                 |                 367 |                     1 |          0.27
      2023 |      204416 | Sanderson                           |                 368 |                     1 |          0.27
      2023 |      161440 | Pezenti                             |                 382 |                     1 |          0.26
      2023 |      104552 | Socorro Neri                        |                 380 |                     1 |          0.26
      2023 |      220576 | Alfredo Gaspar                      |                 389 |                     1 |          0.26
      2023 |      220644 | Rosangela Moro                      |                 378 |                     1 |          0.26
      2023 |      204388 | Bibo Nunes                          |                 384 |                     1 |          0.26
      2023 |      220588 | Roberto Duarte                      |                 380 |                     1 |          0.26
      2023 |      220569 | Silvye Alves                        |                 392 |                     1 |          0.26
      2023 |      204455 | Luiz Lima                           |                 388 |                     1 |          0.26
      2023 |      160553 | Antonio Brito                       |                 384 |                     1 |          0.26
      2023 |      133439 | André Figueiredo                    |                 813 |                     2 |          0.25
      2023 |      141408 | Cleber Verde                        |                 403 |                     1 |          0.25
      2023 |      220610 | Dr. Fernando Máximo                 |                 401 |                     1 |          0.25
      2023 |      204406 | Pedro Westphalen                    |                 408 |                     1 |          0.25
      2023 |      220531 | Gilvan Maximo                       |                 418 |                     1 |          0.24
      2023 |      220625 | Delegada Ione                       |                 410 |                     1 |          0.24
      2023 |      178986 | Nilto Tatto                         |                 860 |                     2 |          0.23
      2023 |      204374 | Bia Kicis                           |                 444 |                     1 |          0.23
      2023 |      160161 | Marcelo Queiroz                     |                 442 |                     1 |          0.23
      2023 |      220579 | Silvia Waiãpi                       |                 434 |                     1 |          0.23
      2023 |      220530 | Messias Donato                      |                 436 |                     1 |          0.23
      2023 |      204464 | Talíria Petrone                     |                 455 |                     1 |          0.22
      2023 |       73441 | Celso Russomanno                    |                 456 |                     1 |          0.22
      2023 |      220659 | Dayany Bittencourt                  |                 456 |                     1 |          0.22
      2023 |      220538 | Albuquerque                         |                 486 |                     1 |          0.21
      2023 |       98057 | Lafayette de Andrada                |                 477 |                     1 |          0.21
      2023 |      160517 | Paulo Folletto                      |                 479 |                     1 |          0.21
      2023 |      220593 | Abilio Brunini                      |                 481 |                     1 |          0.21
      2023 |      171617 | Paulão                              |                 473 |                     1 |          0.21
      2023 |      220564 | Yandra Moura                        |                 482 |                     1 |          0.21
      2023 |      220534 | Fred Linhares                       |                 483 |                     1 |          0.21
      2023 |      220550 | Mauricio Marcon                     |                 498 |                     1 |          0.20
      2023 |      220558 | Zé Trovão                           |                 492 |                     1 |          0.20
      2023 |      221338 | Professora Luciene Cavalcante       |                 507 |                     1 |          0.20
      2023 |      220713 | Saullo Vianna                       |                 531 |                     1 |          0.19
      2023 |      178857 | Jorge Solla                         |                 518 |                     1 |          0.19
      2023 |      220568 | Gustavo Gayer                       |                 531 |                     1 |          0.19
      2023 |      204572 | Capitão Alberto Neto                |                1783 |                     3 |          0.17
      2023 |      220574 | Cabo Gilberto Silva                 |                 577 |                     1 |          0.17
      2023 |      204501 | Alencar Santana                     |                 579 |                     1 |          0.17
      2023 |      204520 | Junio Amaral                        |                 599 |                     1 |          0.17
      2023 |       74171 | Chico Alencar                       |                 661 |                     1 |          0.15
      2023 |      220654 | Delegado Paulo Bilynskyj            |                 675 |                     1 |          0.15
      2023 |      160575 | Erika Kokay                         |                 785 |                     1 |          0.13
      2023 |       74478 | Luciano Bivar                       |                 837 |                     1 |          0.12
      2023 |      220547 | Marcos Pollon                       |                 819 |                     1 |          0.12
      2023 |      220715 | Amom Mandel                         |                 886 |                     1 |          0.11
      2023 |      204528 | Adriana Ventura                     |                1125 |                     1 |          0.09
      2023 |      220618 | Sargento Portugal                   |                1437 |                     1 |          0.07
      2023 |      178937 | Altineu Côrtes                      |                1827 |                     1 |          0.05
      2023 |      204506 | Marcos Pereira                      |                3111 |                     1 |          0.03
      2023 |      204365 | Gilson Marques                      |                2996 |                     1 |          0.03
      2023 |      141456 | Jilmar Tatto                        |                 174 |                     0 |          0.00
      2023 |      141466 | JOSÉ FERNANDO APARECIDO DE OLIVEIRA |                   2 |                     0 |          0.00
      2023 |      141467 | FRANCISCO TENÓRIO                   |                   3 |                     0 |          0.00
      2023 |      141472 | RICARDO TRIPOLI                     |                   1 |                     0 |          0.00
      2023 |      141473 | ROBERTO SANTIAGO                    |                   1 |                     0 |          0.00
      2023 |      141480 | Lázaro Botelho                      |                  84 |                     0 |          0.00
      2023 |      141485 | Luiz Carlos Busato                  |                 146 |                     0 |          0.00
      2023 |      141488 | Paulo Teixeira                      |                   2 |                     0 |          0.00
      2023 |      141491 | PASTOR MANOEL FERREIRA              |                   2 |                     0 |          0.00
      2023 |      141509 | MIGUEL CORRÊA                       |                   3 |                     0 |          0.00
      2023 |      141510 | NEILTON MULIM                       |                   1 |                     0 |          0.00
      2023 |      141516 | Paulo Abi-Ackel                     |                  54 |                     0 |          0.00
      2023 |      141518 | Paulinho da Força                   |                   1 |                     0 |          0.00
      2023 |      141528 | RENATO AMARY                        |                   2 |                     0 |          0.00
      2023 |      141540 | DR. NECHAR                          |                   5 |                     0 |          0.00
      2023 |      141545 | SILVINHO PECCIOLI                   |                   1 |                     0 |          0.00
      2023 |      141547 | SOLANGE ALMEIDA                     |                   4 |                     0 |          0.00
      2023 |      141550 | DR. TALMIR                          |                   1 |                     0 |          0.00
      2023 |      141556 | VITAL DO RÊGO FILHO                 |                   1 |                     0 |          0.00
      2023 |      141563 | WILLIAM WOO                         |                   1 |                     0 |          0.00
      2023 |      141870 | VILSON COVATTI                      |                   2 |                     0 |          0.00
      2023 |      143942 | Caio Vianna                         |                 127 |                     0 |          0.00
      2023 |      151208 | Laercio Oliveira                    |                   5 |                     0 |          0.00
      2023 |      152605 | Glauber Braga                       |                 163 |                     0 |          0.00
      2023 |      152607 | ZÉ VIEIRA                           |                   1 |                     0 |          0.00
      2023 |      154919 | Eleuses Paiva                       |                   1 |                     0 |          0.00
      2023 |      155920 | GERALDINHO                          |                   1 |                     0 |          0.00
      2023 |      156190 | Marcel van Hattem                   |                 590 |                     0 |          0.00
      2023 |      159237 | Assis Carvalho                      |                   1 |                     0 |          0.00
      2023 |      160509 | JORGINHO MELLO                      |                   2 |                     0 |          0.00
      2023 |      160527 | Aguinaldo Ribeiro                   |                  65 |                     0 |          0.00
      2023 |      160531 | Jhonatan de Jesus                   |                   7 |                     0 |          0.00
      2023 |      160535 | Marcon                              |                 622 |                     0 |          0.00
      2023 |      160539 | ANTHONY GAROTINHO                   |                   2 |                     0 |          0.00
      2023 |      160541 | Arthur Lira                         |                   1 |                     0 |          0.00
      2023 |      160545 | Alexandre Leite                     |                 116 |                     0 |          0.00
      2023 |      160552 | Danrlei de Deus Hinterholz          |                   7 |                     0 |          0.00
      2023 |      160558 | Paulo Freire Costa                  |                 102 |                     0 |          0.00
      2023 |      160568 | ROGÉRIO CARVALHO                    |                   2 |                     0 |          0.00
      2023 |      160569 | Waldenor Pereira                    |                 197 |                     0 |          0.00
      2023 |      160570 | Jerônimo Goergen                    |                   3 |                     0 |          0.00
      2023 |      160572 | JORGE CÔRTE REAL                    |                   2 |                     0 |          0.00
      2023 |      160591 | Vinicius Gurgel                     |                  32 |                     0 |          0.00
      2023 |      160592 | Zeca Dirceu                         |                 805 |                     0 |          0.00
      2023 |      160597 | ROMÁRIO                             |                   2 |                     0 |          0.00
      2023 |      160599 | Dimas Fabiano                       |                  50 |                     0 |          0.00
      2023 |      160600 | Arthur Oliveira Maia                |                 278 |                     0 |          0.00
      2023 |      160604 | Pedro Uczai                         |                 595 |                     0 |          0.00
      2023 |      160610 | Valmir Assunção                     |                 589 |                     0 |          0.00
      2023 |      160621 | Sandro Alex                         |                  13 |                     0 |          0.00
      2023 |      160629 | Romero Rodrigues                    |                 250 |                     0 |          0.00
      2023 |      160632 | Zé Silva                            |                 286 |                     0 |          0.00
