Q10 - Alinhamento interno dos partidos
(Qual partido convence mais seus deputados a seguir a orientacao partidaria)

Q10 - Ranking de alinhamento interno - consolidado (2023-2026)
 posicao | sigla_partido |    ideologia     | qtd_deputados | total_votos_com_diretriz | votos_alinhados | votos_contrarios | pct_alinhamento 
---------+---------------+------------------+---------------+--------------------------+-----------------+------------------+-----------------
       1 | MISSAO        | centro           |             1 |                       42 |              42 |                0 |          100.00
       1 | PRD           | centro           |             2 |                        6 |               6 |                0 |          100.00
       3 | NOVO          | direita          |             5 |                     1415 |            1408 |                7 |           99.51
       4 | PDT           | esquerda         |            20 |                      894 |             859 |               35 |           96.09
       5 | PSB           | esquerda         |            22 |                     1300 |            1244 |               56 |           95.69
       6 | AVANTE        | centro           |             7 |                       57 |              54 |                3 |           94.74
       7 | PSD           | centro           |            19 |                      258 |             242 |               16 |           93.80
       8 | SOLIDARIEDADE | centro           |             2 |                       16 |              15 |                1 |           93.75
       9 | PP            | direita          |            53 |                      764 |             700 |               64 |           91.62
      10 | MDB           | centro           |            14 |                      209 |             191 |               18 |           91.39
      11 | UNIAO         | centro           |            63 |                     1113 |            1008 |              105 |           90.57
      12 | PL            | direita          |           138 |                    28280 |           25564 |             2716 |           90.40
      13 | REPUBLICANOS  | direita          |            28 |                      292 |             255 |               37 |           87.33
      14 | PODE          | centro           |             5 |                       80 |              68 |               12 |           85.00
      15 | PATRIOTA      | nao classificado |             3 |                        4 |               3 |                1 |           75.00
(15 rows)


Q10 - Alinhamento interno por ano
 ano_dados | sigla_partido |    ideologia     | total_votos | votos_alinhados | pct_alinhamento 
-----------+---------------+------------------+-------------+-----------------+-----------------
      2023 | NOVO          | direita          |         771 |             766 |           99.35
      2023 | PSB           | esquerda         |         190 |             185 |           97.37
      2023 | PDT           | esquerda         |         230 |             218 |           94.78
      2023 | AVANTE        | centro           |          56 |              53 |           94.64
      2023 | PSD           | centro           |         192 |             181 |           94.27
      2023 | SOLIDARIEDADE | centro           |          13 |              12 |           92.31
      2023 | MDB           | centro           |         171 |             157 |           91.81
      2023 | PP            | direita          |         615 |             563 |           91.54
      2023 | PL            | direita          |       18634 |           16845 |           90.40
      2023 | UNIAO         | centro           |         912 |             816 |           89.47
      2023 | REPUBLICANOS  | direita          |         177 |             149 |           84.18
      2023 | PODE          | centro           |          61 |              51 |           83.61
      2023 | PATRIOTA      | nao classificado |           4 |               3 |           75.00
      2024 | AVANTE        | centro           |           1 |               1 |          100.00
      2024 | PRD           | centro           |           2 |               2 |          100.00
      2024 | SOLIDARIEDADE | centro           |           2 |               2 |          100.00
      2024 | NOVO          | direita          |         128 |             127 |           99.22
      2024 | REPUBLICANOS  | direita          |          78 |              76 |           97.44
      2024 | UNIAO         | centro           |         131 |             126 |           96.18
      2024 | PSB           | esquerda         |         358 |             343 |           95.81
      2024 | PDT           | esquerda         |          17 |              16 |           94.12
      2024 | PL            | direita          |        3179 |            2958 |           93.05
      2024 | PSD           | centro           |          43 |              40 |           93.02
      2024 | PP            | direita          |         103 |              94 |           91.26
      2024 | PODE          | centro           |          19 |              17 |           89.47
      2024 | MDB           | centro           |          34 |              30 |           88.24
      2025 | MDB           | centro           |           4 |               4 |          100.00
      2025 | NOVO          | direita          |         152 |             152 |          100.00
      2025 | PP            | direita          |          17 |              17 |          100.00
      2025 | PSD           | centro           |          13 |              13 |          100.00
      2025 | PDT           | esquerda         |         174 |             169 |           97.13
      2025 | UNIAO         | centro           |          64 |              61 |           95.31
      2025 | PSB           | esquerda         |         114 |             103 |           90.35
      2025 | PL            | direita          |        1057 |             873 |           82.59
      2025 | REPUBLICANOS  | direita          |          20 |              15 |           75.00
      2026 | MISSAO        | centro           |          42 |              42 |          100.00
      2026 | PRD           | centro           |           4 |               4 |          100.00
      2026 | SOLIDARIEDADE | centro           |           1 |               1 |          100.00
      2026 | NOVO          | direita          |         364 |             363 |           99.73
      2026 | PDT           | esquerda         |         473 |             456 |           96.41
      2026 | PSB           | esquerda         |         638 |             613 |           96.08
      2026 | PL            | direita          |        5410 |            4888 |           90.35
      2026 | PP            | direita          |          29 |              26 |           89.66
      2026 | REPUBLICANOS  | direita          |          17 |              15 |           88.24
      2026 | UNIAO         | centro           |           6 |               5 |           83.33
      2026 | PSD           | centro           |          10 |               8 |           80.00
(46 rows)


Q10 - Disciplina individual dos deputados
 sigla_partido |    ideologia     | id_deputado |            nome_deputado            | total_votos_com_diretriz | votos_alinhados | pct_disciplina_individual 
---------------+------------------+-------------+-------------------------------------+--------------------------+-----------------+---------------------------
 AVANTE        | centro           |      204515 | André Janones                       |                       12 |              12 |                    100.00
 AVANTE        | centro           |      210989 | Bruno Farias                        |                        1 |               1 |                    100.00
 AVANTE        | centro           |      160510 | Luis Tibé                           |                        1 |               1 |                    100.00
 AVANTE        | centro           |      204553 | Pastor Sargento Isidório            |                        5 |               5 |                    100.00
 AVANTE        | centro           |       91228 | Waldemar Oliveira                   |                       30 |              29 |                     96.67
 AVANTE        | centro           |      220625 | Delegada Ione                       |                        4 |               3 |                     75.00
 AVANTE        | centro           |      198197 | Greyce Elias                        |                        4 |               3 |                     75.00
 MDB           | centro           |       74696 | Alberto Mourão                      |                        1 |               1 |                    100.00
 MDB           | centro           |      204361 | Carlos Chiodini                     |                        1 |               1 |                    100.00
 MDB           | centro           |      141408 | Cleber Verde                        |                        7 |               7 |                    100.00
 MDB           | centro           |      225727 | Flavinha                            |                        8 |               8 |                    100.00
 MDB           | centro           |      204539 | Hercílio Coelho Diniz               |                        5 |               5 |                    100.00
 MDB           | centro           |      220586 | Rafael Brito                        |                        4 |               4 |                    100.00
 MDB           | centro           |       98148 | Cobalchini                          |                       70 |              66 |                     94.29
 MDB           | centro           |      220674 | Dra. Alessandra Haber               |                       15 |              14 |                     93.33
 MDB           | centro           |      153423 | Renilce Nicodemos                   |                       30 |              28 |                     93.33
 MDB           | centro           |      204474 | Juarez Costa                        |                       43 |              39 |                     90.70
 MDB           | centro           |      178933 | Sergio Souza                        |                        8 |               7 |                     87.50
 MDB           | centro           |      204498 | Olival Marques                      |                       10 |               7 |                     70.00
 MDB           | centro           |       74454 | Eunício Oliveira                    |                        6 |               4 |                     66.67
 MDB           | centro           |      220652 | Delegado Palumbo                    |                        1 |               0 |                      0.00
 MISSAO        | centro           |      204536 | Kim Kataguiri                       |                       42 |              42 |                    100.00
 NOVO          | direita          |      220633 | Ricardo Salles                      |                       85 |              85 |                    100.00
 NOVO          | direita          |      204365 | Gilson Marques                      |                      446 |             444 |                     99.55
 NOVO          | direita          |      156190 | Marcel van Hattem                   |                      400 |             398 |                     99.50
 NOVO          | direita          |      204528 | Adriana Ventura                     |                      371 |             369 |                     99.46
 NOVO          | direita          |      204455 | Luiz Lima                           |                      113 |             112 |                     99.12
 PATRIOTA      | nao classificado |      204518 | Dr. Frederico                       |                        1 |               1 |                    100.00
 PATRIOTA      | nao classificado |      220630 | Pedro Aihara                        |                        1 |               1 |                    100.00
 PATRIOTA      | nao classificado |      204566 | Marreca Filho                       |                        2 |               1 |                     50.00
 PDT           | esquerda         |      133439 | André Figueiredo                    |                       47 |              47 |                    100.00
 PDT           | esquerda         |      204496 | Celso Sabino                        |                        1 |               1 |                    100.00
 PDT           | esquerda         |      220573 | Dorinaldo Malafaia                  |                       45 |              45 |                    100.00
 PDT           | esquerda         |      160666 | Félix Mendonça Júnior               |                       52 |              52 |                    100.00
 PDT           | esquerda         |      220580 | Professora Goreth                   |                       11 |              11 |                    100.00
 PDT           | esquerda         |      220578 | Josenildo                           |                       57 |              56 |                     98.25
 PDT           | esquerda         |      204486 | Mauro Benevides Filho               |                       56 |              55 |                     98.21
 PDT           | esquerda         |       74299 | Leônidas Cristino                   |                       53 |              52 |                     98.11
 PDT           | esquerda         |      220607 | Max Lemos                           |                       46 |              45 |                     97.83
 PDT           | esquerda         |       74158 | Mário Heringer                      |                       43 |              42 |                     97.67
 PDT           | esquerda         |      204489 | Robério Monteiro                    |                       32 |              31 |                     96.88
 PDT           | esquerda         |      220604 | Marcos Tavares                      |                       56 |              54 |                     96.43
 PDT           | esquerda         |      160598 | Flávia Morais                       |                       48 |              46 |                     95.83
 PDT           | esquerda         |       80815 | Leo Prates                          |                       43 |              41 |                     95.35
 PDT           | esquerda         |      204533 | Idilvan Alencar                     |                       18 |              17 |                     94.44
 PDT           | esquerda         |      220687 | Márcio Honaiser                     |                       49 |              46 |                     93.88
 PDT           | esquerda         |       73486 | Pompeo de Mattos                    |                       61 |              57 |                     93.44
 PDT           | esquerda         |      178835 | Afonso Motta                        |                       87 |              81 |                     93.10
 PDT           | esquerda         |      204541 | Eduardo Bismarck                    |                       33 |              30 |                     90.91
 PDT           | esquerda         |      220623 | Duda Salabert                       |                       56 |              50 |                     89.29
 PL            | direita          |      178937 | Altineu Côrtes                      |                      118 |             118 |                    100.00
 PL            | direita          |      220625 | Delegada Ione                       |                        4 |               4 |                    100.00
 PL            | direita          |      230088 | Dra. Mayra Pinheiro                 |                       13 |              13 |                    100.00
 PL            | direita          |      204518 | Dr. Frederico                       |                        4 |               4 |                    100.00
 PL            | direita          |      229333 | Gláucia Santiago                    |                        6 |               6 |                    100.00
 PL            | direita          |      198197 | Greyce Elias                        |                        6 |               6 |                    100.00
 PL            | direita          |      204531 | Guilherme Derrite                   |                        3 |               3 |                    100.00
 PL            | direita          |       98615 | Ismael                              |                       19 |              19 |                    100.00
 PL            | direita          |      225846 | Itamar Paim                         |                        2 |               2 |                    100.00
 PL            | direita          |      178954 | Lucio Mosquini                      |                       14 |              14 |                    100.00
 PL            | direita          |      204449 | Nelson Barbudo                      |                       13 |              13 |                    100.00
 PL            | direita          |      220706 | Padovani                            |                        4 |               4 |                    100.00
 PL            | direita          |      229112 | Pedro Jr                            |                        9 |               9 |                    100.00
 PL            | direita          |      165470 | Rodrigo Valadares                   |                       17 |              17 |                    100.00
 PL            | direita          |      230177 | Tadeu Oliveira                      |                       11 |              11 |                    100.00
 PL            | direita          |      141555 | Vinicius Carvalho                   |                       20 |              20 |                    100.00
 PL            | direita          |      220613 | Roberto Monteiro Pai                |                      321 |             318 |                     99.07
 PL            | direita          |      160558 | Paulo Freire Costa                  |                      296 |             293 |                     98.99
 PL            | direita          |      204444 | Helio Lopes                         |                      242 |             239 |                     98.76
 PL            | direita          |      178985 | Miguel Lombardi                     |                      302 |             298 |                     98.68
 PL            | direita          |      220611 | General Pazuello                    |                      314 |             308 |                     98.09
