Q11 complemento - nuvem de palavras completa por partido
 ano_dados | sigla_partido |                      token                       | frequencia 
      2023 | AVANTE        | técnica                                          |         15
      2023 | AVANTE        | debater                                          |         15
      2023 | AVANTE        | aumento                                          |         15
      2023 | AVANTE        | julho                                            |         15
      2023 | AVANTE        | serviço                                          |         15
      2023 | AVANTE        | rural                                            |         15
      2023 | AVANTE        | seu                                              |         15
      2023 | AVANTE        | poder                                            |         15
      2023 | AVANTE        | inversão                                         |         14
      2023 | AVANTE        | constitucional                                   |         14
      2023 | AVANTE        | geral                                            |         14
      2023 | AVANTE        | gerais                                           |         14
      2023 | AVANTE        | redação                                          |         14
      2023 | AVANTE        | suas                                             |         14
      2023 | AVANTE        | sul                                              |         14
      2023 | AVANTE        | sus                                              |         14
      2023 | AVANTE        | 155                                              |         14
      2023 | AVANTE        | distrito                                         |         14
      2023 | AVANTE        | doméstica                                        |         14
      2023 | AVANTE        | transtorno                                       |         13
      2023 | AVANTE        | ações                                            |         13
      2023 | AVANTE        | autista                                          |         13
      2023 | AVANTE        | pagamento                                        |         13
      2023 | AVANTE        | municipal                                        |         13
      2023 | AVANTE        | razão                                            |         13
      2023 | AVANTE        | sociais                                          |         13
      2023 | AVANTE        | espectro                                         |         13
      2023 | AVANTE        | reforma                                          |         13
      2023 | AVANTE        | minas                                            |         13
      2023 | AVANTE        | eleições                                         |         13
      2023 | AVANTE        | aplicação                                        |         13
      2023 | AVANTE        | ser                                              |         13
      2023 | AVANTE        | pena                                             |         13
      2023 | AVANTE        | matéria                                          |         13
      2023 | AVANTE        | sustentável                                      |         13
      2023 | AVANTE        | mental                                           |         12
      2023 | AVANTE        | constitucionalidade                              |         12
      2023 | AVANTE        | tráfico                                          |         12
      2023 | AVANTE        | tem                                              |         12
      2023 | AVANTE        | sociedade                                        |         12
      2023 | AVANTE        | setembro                                         |         12
      2023 | AVANTE        | servidores                                       |         12
      2023 | AVANTE        | públicas                                         |         12
      2023 | AVANTE        | profissional                                     |         12
      2023 | AVANTE        | waldemar                                         |         12
