Q5 complemento - ranking completo de fornecedores
 ano_dados |                                                                   fornecedor                                                                   | qtd_lancamentos | total_pago  
      2023 | POSTO DE GASOLINA TIMBOZAO III LTDA                                                                                                            |              14 |     1773.67
      2023 | LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA                                                                                           |              11 |     1772.28
      2023 | POSTO AVENIDA NOSSA SENHORA DE FATIMA CAMPINAS LT                                                                                              |               8 |     1770.28
      2023 | ROGER SOUZA DA SILVA                                                                                                                           |              10 |     1770.07
      2023 | GOLDEN BEACH HOTEL S/A                                                                                                                         |               4 |     1770.00
      2023 | RIP COMUNICACAO VISUAL LTDA                                                                                                                    |               2 |     1770.00
      2023 | POSTO OASIS LTDA                                                                                                                               |               1 |     1769.69
      2023 | FREDS GASTRONOMIA LTDA - ME                                                                                                                    |              44 |     1769.54
      2023 | BETTO S GRILL LTDA                                                                                                                             |              20 |     1768.72
      2023 | AUTO POSTO JAM LTDA                                                                                                                            |               9 |     1768.26
      2023 | RECARGET RECARGAS DE CARTUCHOS E TONER LTDA                                                                                                    |               9 |     1767.00
      2023 | GABINAL COMERCIO DE COMBUSTIVEIS LTDA                                                                                                          |              10 |     1766.46
      2023 | DALLE HOTEL LTDA- EPP                                                                                                                          |               9 |     1765.00
      2023 | MOGANO BUSINESS HOTEL LTDA                                                                                                                     |               4 |     1764.88
      2023 | IPI 1 ABASTECEDORA DE COMBUSTIVEIS LTDA                                                                                                        |               6 |     1763.96
      2023 | CORREIOS - SEDEX 12                                                                                                                            |              13 |     1763.87
      2023 | AUTO POSTO SOBERANO LTDA                                                                                                                       |               5 |     1763.83
      2023 | JOSE SIZENANDO HENRIQUES LYRA JUNIOR                                                                                                           |               5 |     1762.59
      2023 | CAMPEAO 28 POSTO DE SERVICOS LTDA                                                                                                              |               7 |     1762.44
      2023 | EPITACIO PESSOA COMERCIO DE COMBUSTIVEIS LTDA                                                                                                  |               6 |     1760.66
      2023 | Hotel Pousada Sol do Araguaia Ltda.                                                                                                            |               4 |     1760.00
      2023 | B.L. SERVICE ADMINISTRADORA DE SERVICOS LTDA                                                                                                   |               6 |     1759.68
      2023 | POSTO DE SERVICO SAO JOSE LTDA                                                                                                                 |               8 |     1758.97
      2023 | HIMELBLAU PALACE HOTEL                                                                                                                         |               6 |     1758.50
      2023 | POSTO SHALOM LTDA                                                                                                                              |               6 |     1757.77
      2023 | POSTO PARQUE TAQUARAL LTDA                                                                                                                     |               9 |     1756.38
      2023 | La Villa Morena Aviz & Rabelo LTDA                                                                                                             |               2 |     1756.00
      2023 | ENERGISA NOVA FRIBURGO - DISTRIBUIDORA DE ENERGIA S.A.                                                                                         |              17 |     1755.23
      2023 | MIDIAPEL PAPELARIA E INFORMATICA LTDA                                                                                                          |               2 |     1753.60
      2023 | TIFOLI MOFARREJ SÃO PAULO HOTEL - POJUCA S/A                                                                                                   |               1 |     1753.50
      2023 | AUTO POSTO ANDREUSSI LTDA                                                                                                                      |               6 |     1753.47
      2023 | GAMA TRICHES & CIA LTDA.                                                                                                                       |              11 |     1750.23
      2023 | HIPER POSTO LTDA                                                                                                                               |               6 |     1750.08
      2023 | POSTO DE COMBUSTIVEIS CAMINHO DO GOL LTDA                                                                                                      |              10 |     1750.05
      2023 | MARINA SIQUEIRA MENDONÇA                                                                                                                       |               2 |     1750.00
      2023 | DECA LOCACAO DE AUTOMOVEIS LTDA                                                                                                                |               1 |     1750.00
      2023 | LATAM AIRLINES GROUP SA                                                                                                                        |               1 |     1750.00
      2023 | Rádio Jornal de Assis Chat Ltda                                                                                                                |               3 |     1750.00
      2023 | T DOS REIS SILVA LTDA                                                                                                                          |               1 |     1750.00
      2023 | 34.724.205 JOAZE RIBEIRO DOS SANTOS                                                                                                            |               1 |     1750.00
      2023 | Portal Soledade News                                                                                                                           |               2 |     1750.00
      2023 | R.F. RIBEIRO                                                                                                                                   |               3 |     1750.00
      2023 | PERIMETRAL COMERCIO DE COMBUSTIVEIS LTDA                                                                                                       |               7 |     1749.57
      2023 | RPMP COMERCIO DE COMBUSTIVEIS LTDA                                                                                                             |               7 |     1749.13
      2023 | 407 NORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA                                                                                               |              10 |     1749.00
      2023 | HOTEL RECANTO DA SERRA LTDA                                                                                                                    |               1 |     1748.96
      2023 | SEISELLES DISTRIBUICAO E LOGISTICA EIRELI                                                                                                      |               1 |     1748.00
      2023 | POSTO ASTRAL LTDA                                                                                                                              |              11 |     1747.57
      2023 | POSTO 3000 LTDA                                                                                                                                |               9 |     1747.28
      2023 | DIAS COM. DE DERIVADOS DE PETROLEO LTDA                                                                                                        |               2 |     1747.00
      2023 | CONQUISTARE AGÊNCIA DE VIAGENS E TURISMO LTDA                                                                                                  |               1 |     1746.94
      2023 | MARRA & MARRA COMERCIAL LTDA                                                                                                                   |               9 |     1746.56
      2023 | POSTO DE COMBUSTIVEIS JARDINS EIRELI ZN                                                                                                        |               9 |     1744.85
      2023 | Atlantica Hotels Internacional Brasil Ltda.                                                                                                    |               3 |     1744.36
      2023 | POSTO ESMERALDAS LTDA                                                                                                                          |               7 |     1744.01
      2023 | ABASTECEDORA FARROUPILHA LTDA                                                                                                                  |               7 |     1743.64
      2023 | PD PAES E DELICIAS COMERCIO E INDUSTRIA                                                                                                        |              80 |     1743.32
      2023 | HOTEL SOL NASCENTE LTDA - ME                                                                                                                   |               2 |     1743.00
      2023 | STUDIO CLIPAGEM LTDA                                                                                                                           |               1 |     1741.93
      2023 | B&D POVOA SERVICOS AUDIOVISUAIS LTDA                                                                                                           |               1 |     1740.00
      2023 | POSTO DE SERVICO TUTOIA LT                                                                                                                     |              10 |     1739.55
      2023 | GALICIA COM DE DERIVADOS DE PETROLEO LTDA                                                                                                      |               6 |     1739.38
      2023 | MELLO & FILHOS LTDA                                                                                                                            |               7 |     1737.20
      2023 | TRI HOTEL CAXIAS EIRELI - CRICIÚMA                                                                                                             |               7 |     1737.00
      2023 | AUTO POSTO CASTELINHO SOROCABA LTDA                                                                                                            |              11 |     1734.61
      2023 | AUTO POSTO SOLAR DAS TERRAS LTDA                                                                                                               |               1 |     1733.22
      2023 | FERNANDO CARVALHO RIBEIRO FILHO - EPP                                                                                                          |               3 |     1732.00
      2023 | AFG COMERCIO DE COMBUSTIVEIS LTDA                                                                                                              |               7 |     1731.56
      2023 | BONATTO E BONATTO LTDA (VP)                                                                                                                    |               4 |     1731.05
      2023 | GPA ALVE LTDA                                                                                                                                  |               9 |     1730.11
      2023 | AUTO POSTO KAKOGAWA LTDA                                                                                                                       |               7 |     1729.89
      2023 | LAFESTA COMERCIO DE DESCARTAVEIS EIRELI                                                                                                        |               3 |     1725.35
      2023 | Posto Serena Norte Comercio de Combustiveis                                                                                                    |               8 |     1725.05
      2023 | Lozaliza Rent a Car S/A                                                                                                                        |               2 |     1724.04
      2023 | CAPITAL FELIX COMERCIO DE COMBUSTIVEIS LTDA                                                                                                    |               8 |     1720.18
      2023 | L.B.P HOTELARIA LTDA                                                                                                                           |               7 |     1720.00
      2023 | H LANG FILHO COMERCIO REPRESENTACOES E TRANSPORTES LTDA                                                                                        |               9 |     1718.38
      2023 | 123 Viagens e Turismo Ltda                                                                                                                     |               1 |     1716.68
      2023 | POSTO ANTARES LTDA                                                                                                                             |               9 |     1716.53
      2023 | Latam Linhas Aéreas S.A.                                                                                                                       |               1 |     1716.46
      2023 | EKO RESIDENCE                                                                                                                                  |               3 |     1715.88
      2023 | Dinâmica Ltda. - Administração de Imóveis                                                                                                      |              12 |     1715.75
      2023 | AUTO POSTO VALPARAISO LTDA                                                                                                                     |              10 |     1715.45
      2023 | SALDANHA SOLUÇÕES EM TURISMO LTDA.                                                                                                             |               1 |     1715.00
      2023 | DIVISAO COMERCIO DE COMBUSTIVEIS CONVENIENCIAS LTDA                                                                                            |               7 |     1713.35
      2023 | PLINIO I SEBASTIANY & CIA LTDA                                                                                                                 |               7 |     1713.00
      2023 | COND.ED.BELVEDERE II                                                                                                                           |               4 |     1712.50
      2023 | POSTO DE COMB NOVA TANGUA LTDA                                                                                                                 |               6 |     1711.20
      2023 | AUTO POSTO RIBEIRANIA LTDA                                                                                                                     |               9 |     1710.12
      2023 | Industria Grafica Noschang Ltda                                                                                                                |               2 |     1710.00
      2023 | ZOOM VÍDEO COMMUNICATIONS                                                                                                                      |               5 |     1708.46
      2023 | LOMA RESTAURANTE LTDA                                                                                                                          |              38 |     1708.35
      2023 | POSTO CASAGRANDE LTDA                                                                                                                          |               8 |     1708.15
      2023 | ESPLANADA PALACE HOTEL                                                                                                                         |               5 |     1707.00
      2023 | COMPANHIA BRASILEIRA DE DISTRIBUICAO                                                                                                           |               7 |     1705.66
      2023 | COPIADORA OBJETIVA LTDA                                                                                                                        |               1 |     1705.00
      2023 | MARE COMBUSTIVEIS E INCORPORAÇOES LTDA                                                                                                         |              11 |     1704.84
      2023 | Vr Combustiveis Ltda                                                                                                                           |               8 |     1704.06
      2023 | POSTO DE COMBUSTIVEIS BROCK E CIFRA LTDA                                                                                                       |              10 |     1702.95
      2023 | ARLINDO DA FONSECA LINS CIA LTDA.                                                                                                              |               6 |     1702.76
      2023 | COMERCIAL DE COMBUSTIVEIS ALBUQUERQUE E CANTALICE LTDA                                                                                         |               7 |     1701.86
      2023 | POSTO QUARTO DE MILHA LTDA                                                                                                                     |               7 |     1701.48
      2023 | NOW Comunicação Eireli ME                                                                                                                      |               1 |     1700.00
      2023 | IDEAL COMUNICAÇÃO LTDA                                                                                                                         |               3 |     1700.00
      2023 | UNIDADE CRIATIVA SERVICOS DE PUBLICIDADE LTDA                                                                                                  |               1 |     1700.00
      2023 | L B M INFO SERVICE INFORMATICA LTDA                                                                                                            |               1 |     1700.00
      2023 | LARISSA MAIA MARTINELLO                                                                                                                        |               1 |     1700.00
      2023 | HERICK JOSÉ ISMAEL DE ALCANTARA                                                                                                                |              10 |     1700.00
      2023 | GOMES E GONTIJO LTDA                                                                                                                           |               5 |     1699.99
      2023 | ITAPARICA PETROLEO E COMERCIO LTDA                                                                                                             |               7 |     1698.94
      2023 | AUTO POSTO JARDIM DAS BANDEIRAS LT                                                                                                             |               8 |     1697.05
      2023 | Carvalho Turismo Ltda                                                                                                                          |               6 |     1696.94
      2023 | IBIS Hotels                                                                                                                                    |               5 |     1696.88
      2023 | ORGANIZACAO GUAIBIM LTDA                                                                                                                       |               8 |     1695.12
      2023 | POSTO DE COMBUSTIVEIS JARDINS EIRELI RN                                                                                                        |               9 |     1694.81
      2023 | REDE DE POSTOS AUTO POSTO CENTER LTDA                                                                                                          |               8 |     1693.22
      2023 | Vivo                                                                                                                                           |               3 |     1692.78
      2023 | print & copy comercio eireli me                                                                                                                |              10 |     1692.50
      2023 | FRANCA & PAIVA LTDA                                                                                                                            |               4 |     1692.00
      2023 | SANTA EUDOXIA COMERCIO DE COMBUSTIVEIS LTDA                                                                                                    |               6 |     1687.55
      2023 | CONSEG MONITORAMENTO DE ALARMES E COMÉRCIO LTDA                                                                                                |              12 |     1687.24
      2023 | COML BUFFON COMB E TRANSP LTDA - POSTO 91                                                                                                      |               8 |     1684.77
      2023 | SBB COMERCIO DE COMBUSTIVEL LTDA                                                                                                               |               7 |     1684.02
      2023 | IRMAOS CANTELLE CIA LTDA                                                                                                                       |               7 |     1684.00
      2023 | ARIOVALDO CLAIRYTON DE SOUZA SILVA 88047962604                                                                                                 |               1 |     1681.00
      2023 | S S SOUSA                                                                                                                                      |               5 |     1680.62
      2023 | JOAQUIM MAURICIO COSTA - FAMA MOVEIS                                                                                                           |               1 |     1680.00
      2023 | PREFEITURA MUNICIPAL DE MACAPÁ                                                                                                                 |               1 |     1680.00
      2023 | MRS COMUNICACAO VISUAL LTDA                                                                                                                    |               1 |     1680.00
      2023 | CHERVO MANUTENCAO E VENDAS DE PRODUTOS DE INFORMATICA LTDA                                                                                     |               1 |     1680.00
      2023 | RADIO VIDEIRA                                                                                                                                  |               1 |     1680.00
      2023 | HAUSY CONSULTORES IMOBILIARIOS LTDA.                                                                                                           |               1 |     1679.95
      2023 | COMERCIAL DE COMBUSTIVEIS CAJA LTDA                                                                                                            |               8 |     1679.78
      2023 | POSTO SAO DOMINGOS LTDA                                                                                                                        |               7 |     1678.53
      2023 | AUTO POSTO HUGO SIMAS COMBUSTIVEIS E CONVENIENCIA LTDA                                                                                         |               8 |     1678.46
      2023 | BOGOTA PLAZA HOTEL                                                                                                                             |               1 |     1677.66
      2023 | Kinghost Hospedagem de Sites                                                                                                                   |              10 |     1677.30
      2023 | L M Empresa de Turismo Ltda                                                                                                                    |               1 |     1677.23
      2023 | SÍTIO HOTEL LTDA                                                                                                                               |              11 |     1677.00
      2023 | COOPERATIVA DO PONTO DE TAXI 202 NORTE - COOPERNORTE                                                                                           |              16 |     1676.63
      2023 | COML. BUFFON COMB. E TRANSP. LTDA. - POSTO 66                                                                                                  |               7 |     1675.94
      2023 | IRMAOS ALCANTARA E CIA LTDA                                                                                                                    |               8 |     1675.49
      2023 | PINCELI &amp; PINCELI LTDA                                                                                                                     |              10 |     1675.15
      2023 | 008 - E. CASCAO - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                                                                       |               7 |     1673.68
      2023 | CONDOMÍNIO DO EDIFÍCIO EXECUTIVE TOWER                                                                                                         |               2 |     1672.98
      2023 | ALT BIT INFORMATICA                                                                                                                            |               3 |     1671.68
      2023 | VALDEIR NICOLODI EIRELI EIRELI                                                                                                                 |               7 |     1670.14
      2023 | POSTO CAUIPE                                                                                                                                   |               6 |     1670.02
      2023 | ALMEIDA HEDLUND LTDA                                                                                                                           |               6 |     1670.00
      2023 | PRESTAÇÃO DE SERVIÇOS AUTOMOTIVOS LTDA                                                                                                         |               8 |     1669.53
      2023 | BEZALEL EVENTOS COMERCIALIZAÇAO E SERVICOS LTDA ME                                                                                             |               1 |     1669.00
      2023 | posto eirelli                                                                                                                                  |               7 |     1667.77
      2023 | ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.                                                                                          |              10 |     1667.47
      2023 | COOPERATIVA DE TRANSPORTE DE PASSAGEIROS POR TAXI DE BH E R METROPOLITANA - COOPERTRAMO LTDA                                                   |               9 |     1667.31
      2023 | BRASTEX HOTEIS E TURISMO LTDA                                                                                                                  |               5 |     1667.00
      2023 | HOTEL SAN SILVESTRI LTDA - EPP                                                                                                                 |               5 |     1666.60
      2023 | POSTO IATE COM E SERV LTDA                                                                                                                     |               8 |     1666.56
      2023 | SERVICOS AUTOMOTIVOS PONTA VERDE LTDA                                                                                                          |               5 |     1666.00
      2023 | POSTO VILLA LOBOS LTDA                                                                                                                         |               7 |     1664.96
      2023 | AUTO VIACAO CAMURUJIPE LTDA                                                                                                                    |               5 |     1664.74
      2023 | AUTO POSTO ALINGHI LTDA                                                                                                                        |               9 |     1664.17
      2023 | 040 - 415 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                                                                       |               9 |     1663.67
      2023 | REDE DITO-COMERCIO DE COMB E DERIV DE PETROL LTDA                                                                                              |               5 |     1663.61
      2023 | SIM REDE DE POSTOS LTDA - PORTAO HOFF                                                                                                          |               9 |     1662.47
      2023 | S B COMERCIO DE PETROLEO LTDA                                                                                                                  |               8 |     1661.42
      2023 | AUTO POSTO SANTA LUCIA DE LIMEIRA LTDA                                                                                                         |               9 |     1661.39
      2023 | PINHEIRAO AUTO POSTO LTDA                                                                                                                      |              13 |     1660.00
      2023 | JORNAL TRIBUNA DO BOQUEIRÃO                                                                                                                    |               3 |     1660.00
      2023 | AUTO POSTO DUQUE REBOUCAS I LTDA                                                                                                               |               6 |     1659.78
      2023 | GD COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA                                                                                                   |               7 |     1659.54
      2023 | LARANJEIRAS PALACE HOTEL EIRELI                                                                                                                |               9 |     1659.00
      2023 | SAN RAPHAEL HOTÉIS S.A                                                                                                                         |               2 |     1658.56
      2023 | tri hotel caxias eireli                                                                                                                        |               7 |     1658.40
      2023 | POSTO ANTONIO MARTINEZ JUNIOR LTDA                                                                                                             |              11 |     1658.30
      2023 | CONC. DE RODOVIAS MINAS GERAIS GOIAS S/A                                                                                                       |             234 |     1657.60
      2023 | POSTO BARRA LINDA LTDA                                                                                                                         |               6 |     1656.88
      2023 | Transamérica Comercial e Serviços Ltda SCP                                                                                                     |               3 |     1656.27
      2023 | IMOBILIARIA ALVES DA MOTTA                                                                                                                     |               1 |     1656.00
      2023 | Posto Matuca                                                                                                                                   |               7 |     1650.45
      2023 | NAGET A. N. FERRO EIRELI                                                                                                                       |               4 |     1650.00
      2023 | Radio Club                                                                                                                                     |               4 |     1650.00
      2023 | IGOR TINE LEAO VASCONCELOS -- 12681127475                                                                                                      |               1 |     1650.00
      2023 | COMERCIO VIEIRA BASTOS EIRELI                                                                                                                  |               8 |     1650.00
      2023 | POSTO LAJE DO MURIAE LTDA                                                                                                                      |               6 |     1650.00
      2023 | LOKAMIG RENT A CAR LTDA                                                                                                                        |               1 |     1650.00
      2023 | J. S. D. ARAUJO LTDA                                                                                                                           |               7 |     1650.00
      2023 | PAPELARIA TRIBUTARIA LTDA                                                                                                                      |               6 |     1649.01
      2023 | HS PETROLEO COMERCIO DE COMB LTDA-EPP                                                                                                          |               7 |     1648.33
      2023 | CAJA COMERCIAL DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA                                                                                    |               7 |     1648.26
      2023 | Minasnet LTDA ME                                                                                                                               |              11 |     1648.00
      2023 | DIPOL POSTOS DE COMBUSTIVEIS LTDA.                                                                                                             |               8 |     1647.85
      2023 | Aloft Montevideo Hotel Marriott                                                                                                                |               1 |     1646.00
      2023 | POSTO LESTE OESTE LTDA                                                                                                                         |              12 |     1645.77
      2023 | COMPANHIA DE SANEAMENTO MUNICIPAL - CESAMA                                                                                                     |               8 |     1644.39
      2023 | JOCKEY COMERCIO DE COMBUSTIVEIS LTDA                                                                                                           |               6 |     1644.37
      2023 | Aguas Palace Hotel de Petrolina Ltda                                                                                                           |               4 |     1644.00
      2023 | L S COMERCIO E SERVICOS LTDA - POSTO NATUREZA ARACAGY                                                                                          |               4 |     1643.75
      2023 | BUS SERVIÇOS DE AGENDAMENTO SA                                                                                                                 |               5 |     1643.26
      2023 | AVIAO COMERCIO DE COMBUSTIVEIS LTDA                                                                                                            |               7 |     1643.12
      2023 | RODO POSTO BELA VISTA LTDA                                                                                                                     |               8 |     1642.63
      2023 | CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.                                                                                 |             267 |     1642.50
      2023 | SOBRAL &amp; FILHOS COMERCIO DE COMBUSTIVEIS LTDA -POSTO SAO                                                                                   |               7 |     1641.88
      2023 | SIM REDE DE POSTOS LTDA - NOVA SANTA RITA SCUDERIA                                                                                             |               8 |     1641.78
      2023 | RADIO CAIBI LTDA                                                                                                                               |               1 |     1641.12
      2023 | RADIO SAO CARLOS LTDA                                                                                                                          |               1 |     1641.12
      2023 | AUTO POSTO NOVO AMERICAS LTDA                                                                                                                  |               7 |     1640.48
      2023 | VALE IMOVEIS LTDA                                                                                                                              |               2 |     1639.36
      2023 | Coqueiro Combustiveis e Servicos Ltda                                                                                                          |               9 |     1638.54
      2023 | DIOGA REVENDEDORA DE OLEOS E GASOLINA LTDA                                                                                                     |               6 |     1638.45
      2023 | VICENTE PEDROSA E IRMAOS LIMITADA                                                                                                              |               7 |     1637.34
      2023 | POSTO SAO ROQUE LTDA                                                                                                                           |               7 |     1637.32
      2023 | POSTO Z+Z SANTA MARTA LTDA                                                                                                                     |               7 |     1637.06
      2023 | ALDECO COM. DE DERIVADOS PETROLEO LTDA                                                                                                         |               8 |     1636.73
      2023 | MARAVILHA POSTO DE COMBUSTIVEIS LTDA                                                                                                           |               7 |     1636.32
      2023 | AUTO POSTO PATINHO FEIO LTDA                                                                                                                   |               8 |     1636.28
      2023 | TAIKAN FAST SUSHI LTDA                                                                                                                         |              21 |     1636.01
      2023 | CONDOMINIO VILLA LOBOS OFFICE PARK                                                                                                             |               2 |     1635.66
      2023 | RAMETTA E SOARES S/C LTDA                                                                                                                      |               8 |     1635.00
      2023 | AUTO POSTO BORSATTO EIRELI                                                                                                                     |              10 |     1634.32
      2023 | 13 - TRIANGULO - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                                                                        |               9 |     1632.91
      2023 | AUTO POSTO CASTANHEIRA LTDA                                                                                                                    |               4 |     1631.67
      2023 | AUTO POSTO EXPEDICIONARIOS LTDA                                                                                                                |              11 |     1631.54
      2023 | DIESEL DISTRIBUIDORA E SERVICOS LTDA                                                                                                           |               8 |     1631.41
      2023 | SINDICATO DOS ENGENHEIROS NO ESTADO DE SAO PAULO                                                                                               |               1 |     1630.78
      2023 | RODOPOSTO RUBI LT                                                                                                                              |               9 |     1630.26
      2023 | SIM REDE DE POSTO LTDA                                                                                                                         |              10 |     1630.23
      2023 | D e B COMERCIAL LTDA                                                                                                                           |               5 |     1628.39
      2023 | Hotel e Turismo Medieval Ltda - EPP                                                                                                            |               1 |     1626.00
      2023 | AF ANDRADE COMERCIO DE COMBUSTIVEIS LTDA - EPP                                                                                                 |               7 |     1624.40
      2023 | Mirian Vilhena Auto Posto Com.Comb.Lubrif.Gas.Cult.Mad. Ltda                                                                                   |               5 |     1623.61
      2023 | TICTAC DERIVADOS DE PETROLEO LTDA                                                                                                              |               9 |     1623.50
      2023 | Corte Com Arte                                                                                                                                 |              23 |     1623.20
      2023 | POSTO GRAFFITI DE CAMPOS LTDA                                                                                                                  |               8 |     1621.89
      2023 | PREMIUM ADMINISTRACAO HOTELEIRA LTDA                                                                                                           |               7 |     1621.58
      2023 | ITAPOAN COMERCIO DE COMBUSTIVEIS LTDA                                                                                                          |               8 |     1620.77
      2023 | AUTO POSTO PETROLINO LTDA                                                                                                                      |              22 |     1620.06
      2023 | Hotel Alvorada                                                                                                                                 |               8 |     1620.00
      2023 | KILVIA KELLYA C.N. FERREIRA & CIA LTDA                                                                                                         |               8 |     1620.00
      2023 | DIVINI'S LTDA                                                                                                                                  |               4 |     1620.00
      2023 | POSTO DE COMBUSTIVEIS PA LTDA                                                                                                                  |              11 |     1619.97
