SET
 id_dep |                nome                 | gasto_total |         beneficio          | custo_beneficio 
--------+-------------------------------------+-------------+----------------------------+-----------------
      2 | LOPES GAMA                          |             |    0.000000000000000000000 |                
      8 | CALMON                              |             |    0.000000000000000000000 |                
      9 | MONTEZUMA                           |             |    0.000000000000000000000 |                
     11 | ALBUQUERQUE CAVALCANTI              |             |    0.000000000000000000000 |                
     17 | CARNEIRO DA CUNHA                   |             |    0.000000000000000000000 |                
     18 | CRUZ GOUVEIA                        |             |    0.000000000000000000000 |                
     23 | MAIA                                |             |    0.000000000000000000000 |                
     24 | MONTEIRO DE BARROS                  |             |    0.000000000000000000000 |                
     30 | ALMEIDA E ALBUQUERQUE               |             |    0.000000000000000000000 |                
     31 | ANDRADE LIMA                        |             |    0.000000000000000000000 |                
     33 | CAVALCANTI DE LACERDA               |             |    0.000000000000000000000 |                
     35 | VISCONDE DE GOIANA                  |             |    0.000000000000000000000 |                
     37 | MUNIZ TAVARES                       |             |    0.000000000000000000000 |                
     42 | FRANÇA                              |             |    0.000000000000000000000 |                
     46 | CHAGAS SANTOS                       |             |    0.000000000000000000000 |                
     49 | DUARTE SILVA                        |             |    0.000000000000000000000 |                
     50 | ANDRADA E SILVA                     |             |    0.000000000000000000000 |                
     52 | ORNELLAS                            |             |    0.000000000000000000000 |                
     53 | PACHECO E SILVA                     |             |    0.000000000000000000000 |                
     56 | LEDO                                |             |    0.000000000000000000000 |                
     65 | ALENCAR                             |             |    0.000000000000000000000 |                
     66 | CASTRO E SILVA                      |             |    0.000000000000000000000 |                
     74 | MONTEIRO DE FRANÇA                  |             |    0.000000000000000000000 |                
     76 | ALMEIDA E CASTRO                    |             |    0.000000000000000000000 |                
     77 | PIRES FERREIRA                      |             |    0.000000000000000000000 |                
     90 | ANDRADA MACHADO                     |             |    0.000000000000000000000 |                
     91 | FEIJÓ                               |             |    0.000000000000000000000 |                
     94 | VERGUEIRO                           |             |    0.000000000000000000000 |                
     95 | PACHECO PIMENTEL                    |             |    0.000000000000000000000 |                
    100 | TEIXEIRA DE GOUVEIA                 |             |    0.000000000000000000000 |                
    102 | SANTA BÁRBARA                       |             |    0.000000000000000000000 |                
    103 | PAES DE BARROS                      |             |    0.000000000000000000000 |                
    107 | AGUILAR                             |             |    0.000000000000000000000 |                
    108 | BARROS LEITE                        |             |    0.000000000000000000000 |                
    109 | COSTA E SILVA                       |             |    0.000000000000000000000 |                
    110 | SOUSA MELO                          |             |    0.000000000000000000000 |                
    111 | ARAÚJO BASTO                        |             |    0.000000000000000000000 |                
    112 | AUGUSTO DA SILVA                    |             |    0.000000000000000000000 |                
    113 | AVELINO BARBOSA                     |             |    0.000000000000000000000 |                
    114 | BISPO DO MARANHÃO                   |             |    0.000000000000000000000 |                
    115 | COSTA DORMUND                       |             |    0.000000000000000000000 |                
    116 | GALVÃO                              |             |    0.000000000000000000000 |                
    117 | LINO COUTINHO                       |             |    0.000000000000000000000 |                
    118 | PEDREIRA                            |             |    0.000000000000000000000 |                
    119 | ASSIS BARBOSA                       |             |    0.000000000000000000000 |                
    120 | PEREIRA DE MELO                     |             |    0.000000000000000000000 |                
    121 | SILVA TELES                         |             |    0.000000000000000000000 |                
    122 | SOARES DA ROCHA                     |             |    0.000000000000000000000 |                
    123 | ALBUQUERQUE                         |             |    0.000000000000000000000 |                
    124 | BARBOSA                             |             |    0.000000000000000000000 |                
    125 | BRICIO                              |             |    0.000000000000000000000 |                
    126 | CASTRO VIANA                        |             |    0.000000000000000000000 |                
    127 | MOURA                               |             |    0.000000000000000000000 |                
    128 | QUEIROZ CARREIRA                    |             |    0.000000000000000000000 |                
    129 | HERRERA                             |             |    0.000000000000000000000 |                
    130 | LLAMBI                              |             |    0.000000000000000000000 |                
    131 | BORJA PEREIRA                       |             |    0.000000000000000000000 |                
    132 | BRÁULIO MUNIZ                       |             |    0.000000000000000000000 |                
    133 | GONÇALVES MARTINS                   |             |    0.000000000000000000000 |                
    134 | ODORICO MENDES                      |             |    0.000000000000000000000 |                
    135 | SILVA LOBO                          |             |    0.000000000000000000000 |                
    136 | ALMEIDA TORRES                      |             |    0.000000000000000000000 |                
    137 | GABRIEL GETULIO                     |             |    0.000000000000000000000 |                
    138 | LIMPO DE ABREU                      |             |    0.000000000000000000000 |                
    139 | LOPES MENDES                        |             |    0.000000000000000000000 |                
    140 | MARQUES DE SAMPAIO                  |             |    0.000000000000000000000 |                
    141 | MARTINS PEREIRA                     |             |    0.000000000000000000000 |                
    142 | MAY                                 |             |    0.000000000000000000000 |                
    143 | MELO E SOUZA                        |             |    0.000000000000000000000 |                
    144 | MENDES RIBEIRO                      |             |    0.000000000000000000000 |                
    145 | MIRANDA RIBEIRO                     |             |    0.000000000000000000000 |                
    146 | REZENDE COSTA                       |             |    0.000000000000000000000 |                
    147 | ROCHA FRANCO                        |             |    0.000000000000000000000 |                
    148 | SILVA GUIMARÃES                     |             |    0.000000000000000000000 |                
    149 | VASCONCELOS                         |             |    0.000000000000000000000 |                
    150 | ARCEBISPO                           |             |    0.000000000000000000000 |                
    151 | NABUCO DE ARAÚJO                    |             |    0.000000000000000000000 |                
    152 | CORREIA                             |             |    0.000000000000000000000 |                
    153 | COSTA VILAR                         |             |    0.000000000000000000000 |                
    154 | ARAÚJO LIMA                         |             |    0.000000000000000000000 |                
    155 | CAVALCANTI DE ALBUQUERQUE           |             |    0.000000000000000000000 |                
    156 | FARIA BARBOSA                       |             |    0.000000000000000000000 |                
    157 | GARCIA DE ALMEIDA                   |             |    0.000000000000000000000 |                
    158 | GOMES DA FONSECA                    |             |    0.000000000000000000000 |                
    159 | HOLLANDA CAVALCANTI                 |             |    0.000000000000000000000 |                
    160 | LUIS CAVALCANTI                     |             |    0.000000000000000000000 |                
    161 | MACIEL MONTEIRO                     |             |    0.000000000000000000000 |                
    162 | PAULA DE ALBUQUERQUE                |             |    0.000000000000000000000 |                
    163 | REINAUT                             |             |    0.000000000000000000000 |                
    164 | SERPA BRANDÃO                       |             |    0.000000000000000000000 |                
    165 | PINTO DO LAGO                       |             |    0.000000000000000000000 |                
    166 | LEITÃO                              |             |    0.000000000000000000000 |                
    167 | MACHADO DE OLIVEIRA                 |             |    0.000000000000000000000 |                
    168 | NUNES PIRES                         |             |    0.000000000000000000000 |                
    169 | PEREIRA DE BRITO                    |             |    0.000000000000000000000 |                
    170 | XAVIER FERREIRA                     |             |    0.000000000000000000000 |                
    171 | SOLEDADE                            |             |    0.000000000000000000000 |                
    172 | CRUZ FERREIRA                       |             |    0.000000000000000000000 |                
    173 | CUNHA BARBOSA                       |             |    0.000000000000000000000 |                
    174 | GOMES DE CAMPOS                     |             |    0.000000000000000000000 |                
    175 | MONSENHOR VIDIGAL                   |             |    0.000000000000000000000 |                
    176 | PEREIRA DA NÓBREGA                  |             |    0.000000000000000000000 |                
    177 | PINTO DE ALMEIDA                    |             |    0.000000000000000000000 |                
    178 | PIZARRO                             |             |    0.000000000000000000000 |                
    179 | COSTA AGUIAR                        |             |    0.000000000000000000000 |                
    180 | MEDEIROS GOMES                      |             |    0.000000000000000000000 |                
    181 | OLIVEIRA SALGADO                    |             |    0.000000000000000000000 |                
    182 | PAULA SOUZA                         |             |    0.000000000000000000000 |                
    183 | VICENTE DA FONSECA                  |             |    0.000000000000000000000 |                
    184 | BARBOSA MADUREIRA                   |             |    0.000000000000000000000 |                
    197 | BARROS PIMENTEL                     |             |    0.000000000000000000000 |                
    199 | COELHO NETTO                        |             |    0.000000000000000000000 |                
    200 | CORRÊA DE ALBUQUERQUE               |             |    0.000000000000000000000 |                
    201 | COSTA                               |             |    0.000000000000000000000 |                
    202 | OLIVEIRA BELLO                      |             |    0.000000000000000000000 |                
    203 | PERDIGÃO                            |             |    0.000000000000000000000 |                
    204 | SILVA TAVARES                       |             |    0.000000000000000000000 |                
    205 | ALVES BRANCO                        |             |    0.000000000000000000000 |                
    206 | COSTA CARVALHO                      |             |    0.000000000000000000000 |                
    207 | FERREIRA FRANÇA                     |             |    0.000000000000000000000 |                
    208 | MARIA DO AMARAL                     |             |    0.000000000000000000000 |                
    209 | MELO MATOS                          |             |    0.000000000000000000000 |                
    210 | MUNIZ BARRETO                       |             |    0.000000000000000000000 |                
    211 | PAIM                                |             |    0.000000000000000000000 |                
    212 | PAULA ARAUJO                        |             |    0.000000000000000000000 |                
    213 | REBOUÇAS                            |             |    0.000000000000000000000 |                
    214 | COSTA MIRANDA                       |             |    0.000000000000000000000 |                
    215 | FERREIRA DE CASTRO                  |             |    0.000000000000000000000 |                
    216 | PAULA BARROS                        |             |    0.000000000000000000000 |                
    217 | PONTES                              |             |    0.000000000000000000000 |                
    218 | REBELO DE SOUSA                     |             |    0.000000000000000000000 |                
    219 | SOUZA CAMPELLO                      |             |    0.000000000000000000000 |                
    220 | TORRES VASCONCELLOS                 |             |    0.000000000000000000000 |                
    221 | BATISTA PEREIRA                     |             |    0.000000000000000000000 |                
    222 | CUNHA MATOS                         |             |    0.000000000000000000000 |                
    223 | JARDIM                              |             |    0.000000000000000000000 |                
    224 | COSTA FERREIRA                      |             |    0.000000000000000000000 |                
    225 | VEIGA                               |             |    0.000000000000000000000 |                
    226 | ARAÚJO VIANA                        |             |    0.000000000000000000000 |                
    227 | BATISTA CAETANO                     |             |    0.000000000000000000000 |                
    228 | BELISÁRIO                           |             |    0.000000000000000000000 |                
    229 | CARNEIRO LEÃO                       |             |    0.000000000000000000000 |                
    230 | CHICHORRO DA GAMA                   |             |    0.000000000000000000000 |                
    231 | CUSTÓDIO JOSÉ DIAS                  |             |    0.000000000000000000000 |                
    232 | CUSTÓDIO DIAS                       |             |    0.000000000000000000000 |                
    233 | FERREIRA DE MELO                    |             |    0.000000000000000000000 |                
    234 | FERREIRA DA VEIGA                   |             |    0.000000000000000000000 |                
    235 | JUNQUEIRA                           |             |    0.000000000000000000000 |                
    236 | LEMOS                               |             |    0.000000000000000000000 |                
    237 | MARIA DE MOURA                      |             |    0.000000000000000000000 |                
    238 | MENDES DOS SANTOS                   |             |    0.000000000000000000000 |                
    241 | ARAÚJO FRANCO                       |             |    0.000000000000000000000 |                
    242 | DEUS E SILVA                        |             |    0.000000000000000000000 |                
    243 | FERNANDES DE VASCONCELOS            |             |    0.000000000000000000000 |                
    244 | LOBO DE SOUZA                       |             |    0.000000000000000000000 |                
    245 | PARAÍSO                             |             |    0.000000000000000000000 |                
    246 | XAVIER DE CARVALHO                  |             |    0.000000000000000000000 |                
    247 | ERNESTO FRANÇA                      |             |    0.000000000000000000000 |                
    248 | FERREIRA JACOBINA                   |             |    0.000000000000000000000 |                
    249 | FORTUNA                             |             |    0.000000000000000000000 |                
