Ranking global - todos os anos
 id_deputado |                nome                 | sigla_uf | sigla_partido | gasto_total 
      122974 | Pedro Lucas Fernandes               | MA       | UNIAO         |  1776190.77
      141470 | José Guimarães                      | CE       | PT            |  1775715.39
      104552 | Socorro Neri                        | AC       | PP            |  1773995.96
       74044 | Wilson Santiago                     | PB       | REPUBLICANOS  |  1772865.04
       74043 | Wellington Roberto                  | PB       | PSD           |  1770457.65
       74454 | Eunício Oliveira                    | CE       | MDB           |  1768508.46
      160635 | Ruy Carneiro                        | PB       | PSC           |  1768166.17
      220542 | Alexandre Guimarães                 | TO       | MDB           |  1766907.67
      109429 | Benes Leocádio                      | RN       | UNIAO         |  1765589.22
      178934 | Toninho Wandscheer                  | PR       | PP            |  1763551.58
      141485 | Luiz Carlos Busato                  | RS       | UNIAO         |  1763164.22
      220671 | Dilvanda Faro                       | PA       | PT            |  1760834.02
      220588 | Roberto Duarte                      | AC       | REPUBLICANOS  |  1758491.65
      220548 | Camila Jara                         | MS       | PT            |  1756301.69
      220597 | Thiago Flores                       | RO       | UNIAO         |  1753601.32
      220555 | Daiana Santos                       | RS       | PCDOB         |  1752991.12
      220573 | Dorinaldo Malafaia                  | AP       | PDT           |  1751777.53
      220675 | Antônio Doido                       | PA       | MDB           |  1750315.54
       74356 | Silas Câmara                        | AM       | REPUBLICANOS  |  1749035.27
       69871 | Bacelar                             | BA       | PV            |  1748417.92
      204416 | Sanderson                           | RS       | PL            |  1747915.40
      204409 | Daniel Trzeciak                     | RS       | PSDB          |  1745127.96
       74376 | Vander Loubet                       | MS       | PT            |  1744508.62
      204534 | Tabata Amaral                       | SP       | PSB           |  1741552.28
      204504 | Cezinha de Madureira                | SP       | PSD           |  1740321.91
      178927 | Aliel Machado                       | PR       | PV            |  1740064.45
      220669 | Lula da Fonte                       | PE       | PP            |  1737328.53
      204567 | Raimundo Costa                      | BA       | PSD           |  1737308.29
      160553 | Antonio Brito                       | BA       | PSD           |  1736643.16
      178843 | Marx Beltrão                        | AL       | UNIAO         |  1734169.74
      153423 | Renilce Nicodemos                   | PA       | MDB           |  1733789.66
      220697 | Jadyel Alencar                      | PI       | REPUBLICANOS  |  1732479.55
      204481 | Dr. Jaziel                          | CE       | PL            |  1730755.23
      220703 | Neto Carletto                       | BA       | AVANTE        |  1729854.10
      220663 | Eriberto Medeiros                   | PE       | PSB           |  1729585.87
      204472 | José Medeiros                       | MT       | PL            |  1729217.52
      220633 | Ricardo Salles                      | SP       | NOVO          |  1728099.35
       92699 | Fernando Monteiro                   | PE       | PSD           |  1727156.96
      160600 | Arthur Oliveira Maia                | BA       | UNIAO         |  1727029.38
      220557 | Daniela Reinehr                     | SC       | PL            |  1726966.61
      139285 | Lídice da Mata                      | BA       | PSB           |  1726830.22
       74383 | Giacobo                             | PR       | PSD           |  1724821.76
      160517 | Paulo Folletto                      | ES       | PSB           |  1724254.17
       88256 | Clodoaldo Magalhães                 | PE       | PV            |  1724153.60
      220609 | Maurício Carvalho                   | RO       | UNIAO         |  1723657.71
       74159 | Odair Cunha                         | MG       | PT            |  1718905.72
       73768 | Dilceu Sperafico                    | PR       | PP            |  1718424.29
      178993 | Carlos Henrique Gaguim              | TO       | UNIAO         |  1717531.73
      162067 | Kiko Celeguim                       | SP       | PT            |  1716291.24
      204495 | Airton Faleiro                      | PA       | PT            |  1716152.50
      204486 | Mauro Benevides Filho               | CE       | UNIAO         |  1713720.27
      160569 | Waldenor Pereira                    | BA       | PT            |  1713365.87
      204367 | Daniel Freitas                      | SC       | PL            |  1713332.77
      220684 | Tião Medeiros                       | PR       | PP            |  1709086.42
      220640 | Juliana Cardoso                     | SP       | PT            |  1708388.39
      133439 | André Figueiredo                    | CE       | PDT           |  1708322.86
      220664 | Guilherme Uchoa                     | PE       | PSD           |  1708034.17
      178860 | Paulo Azi                           | BA       | UNIAO         |  1707887.84
      220556 | Ana Paula Lima                      | SC       | PT            |  1707297.71
       74317 | Júlio Cesar                         | PI       | PSD           |  1704451.05
      204427 | Fernando Rodolfo                    | PE       | PRD           |  1701736.76
      220693 | Roberta Roma                        | BA       | PL            |  1698544.27
      123086 | Átila Lira                          | PI       | PP            |  1697412.97
      141398 | Carlos Zarattini                    | SP       | PT            |  1697258.12
      220583 | Delegado Fabio Costa                | AL       | PP            |  1695731.70
      204408 | Gustinho Ribeiro                    | SE       | REPUBLICANOS  |  1694991.72
      178933 | Sergio Souza                        | PR       | MDB           |  1694991.18
      178871 | Evair Vieira de Melo                | ES       | REPUBLICANOS  |  1694777.09
       74467 | Damião Feliciano                    | PB       | UNIAO         |  1694163.07
      204488 | Célio Studart                       | CE       | PSD           |  1690997.58
      160548 | Jonas Donizette                     | SP       | PSB           |  1690945.45
      220695 | Rogéria Santos                      | BA       | REPUBLICANOS  |  1690550.65
      204356 | Amaro Neto                          | ES       | REPUBLICANOS  |  1690415.92
      141464 | José Airton Félix Cirilo            | CE       | PT            |  1689965.57
      160642 | Pastor Eurico                       | PE       | PSDB          |  1689412.33
      162332 | Luiz Nishimori                      | PR       | PSD           |  1687977.24
      220701 | Delegado Matheus Laiola             | PR       | UNIAO         |  1687736.43
       74428 | Mendonça Filho                      | PE       | PL            |  1685375.55
      160610 | Valmir Assunção                     | BA       | PT            |  1683874.27
       74057 | Alice Portugal                      | BA       | PCDOB         |  1683812.61
       92102 | Leur Lomanto Júnior                 | BA       | UNIAO         |  1683399.75
      150418 | Márcio Marinho                      | BA       | REPUBLICANOS  |  1682177.46
      204351 | Dr. Luiz Ovando                     | MS       | PP            |  1681488.20
       92776 | Stefano Aguiar                      | MG       | PSD           |  1679211.24
      178857 | Jorge Solla                         | BA       | PT            |  1678554.21
      204457 | Juninho do Pneu                     | RJ       | UNIAO         |  1677807.07
      210989 | Bruno Farias                        | MG       | REPUBLICANOS  |  1677126.84
      220690 | Capitão Alden                       | BA       | PL            |  1677123.11
      204518 | Dr. Frederico                       | MG       | PL            |  1674564.96
      220668 | Maria Arraes                        | PE       | PSB           |  1674304.78
      220543 | Ricardo Ayres                       | TO       | REPUBLICANOS  |  1674085.34
      220656 | Fernanda Pessoa                     | CE       | PSD           |  1673982.65
      220699 | Castro Neto                         | PI       | MDB           |  1672868.64
      220559 | Julia Zanatta                       | SC       | PL            |  1672712.77
      160758 | Domingos Sávio                      | MG       | PL            |  1672217.54
      178992 | Vitor Lippi                         | SP       | PSDB          |  1671547.50
      220624 | Robinson Faria                      | RN       | PP            |  1667734.70
      220612 | Bebeto                              | RJ       | PP            |  1667609.95
      220696 | Ivoneide Caetano                    | BA       | PT            |  1662697.00
      220586 | Rafael Brito                        | AL       | MDB           |  1662620.94
      220545 | Filipe Martins                      | TO       | PL            |  1662165.78
      160601 | Pr. Marco Feliciano                 | SP       | PL            |  1662162.53
      220599 | Marcelo Crivella                    | RJ       | REPUBLICANOS  |  1657671.33
      204512 | Delegado Marcelo Freitas            | MG       | UNIAO         |  1655748.25
      220547 | Marcos Pollon                       | MS       | PL            |  1655003.30
       74156 | Leonardo Monteiro                   | MG       | PT            |  1653850.78
       80815 | Leo Prates                          | BA       | REPUBLICANOS  |  1649588.15
      220529 | Gilson Daniel                       | ES       | PODE          |  1649272.16
       66385 | Julio Arcoverde                     | PI       | PP            |  1648449.55
      204445 | Fernando Mineiro                    | RN       | PT            |  1647722.94
      220607 | Max Lemos                           | RJ       | UNIAO         |  1646068.16
       74371 | Rubens Otoni                        | GO       | PT            |  1644633.10
      160527 | Aguinaldo Ribeiro                   | PB       | PP            |  1644480.08
      215043 | Josivaldo JP                        | MA       | UNIAO         |  1644476.99
      204410 | Luisa Canziani                      | PR       | UNIAO         |  1644303.35
      220626 | Rafael Simoes                       | MG       | UNIAO         |  1644233.85
      220628 | Mauricio do Vôlei                   | MG       | PL            |  1643694.18
      204398 | Felipe Francischini                 | PR       | UNIAO         |  1642757.58
      220692 | Dal Barreto                         | BA       | UNIAO         |  1642095.54
      220530 | Messias Donato                      | ES       | UNIAO         |  1641249.32
      204368 | Fabio Schiochet                     | SC       | UNIAO         |  1639458.66
      178895 | Misael Varella                      | MG       | PSD           |  1639444.41
      220582 | Daniel Barbosa                      | AL       | PP            |  1639066.07
      178986 | Nilto Tatto                         | SP       | PT            |  1638966.48
       74270 | Gilberto Nascimento                 | SP       | PSC           |  1637734.65
      204501 | Alencar Santana                     | SP       | PT            |  1637489.88
      220603 | Dani Cunha                          | RJ       | PL            |  1637057.33
      178858 | Mário Negromonte Jr.                | BA       | PSB           |  1635447.80
      204480 | Rogério Correia                     | MG       | PT            |  1635115.66
       66828 | Fausto Pinato                       | SP       | UNIAO         |  1634770.24
      221328 | Adilson Barroso                     | SP       | PL            |  1632988.41
      160556 | Padre João                          | MG       | PT            |  1632054.12
      204355 | Da Vitoria                          | ES       | PP            |  1629568.63
      220620 | Rosângela Reis                      | MG       | PL            |  1628916.17
      220648 | Marangoni                           | SP       | PODE          |  1628182.48
      220651 | Simone Marquetto                    | SP       | PP            |  1627969.56
      220631 | Samuel Viana                        | MG       | UNIAO         |  1627474.09
      178970 | João Daniel                         | SE       | PT            |  1626918.98
      220594 | Coronel Assis                       | MT       | PL            |  1624487.76
