deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
73486;Pompeo de Mattos;PDT;837;16;True;
73531;Ivan Valente;PSOL;830;6;True;
73579;Alberto Fraga;PL;906;53;True;
73604;Rui Falcão;PT;912;9;True;
73692;Osmar Terra;PL;767;12;True;
73701;Benedita da Silva;PT;811;5;True;
73768;Dilceu Sperafico;PP;942;2;True;
73778;Luiz Carlos Hauly;PODE;700;4;True;
73788;Ricardo Barros;PP;313;0;True;
73801;Renildo Calheiros;PCDOB;998;1;True;
73806;Roseana Sarney;MDB;248;0;True;
73808;Sérgio Brito;PSD;132;1;True;
74041;Luiz Couto;PT;1166;3;True;
74043;Wellington Roberto;PL;543;55;True;
74044;Wilson Santiago;REPUBLICANOS;677;1;True;
74052;Bosco Costa;PL;64;0;True;
74057;Alice Portugal;PCDOB;980;2;True;
74060;Daniel Almeida;PCDOB;853;2;True;
74065;Fatima Pelaes;REPUBLICANOS;140;0;True;
74075;Elcione Barbalho;MDB;466;1;True;
74079;José Priante;MDB;499;0;True;
74084;Raimundo Santos;PSD;947;1;True;
74090;Átila Lins;PSD;674;1;True;
74095;Pauderney Avelino;UNIAO;473;3;True;
74141;Josias Gomes;PT;772;0;True;
74156;Leonardo Monteiro;PT;807;3;True;
74158;Mário Heringer;PDT;656;4;True;
74159;Odair Cunha;PT;885;4;True;
74160;Patrus Ananias;PT;1005;2;True;
74161;Reginaldo Lopes;PT;617;3;True;
74171;Chico Alencar;PSOL;1054;10;True;
74253;Julio Lopes;PP;686;1;True;
74262;Carlos Sampaio;PSD;823;3;True;
74270;Gilberto Nascimento;PODE;268;56;True;
74273;Jefferson Campos;PL;829;69;True;
74283;Vicentinho;PT;836;3;True;
74295;Inácio Arruda;PCDOB;28;2;True;
74299;Leônidas Cristino;PDT;675;2;True;
74317;Júlio Cesar;PSD;715;1;True;
74356;Silas Câmara;REPUBLICANOS;574;0;True;
74371;Rubens Otoni;PT;712;2;True;
74374;Geraldo Resende;PSDB;871;0;True;
74376;Vander Loubet;PT;814;4;True;
74383;Giacobo;PL;415;43;True;
74398;Maria do Rosário;PT;756;22;True;
74400;Paulo Pimenta;PT;434;3;True;
74428;Mendonça Filho;UNIAO;874;26;True;
74454;Eunício Oliveira;MDB;521;74;True;
74467;Damião Feliciano;UNIAO;760;0;True;
74478;Luciano Bivar;UNIAO;300;2;True;
74537;Claudio Cajado;PP;835;2;True;
74550;João Leão;PP;750;4;True;
74554;José Rocha;UNIAO;761;0;True;
74574;Paulo Magalhães;PSD;918;3;True;
74585;Lincoln Portela;PL;744;79;True;
74646;Aécio Neves;PSDB;507;0;True;
74696;Alberto Mourão;MDB;275;1;True;
74784;Luiza Erundina;PSOL;778;4;True;
74848;Jandira Feghali;PCDOB;951;2;True;
74856;Laura Carneiro;PSD;950;5;True;
74858;Lindbergh Farias;PT;938;3;True;
77003;Sergio Santos Rodrigues;PODE;82;0;True;
80815;Leo Prates;PDT;833;1;True;
81055;Márcio Jerry;PCDOB;911;0;True;
88256;Clodoaldo Magalhães;PV;829;2;True;
89536;Prof. Paulo Fernando;REPUBLICANOS;229;4;True;
91228;Waldemar Oliveira;AVANTE;1087;2;True;
92102;Leur Lomanto Júnior;UNIAO;713;1;True;
92346;Eduardo Bolsonaro;PL;349;41;True;
92699;Fernando Monteiro;PSD;791;1;True;
92776;Stefano Aguiar;PSD;615;27;True;
98057;Lafayette de Andrada;REPUBLICANOS;657;0;True;
98148;Cobalchini;MDB;924;7;True;
98615;Ismael;PSD;811;18;True;
