"deputy_id","name","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"100689","Hildo do Candango","REPUBLICANOS",64,0,2,31,0.8907442092895508,0.979381443298969,0.2872888445854187,0.9578439593315125,0,0,0
"103758","Luciano Azevedo","PSD",181,34,14,106,0.7222015261650085,0.8567164179104477,0.2986008822917938,-0.12471343576908112,0,0,0
"104552","Socorro Neri","PP",395,64,57,287,0.6982882618904114,0.8493150684931506,0.46502551436424255,-0.43149664998054504,0,0,0
"107283","Gleisi Hoffmann","PT",219,2,6,148,0.8991051316261292,0.9786666666666667,0.8378192186355591,0.024023408070206642,0,0,0
"107970","Ana Paula Leão","PP",376,111,82,278,0.6427228450775146,0.7721369539551358,-0.07064642757177353,-0.11557488143444061,0,0,0
"109429","Benes Leocádio","UNIAO",565,27,23,357,0.8471270799636841,0.948559670781893,0.30483657121658325,0.2683044672012329,0,0,0
"115200","Raniery Paulino","REPUBLICANOS",35,0,3,22,0.8353276252746582,0.95,0.21531067788600922,0.9765455722808838,0,0,0
"116379","Darci de Matos","PSD",125,17,11,72,0.7546486854553223,0.8755555555555555,0.17602525651454926,-0.06604604423046112,0,0,0
"121948","Adriano do Baldy","PP",531,20,8,327,0.8880904912948608,0.9683972911963883,0.3699558973312378,0.6535943150520325,0,0,0
"122158","Pedro Paulo","PSD",298,32,33,160,0.6754091382026672,0.875717017208413,0.45218148827552795,-0.028014512732625008,0,0,0
"122195","Leonardo Gadelha","PODE",34,0,1,20,0.9178734421730042,0.9818181818181818,0.6650551557540894,0.09859473258256912,0,0,0
"122974","Pedro Lucas Fernandes","UNIAO",418,12,16,247,0.8630917072296143,0.9595959595959596,0.3587454855442047,0.28598588705062866,0,0,0
"123086","Átila Lira","PP",515,25,18,412,0.8651151061058044,0.9556701030927836,0.3462342917919159,0.5007034540176392,0,0,0
"123756","Antônia Lúcia","REPUBLICANOS",450,21,13,268,0.877612292766571,0.9547872340425532,0.3887562155723572,0.9213405847549438,0,0,0
