"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:04";"Não";"204379";"https://dadosabertos.camara.leg.br/api/v2/deputados/204379";"Acácio Favacho";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"AP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204379.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:25";"Não";"220714";"https://dadosabertos.camara.leg.br/api/v2/deputados/220714";"Adail Filho";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"AM";"57";"https://www.camara.leg.br/internet/deputado/bandep/220714.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:25";"Não";"221328";"https://dadosabertos.camara.leg.br/api/v2/deputados/221328";"Adilson Barroso";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/221328.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:04";"Não";"204560";"https://dadosabertos.camara.leg.br/api/v2/deputados/204560";"Adolfo Viana";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204560.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:56";"Não";"204528";"https://dadosabertos.camara.leg.br/api/v2/deputados/204528";"Adriana Ventura";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204528.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:09:15";"Não";"121948";"https://dadosabertos.camara.leg.br/api/v2/deputados/121948";"Adriano do Baldy";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"GO";"57";"https://www.camara.leg.br/internet/deputado/bandep/121948.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:10:44";"Não";"178835";"https://dadosabertos.camara.leg.br/api/v2/deputados/178835";"Afonso Motta";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/178835.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:11:01";"Não";"204495";"https://dadosabertos.camara.leg.br/api/v2/deputados/204495";"Airton Faleiro";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204495.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:08:49";"Não";"204549";"https://dadosabertos.camara.leg.br/api/v2/deputados/204549";"AJ Albuquerque";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/204549.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:12:37";"Não";"73579";"https://dadosabertos.camara.leg.br/api/v2/deputados/73579";"Alberto Fraga";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"57";"https://www.camara.leg.br/internet/deputado/bandep/73579.jpg"
"1197773-140";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1197773-140";"2024-12-04T21:13:25";"Não";"220538";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";"Albuquerque";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"RR";"57";"https://www.camara.leg.br/internet/deputado/bandep/220538.jpg"
