Tabela complementar - gastos consolidados por categoria
 ano_dados |                     descricao_despesa                     | total_gasto  | qtd_lancamentos | pct_total 
      2026 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |  13131674.08 |            2005 |     18.76
      2026 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |  10533680.96 |            5893 |     15.05
      2026 | COMBUSTÍVEIS E LUBRIFICANTES.                             |   7864808.95 |           24823 |     11.23
      2026 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |   1358362.81 |            2969 |      1.94
      2026 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |   1098933.00 |              43 |      1.57
      2026 | TELEFONIA                                                 |    690099.57 |            1884 |      0.99
      2026 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  |    401955.08 |             139 |      0.57
      2026 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |    334549.56 |            4993 |      0.48
      2026 | PASSAGEM AÉREA - REEMBOLSO                                |    287522.86 |              95 |      0.41
      2026 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |    201960.94 |            2657 |      0.29
      2026 | PASSAGEM AÉREA - RPA                                      |    121651.13 |              91 |      0.17
      2026 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      |     76600.00 |              14 |      0.11
      2026 | SERVIÇOS POSTAIS                                          |     61008.40 |             107 |      0.09
      2026 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |     56613.56 |             246 |      0.08
      2026 | ASSINATURA DE PUBLICAÇÕES                                 |     28991.81 |              85 |      0.04
      2026 | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |      7000.00 |               1 |      0.01
      2026 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               |       529.00 |               2 |      0.00
(73 rows)


Tabela complementar global - gastos consolidados por categoria global
 ano_dados |                     descricao_despesa                     | total_gasto  | qtd_lancamentos | pct_total 
-----------+-----------------------------------------------------------+--------------+-----------------+-----------
 GLOBAL    | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | 326939210.11 |           55726 |     39.49
 GLOBAL    | PASSAGEM AÉREA - SIGEPA                                   | 142570296.93 |          125243 |     17.22
 GLOBAL    | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | 133878964.74 |           23581 |     16.17
 GLOBAL    | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | 104514580.28 |           65267 |     12.62
 GLOBAL    | COMBUSTÍVEIS E LUBRIFICANTES.                             |  71900630.83 |          234328 |      8.69
 GLOBAL    | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |  11483896.35 |           24425 |      1.39
 GLOBAL    | TELEFONIA                                                 |   9336551.31 |           45532 |      1.13
 GLOBAL    | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |   7145129.31 |             304 |      0.86
 GLOBAL    | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  |   4716767.40 |            1555 |      0.57
 GLOBAL    | PASSAGEM AÉREA - RPA                                      |   3870053.88 |            2911 |      0.47
 GLOBAL    | PASSAGEM AÉREA - REEMBOLSO                                |   3732730.61 |            1191 |      0.45
 GLOBAL    | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |   3594025.21 |           67585 |      0.43
 GLOBAL    | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |   2351750.20 |           34179 |      0.28
 GLOBAL    | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      |    780308.00 |             143 |      0.09
 GLOBAL    | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |    452308.30 |            2578 |      0.05
 GLOBAL    | ASSINATURA DE PUBLICAÇÕES                                 |    249866.38 |             857 |      0.03
 GLOBAL    | SERVIÇOS POSTAIS                                          |    156987.46 |             274 |      0.02
 GLOBAL    | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         |    144623.27 |              25 |      0.02
 GLOBAL    | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               |     23470.15 |              56 |      0.00
 GLOBAL    | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |      7000.00 |               1 |      0.00
(20 rows)

