Resumo executivo - totais gerais de despesas por ano
 ano_dados | total_deputados | total_lancamentos | total_gasto  | media_por_deputado 
-----------+-----------------+-------------------+--------------+--------------------
      2023 |             561 |            213240 | 245280034.40 |          437219.31
      2024 |             579 |            220401 | 263302700.07 |          454754.23
      2025 |             562 |            200157 | 249254389.30 |          443513.15
      2026 |             549 |             51963 |  70012026.95 |          127526.46
(4 rows)


Tabela principal - ranking de gastos por deputado e categoria
 ano_dados | id_deputado |                        nome                         | sigla_uf | sigla_partido |                     descricao_despesa                     | qtd_lancamentos | gasto_total | pct_total 
      2023 |      160635 | RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR         | PB       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |             187 |   348580.00 |      0.14
      2023 |       74858 | LUIZ LINDBERGH FARIAS FILHO                         | RJ       | PT            | PASSAGEM AÉREA - SIGEPA                                   |             320 |   345856.59 |      0.14
      2023 |      220599 | MARCELO BEZERRA CRIVELLA                            | RJ       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              20 |   344280.00 |      0.14
      2023 |      220542 | JOSÉ ALEXANDRE DOMINGUES GUIMARÃES                  | TO       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              75 |   343956.73 |      0.14
      2023 |      204517 | JOSE VITOR DE RESENDE AGUIAR                        | MG       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              23 |   341711.00 |      0.14
      2023 |      204396 | NELSI COGUETTO MARIA                                | PR       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              61 |   340900.00 |      0.14
      2023 |      160575 | ÉRIKA JUCÁ KOKAY                                    | DF       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              18 |   338440.10 |      0.14
      2023 |      160518 | WELITON FERNANDES PRADO                             | MG       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              41 |   338026.28 |      0.14
      2023 |      220703 | ORLANDO SULZ DE ALMEIDA NETO                        | BA       | AVANTE        | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              44 |   337719.30 |      0.14
      2023 |      204360 | SILVIA CRISTINA AMANCIO CHAGAS                      | RO       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |             173 |   337319.24 |      0.14
      2023 |      204550 | ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR                  | CE       | PSB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              32 |   336817.09 |      0.14
      2023 |      178989 | RENATA HELLMEISTER DE ABREU                         | SP       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              54 |   334842.37 |      0.14
      2023 |      220646 | FELIPE BECARI COMENALE                              | SP       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              35 |   333169.00 |      0.14
      2023 |      220574 | GILBERTO GOMES DA SILVA                             | PB       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              34 |   332100.00 |      0.14
      2023 |       74057 | ALICE MAZZUCO PORTUGAL                              | BA       | PCDOB         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              13 |   330096.00 |      0.13
      2023 |       74161 | REGINALDO LÁZARO DE OLIVEIRA LOPES                  | MG       | PT            | PASSAGEM AÉREA - SIGEPA                                   |             257 |   329914.71 |      0.13
      2023 |      160591 | VINICIUS DE AZEVEDO GURGEL                          | AP       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              21 |   329000.00 |      0.13
      2023 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | AP       | MDB           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              42 |   326600.00 |      0.13
      2023 |      220649 | CARLOS ALBERTO DA CUNHA                             | SP       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              20 |   324395.00 |      0.13
      2023 |      220658 | LUIZ GASTÃO BITTENCOURT DA SILVA                    | CE       | PSD           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              28 |   323830.00 |      0.13
      2023 |      220590 | ULYSSES FREITAS PEREIRA DE ARAÚJO                   | AC       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              82 |   320993.00 |      0.13
      2023 |      204398 | LUIS FELIPE BONATTO FRANCISCHINI                    | PR       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              19 |   320660.00 |      0.13
      2023 |      141459 | JOÃO DA SILVA MAIA                                  | RN       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |             117 |   318900.00 |      0.13
      2023 |      220556 | ANA PAULA DE SOUZA LIMA                             | SC       | PT            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              15 |   315605.50 |      0.13
      2023 |      220681 | FÁBIO HENRIQUE DIAS DE MACEDO                       | MA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              14 |   314100.00 |      0.13
      2023 |       74374 | GERALDO RESENDE PEREIRA                             | MS       | UNIAO         | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              57 |   314017.75 |      0.13
      2023 |      141480 | LÁZARO BOTELHO MARTINS                              | TO       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              20 |   313056.70 |      0.13
      2023 |      204498 | OLIVAL HENRIQUE MARQUES DE SOUZA                    | PA       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              21 |   313050.00 |      0.13
      2023 |      220543 | RICARDO AYRES DE CARVALHO                           | TO       | REPUBLICANOS  | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              69 |   311020.00 |      0.13
      2023 |      220580 | MARIA GORETH DA SILVA E SOUSA                       | AP       | PDT           | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              42 |   307400.00 |      0.13
      2023 |      220648 | FERNANDO JOSE DE SOUZA MARANGONI                    | SP       | PODE          | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              36 |   305582.95 |      0.12
      2023 |      220687 | MARCIO JOSE HONAISER                                | MA       | SOLIDARIEDADE | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              61 |   303226.87 |      0.12
      2023 |      178943 | MARCOS BEZERRA RIBEIRO SOARES                       | RJ       | PSDB          | PASSAGEM AÉREA - SIGEPA                                   |             232 |   303098.69 |      0.12
      2023 |      220647 | MANOEL MAURICIO SILVA NEVES                         | SP       | PP            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              54 |   301454.71 |      0.12
      2023 |       73579 | JOÃO ALBERTO FRAGA SILVA                            | DF       | PL            | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      |              18 |   300700.00 |      0.12
