"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano";"proposicao_titulo"
"2555417-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-29";"2026-02-02";"Aprovada a Medida Provisória nº 1.312, de 2025.";"2592069";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069";"Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.";"187";"PAR";"25";"2025";"PAR 25/2025 => MPV 1312/2025"
"2555417-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-29";"2026-02-02";"Aprovada a Medida Provisória nº 1.312, de 2025.";"2600556";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556";"Redação Final ao MPV 1312/2025";"197";"RDF";"1";"";"RDF 1 => MPV 1312/2025"
"2555417-31";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-31";"2026-02-02";"Aprovada a Redação Final assinada pela relatora, Dep. Dilvanda Faro (PT-PA).";"2592069";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069";"Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.";"187";"PAR";"25";"2025";"PAR 25/2025 => MPV 1312/2025"
"2555417-31";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-31";"2026-02-02";"Aprovada a Redação Final assinada pela relatora, Dep. Dilvanda Faro (PT-PA).";"2600556";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556";"Redação Final ao MPV 1312/2025";"197";"RDF";"1";"";"RDF 1 => MPV 1312/2025"
"2555417-34";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-34";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2592069";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069";"Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.";"187";"PAR";"25";"2025";"PAR 25/2025 => MPV 1312/2025"
"2555417-34";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-34";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600556";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556";"Redação Final ao MPV 1312/2025";"197";"RDF";"1";"";"RDF 1 => MPV 1312/2025"
"2555417-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-35";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e/ou de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2592069";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2592069";"Recebido PARECER (CN) Nº 25, DE 2025, da COMISSÃO MISTA DE PLANOS, ORÇAMENTOS PÚBLICOS E FISCALIZAÇÃO, sobre a Medida Provisória n° 1312, de 2025, que Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 83.500.000,00, para o fim que especifica.";"187";"PAR";"25";"2025";"PAR 25/2025 => MPV 1312/2025"
"2555417-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-35";"2026-02-02";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e/ou de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2600556";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600556";"Redação Final ao MPV 1312/2025";"197";"RDF";"1";"";"RDF 1 => MPV 1312/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600192";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192";"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";"872";"ERD";"1";"";"ERD 1 => MPV 1313/2025"
"2557414-24";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2557414-24";"2026-02-02";"Rejeitado o Requerimento. Sim: 22; Não: 362; Total: 384.";"2600217";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217";"Destaque para Votação em Separado - MPV 1313/2025";"846";"DTQ";"1";"";"DTQ 1 => MPV 1313/2025"
