"idEvento";"uriEvento";"dataHoraInicio";"idDeputado";"uriDeputado"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"204456";"https://dadosabertos.camara.leg.br/api/v2/deputados/204456"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"204557";"https://dadosabertos.camara.leg.br/api/v2/deputados/204557"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220527";"https://dadosabertos.camara.leg.br/api/v2/deputados/220527"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220538";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220547";"https://dadosabertos.camara.leg.br/api/v2/deputados/220547"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220556";"https://dadosabertos.camara.leg.br/api/v2/deputados/220556"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220578";"https://dadosabertos.camara.leg.br/api/v2/deputados/220578"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220583";"https://dadosabertos.camara.leg.br/api/v2/deputados/220583"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220601";"https://dadosabertos.camara.leg.br/api/v2/deputados/220601"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220616";"https://dadosabertos.camara.leg.br/api/v2/deputados/220616"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220619";"https://dadosabertos.camara.leg.br/api/v2/deputados/220619"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220626";"https://dadosabertos.camara.leg.br/api/v2/deputados/220626"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220635";"https://dadosabertos.camara.leg.br/api/v2/deputados/220635"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220639";"https://dadosabertos.camara.leg.br/api/v2/deputados/220639"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"220694";"https://dadosabertos.camara.leg.br/api/v2/deputados/220694"
"66808";"https://dadosabertos.camara.leg.br/api/v2/eventos/66808";"2023-04-19T11:26:57";"224117";"https://dadosabertos.camara.leg.br/api/v2/deputados/224117"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"73531";"https://dadosabertos.camara.leg.br/api/v2/deputados/73531"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"74057";"https://dadosabertos.camara.leg.br/api/v2/deputados/74057"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"74160";"https://dadosabertos.camara.leg.br/api/v2/deputados/74160"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"74161";"https://dadosabertos.camara.leg.br/api/v2/deputados/74161"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"74171";"https://dadosabertos.camara.leg.br/api/v2/deputados/74171"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"74428";"https://dadosabertos.camara.leg.br/api/v2/deputados/74428"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"98615";"https://dadosabertos.camara.leg.br/api/v2/deputados/98615"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"104552";"https://dadosabertos.camara.leg.br/api/v2/deputados/104552"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"123086";"https://dadosabertos.camara.leg.br/api/v2/deputados/123086"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"123756";"https://dadosabertos.camara.leg.br/api/v2/deputados/123756"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"139285";"https://dadosabertos.camara.leg.br/api/v2/deputados/139285"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"152605";"https://dadosabertos.camara.leg.br/api/v2/deputados/152605"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"160601";"https://dadosabertos.camara.leg.br/api/v2/deputados/160601"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"160604";"https://dadosabertos.camara.leg.br/api/v2/deputados/160604"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"160642";"https://dadosabertos.camara.leg.br/api/v2/deputados/160642"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"178929";"https://dadosabertos.camara.leg.br/api/v2/deputados/178929"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"178946";"https://dadosabertos.camara.leg.br/api/v2/deputados/178946"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"178993";"https://dadosabertos.camara.leg.br/api/v2/deputados/178993"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"178997";"https://dadosabertos.camara.leg.br/api/v2/deputados/178997"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204390";"https://dadosabertos.camara.leg.br/api/v2/deputados/204390"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204445";"https://dadosabertos.camara.leg.br/api/v2/deputados/204445"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204453";"https://dadosabertos.camara.leg.br/api/v2/deputados/204453"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204480";"https://dadosabertos.camara.leg.br/api/v2/deputados/204480"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204481";"https://dadosabertos.camara.leg.br/api/v2/deputados/204481"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204498";"https://dadosabertos.camara.leg.br/api/v2/deputados/204498"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204528";"https://dadosabertos.camara.leg.br/api/v2/deputados/204528"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204533";"https://dadosabertos.camara.leg.br/api/v2/deputados/204533"
"66994";"https://dadosabertos.camara.leg.br/api/v2/eventos/66994";"2023-03-22T10:10:55";"204534";"https://dadosabertos.camara.leg.br/api/v2/deputados/204534"
